0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21465 32133	7	 * 	267.07	DCR|2VULN|2DMG|2TLV|2DUR|2LIT	1aLIT|2LWND|3aDMG|46DUR|58TLV|7RCR|9aVULN|aBPWR
160	21121 13252	1	   	241.30	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	15LIT|28DUR|3LHND|45VULN|5BPWR|6LWND|7RCR|9DMG|aTLV
161	21621 13252	1	   	241.30	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	15LIT|28DUR|3FEWX|45VULN|5BPWR|6LWND|7RCR|9DMG|aTLV
162	51635 22331	3	   	241.25	DCR|4VULN|1DUR|1CDMG|1SELL	1SELL|2DUR|3456VULN|7ASPD|8LIT|9CDMG|aRCR
163	63823 12741	2	   	241.25	DCR|4VULN|1TLV|3LIT	17BEXP|2MBVNT|367LIT|467aVULN|5RPLT|67BPWR|8TLV|9RCR
164	21461 63133	3	 * 	241.24	DCR|2VULN|2DMG|2TLV|3LIT	14aLIT|2LWND|3aDMG|5FEWX|68TLV|7RCR|9aVULN|aBPWR
165	21421 13252	1	   	241.20	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	15LIT|28DUR|3DUST|45VULN|5BPWR|6LWND|7RCR|9DMG|aTLV
166	21423 12441	2	   	241.15	DCR|4VULN|1TLV|3LIT	167LIT|2LWND|37DUST|467aVULN|5RPLT|67BPWR|8RCR|9TLV
167	22531 35151	4	   	241.08	DCR|3VULN|2DUR|3LIT|2ASPD	159LIT|2RCVC|35aVULN|4DMSP|5aBPWR|6RCR|7aASPD|8aDUR
168	21321 61346	1	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2DUR|3BEXP|4569VULN|56BPWR|7CGEN|8AART|aRCR
169	21621 61343	1	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2DUR|3FEWX|4569VULN|56BPWR|7CGEN|8AART|aRCR
170	21121 66116	1	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2DUR|3LHND|456aVULN|56BPWR|7AART|8RCR|9FEWX
171	21321 66116	1	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2DUR|3BEXP|456aVULN|56BPWR|7AART|8RCR|9BELT
172	21321 66126	2	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2LWND|3BEXP|456aVULN|56BPWR|7AART|8RCR|9DUR
173	21321 66136	1	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2DUR|3BEXP|456aVULN|56BPWR|7AART|8RCR|9LHND
174	23121 66126	2	   	240.96	DCR|4VULN|3LIT|1DUR|1AART	156LIT|2FEWX|3LHND|456aVULN|56BPWR|7AART|8RCR|9DUR
175	21462 12211	6	   	240.75	DCR|2VULN|3DMG|1DUR|1CDMG	1LIT|2LWND|357DMG|4DUR|6aVULN|8RCR|9CDMG
176	21121 22133	1	   	240.37	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3LHND|45VULN|5BPWR|6ZMB|7DMG|8TLV|9RCR|aCDMG
177	21121 25622	1	   	240.37	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3LHND|45VULN|5BPWR|6ZMB|7CDMG|8TLV|9RCR|aDMG
178	21321 22133	1	   	240.37	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3BEXP|45VULN|5BPWR|6ZMB|7DMG|8TLV|9RCR|aCDMG
179	21621 22133	1	   	240.37	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3FEWX|45VULN|5BPWR|6ZMB|7DMG|8TLV|9RCR|aCDMG
180	21421 22133	1	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3DUST|45VULN|5BPWR|6ZMB|7DMG|8TLV|9RCR|aCDMG
181	21361 62314	9	 * 	240.17	DCR|3VULN|1TLV|3LIT|2CDMG	139LIT|29LWND|4TLV|57aVULN|69CDMG|8RCR|9BPWR
182	21121 66122	1	   	239.97	DCR|3VULN|3LIT|1DMG|1DUR|1AART	156LIT|2DUR|3LHND|456VULN|56BPWR|7AART|8RCR|9ZMB|aDMG
183	21321 66112	1	   	239.97	DCR|3VULN|3LIT|1DMG|1DUR|1AART	156LIT|2DUR|3BEXP|456VULN|56BPWR|7AART|8RCR|9BELT|aDMG
184	21262 32363	7	   	239.89	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|2LWND|3aCGEN|46DUR|5DMG|7RCR|89aVULN|aBPWR
185	21262 32663	8	   	239.89	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|2LWND|3aCGEN|46DUR|5DMG|7RCR|89aVULN|aBPWR
186	21425 32363	7	   	239.89	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|2aLWND|3DMG|4RMIN|56DUR|7RCR|89aVULN|aBPWR
187	21421 66112	1	   	239.87	DCR|3VULN|3LIT|1DMG|1DUR|1AART	156LIT|2DUR|3DUST|456VULN|56BPWR|7AART|8RCR|9BELT|aDMG
188	21321 66153	1	   	239.73	DCR|3VULN|3LIT|1DMG|1DUR|1AART|1SELL	156LIT|2DUR|3BEXP|456VULN|56BPWR|7AART|8RCR|9SELL|aDMG
189	26441 11333	8	   	239.68	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2BEXP|36DMG|4CDMG|57DUR|8RCR|9aVULN
190	63326 12141	2	   	239.68	DCR|2VULN|2DMG|2DUR|1CDMG	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|7LIT|8CDMG|9aVULN
191	63326 11335	2	   	239.68	DCR|2VULN|2DMG|2DUR|1CDMG	1BEXP|2MBVNT|35DMG|45DUR|5BPWR|6RCR|79VULN|8CDMG|aLIT
192	22531 35132	4	   	239.65	DCR|3VULN|1TLV|1DUR|2LIT	15LIT|2RCVC|359VULN|4DMSP|5BPWR|6RCR|7ASPD|8DUR|aTLV
193	25531 35132	4	   	239.65	DCR|3VULN|1TLV|1DUR|2LIT	15LIT|24DMSP|359VULN|5BPWR|6RCR|7ASPD|8DUR|aTLV
194	15522 24221	1	   	239.60	DCR|3DMG|1VULN|1TLV|2ASPD|1DUR	13ASPD|235DMG|3BPWR|4TBNT|6TLV|7VULN|8RCR|9LIT|aDUR
195	22124 52523	1	   	239.42	DCR|3VULN|2TLV|1DUR|2LIT	1aLIT|2LEGI|3LHND|49aVULN|5DUR|6BEXP|7RCR|8aTLV|aBPWR
196	22324 62523	1	   	239.42	DCR|3VULN|2TLV|1DUR|2LIT	1aLIT|2LEGI|3BEXP|49aVULN|5DUR|6LHND|7RCR|8aTLV|aBPWR
197	22424 12523	1	   	239.32	DCR|3VULN|2TLV|1DUR|2LIT	1aLIT|2LEGI|3DUST|49aVULN|5DUR|6BEXP|7RCR|8aTLV|aBPWR
198	21123 44321	1	   	239.28	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3LHND|48aVULN|5RPLT|6RCR|9TLV
199	21323 44321	1	   	239.28	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3BEXP|48aVULN|5RPLT|6RCR|9TLV
200	21323 44611	1	   	239.28	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3BEXP|49aVULN|5RPLT|6RCR|8TLV
201	21623 44321	1	   	239.28	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3FEWX|48aVULN|5RPLT|6RCR|9TLV
202	21423 44313	1	   	239.18	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3DUST|489VULN|5RPLT|6RCR|aTLV
203	21423 44321	1	   	239.18	DCR|3VULN|2DUR|1TLV	1LIT|27DUR|3DUST|48aVULN|5RPLT|6RCR|9TLV
204	51631 41313	3	 * 	238.91	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|2aDUR|34aVULN|5CGEN|6FEWX|7RCR|8TBNT|9aTLV|aBPWR
205	51652 21313	5	 * 	238.91	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|2aDUR|34aVULN|5FEWX|6CGEN|7RCR|8TBNT|9aTLV|aBPWR
206	21462 32353	7	 * 	238.86	DCR|2VULN|3DMG|3LIT|1DUR	19aLIT|2LWND|35aDMG|4DUR|6CGEN|7RCR|8aVULN|aBPWR
207	21121 14342	1	   	238.86	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3LHND|458VULN|5BPWR|6LWND|7CDMG|9RCR|aDMG
208	21321 14342	1	   	238.86	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3BEXP|458VULN|5BPWR|6LWND|7CDMG|9RCR|aDMG
209	21621 14342	1	   	238.86	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	15LIT|2DUR|3FEWX|458VULN|5BPWR|6LWND|7CDMG|9RCR|aDMG
210	51652 11313	5	 * 	238.81	DCR|3VULN|2TLV|2DUR|1SELL	1SELL|2aDUR|34aVULN|5FEWX|6ERES|7RCR|8TBNT|9aTLV|aBPWR
211	22121 63123	1	   	238.45	DCR|3VULN|1TLV|1DUR|1CDMG	1LIT|2LEGI|356LHND|456VULN|56BPWR|7RCR|8TLV|9DUR|aCDMG
212	61512 13421	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LWND|3DUR|48aVULN|5CDMG|6RCR|7LIT|9TLV
213	61512 13611	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LWND|3DUR|49aVULN|5CDMG|6RCR|7LIT|8TLV
214	62326 13421	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2CDMG|3LWND|4DUR|58aVULN|6RCR|7LIT|9TLV
215	62326 13611	1	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2CDMG|3LWND|4DUR|59aVULN|6RCR|7LIT|8TLV
216	62512 13421	2	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LWND|3DUR|48aVULN|5CDMG|6RCR|7LIT|9TLV
217	62512 13611	2	   	238.35	DCR|3VULN|1TLV|1DUR|1CDMG	1BEXP|2LWND|3DUR|49aVULN|5CDMG|6RCR|7LIT|8TLV
218	22523 24183	9	   	238.06	DCR|3VULN|3DUR|3LIT	18aLIT|2RCVC|38aVULN|48aDUR|5RPLT|6LEGI|7MBVNT|8aBPWR|9RCR
219	13362 31221	6	   	238.02	DCR|2VULN|3DUR|1DMG|2ASPD	1aASPD|2aLHND|3LIT|467DUR|5DMG|8RCR|9aVULN|aBPWR
220	21323 15625	1	   	237.89	DCR|2VULN|2DMG|2DUR|3LIT	168LIT|28DUR|3BEXP|46VULN|5RPLT|68BPWR|78DMG|9LWND|aRCR
221	51225 35232	4	 * 	237.82	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|248DUR|3LWND|579VULN|6DMG|aRCR
222	51242 25232	4	 * 	237.82	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|268DUR|3LWND|4DMG|579VULN|aRCR
223	51252 35232	5	 * 	237.82	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|258DUR|3LWND|479VULN|6DMG|aRCR
224	21435 32353	7	   	237.79	DCR|2VULN|2DMG|2DUR|3LIT	19aLIT|2LWND|3aDMG|4MLV|56DUR|7RCR|8aVULN|aBPWR
225	15236 31321	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aRCVC
226	15236 31322	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aFEWX
227	15236 31324	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aCGEN
228	15236 31326	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aLWND
229	15336 31321	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3aRCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT
230	15336 31322	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aFEWX
231	15336 31324	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aCGEN
232	15336 31326	1	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aLWND
233	51131 31514	2	 * 	237.72	DCR|3VULN|3DUR|2CDMG|1SELL	1SELL|257DUR|3ERES|47CDMG|679VULN|7BPWR|8TBNT|aRCR
234	53113 31165	3	   	237.66	DCR|2VULN|2TLV|2CDMG|1DUR|1AART|1SELL	1SELL|27TLV|3ASPD|4AART|57CDMG|67VULN|7BPWR|8RCVC|9DUR|aRCR
235	53113 31423	3	   	237.66	DCR|2VULN|2TLV|2CDMG|1DUR|1AART|1SELL	1SELL|27TLV|3ASPD|4AART|57CDMG|67VULN|7BPWR|8DUR|9ZMB|aRCR
236	15236 31323	1	   	237.65	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3DMSP|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aBBNT
237	15336 31323	1	   	237.65	DCR|2VULN|2DMG|1TLV|2ASPD	17ASPD|27DMG|3RCVC|4ZMB|5TLV|67VULN|7BPWR|8RCR|9LIT|aBBNT
238	11215 21512	4	   	237.34	DCR|4VULN|1TLV|2ASPD	15ASPD|2CGEN|3FEWX|4579VULN|5BPWR|6TBNT|8TLV|aRCR
239	13165 21512	2	   	237.34	DCR|4VULN|1TLV|2ASPD	15ASPD|2LHND|3CGEN|4579VULN|5BPWR|6TBNT|8TLV|aRCR
240	13215 21512	4	   	237.34	DCR|4VULN|1TLV|2ASPD	15ASPD|2LHND|3CGEN|4579VULN|5BPWR|6TBNT|8TLV|aRCR
241	13265 21512	3	   	237.34	DCR|4VULN|1TLV|2ASPD	15ASPD|2LHND|3CGEN|4579VULN|5BPWR|6TBNT|8TLV|aRCR
242	11141 12122	10	   	237.34	DCR|4VULN|1TLV|2ASPD	13ASPD|2CGEN|478aVULN|5BELT|6TLV|9RCR
243	53313 15425	5	   	237.28	DCR|2VULN|2DMG|2TLV|1DUR|1SELL	1SELL|28TLV|35DMG|48LWND|6MBVNT|78VULN|8BPWR|9DUR|aRCR
244	12215 21512	4	   	237.24	DCR|4VULN|1TLV|2ASPD	15ASPD|2ERES|3FEWX|4579VULN|5BPWR|6TBNT|8TLV|aRCR
245	12141 12122	10	   	237.24	DCR|4VULN|1TLV|2ASPD	13ASPD|2ERES|478aVULN|5BELT|6TLV|9RCR
