0	Index      	 *	Score 	Summary	Detail	
1	12322 63415	 * 	195.27	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aDMG
160	13624 21438	   	168.31	DCR|3VULN|1AART|1CDMG|1DUR	1CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|7RCVC|9DUR
161	12216 11462	   	168.29	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5VULN|6AART|7DUST|8ZMB|9aDMG
162	12323 43536	   	168.26	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5SNIHEL|6LIT|7aAART|8VULN|9DMG
163	56124 31232	   	168.24	ACR|3DMG|1AART|2CDMG|1DUR	19MLV|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aLSRHEA
164	56124 31233	   	168.24	ACR|3DMG|1AART|2CDMG|1DUR	19MLV|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aERES
165	12163 61232	   	168.23	ACR|2VULN|2DMG|1AART	18CGEN|2RCR|3MLV|458LWND|6AART|78DMG|8BPWR|9aVULN
166	12326 61224	   	168.19	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1CGEN|2RCR|37CDMG|4ZMB|5aDMG|6AART|8ERES|9DUR
167	36124 31231	   	168.14	ACR|3DMG|1AART|2CDMG|1DUR	19ERES|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aBEXP
168	36124 31235	   	168.14	ACR|3DMG|1AART|2CDMG|1DUR	19ERES|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aLWND
169	36124 31236	   	168.14	ACR|3DMG|1AART|2CDMG|1DUR	19ERES|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aFEWX
170	36124 31232	   	168.04	ACR|3DMG|1AART|2CDMG|1DUR	19ERES|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aLSRHEA
171	36124 31233	   	168.04	ACR|3DMG|1AART|2CDMG|1DUR	19aERES|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR
172	12247 16244	   	167.90	ACR|3VULN|1AART|1DMG	1CGEN|2RCR|3MGNSTR|4MBVNT|59aVULN|6AART|7DMG|8RCVC
173	13624 21482	   	167.88	DCR|3VULN|1AART|2CDMG	19CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|7RCVC|9BPWR|aLWND
174	13624 21484	   	167.88	DCR|3VULN|1AART|2CDMG	19CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|7RCVC|9BPWR|aLHND
175	16344 23321	   	167.87	ACR|2VULN|2DMG|1AART|1ASPD	19CGEN|29DMG|3TLV|4RCR|5RPLT|6ASPD|79VULN|8RMIN|9BPWR|aAART
176	13624 21481	   	167.78	DCR|3VULN|1AART|2CDMG	19CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|7RCVC|9BPWR|aDUST
177	13624 21483	   	167.78	DCR|3VULN|1AART|2CDMG	19CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|7RCVC|9BPWR|aERES
178	13113 23346	   	167.77	DCR|3VULN|1AART|1CDMG|1ZMB	19CGEN|2AART|3ERES|45aVULN|6ZMB|7RCR|8CDMG
179	12322 43431	   	167.65	ACR|3VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|578VULN|6RCVC|9LIT|aDMG
180	13624 22151	   	167.39	DCR|2AART|2VULN|1CDMG|2DUR	18CGEN|29AART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|aLIT
181	13624 22152	   	167.39	DCR|2AART|2VULN|1CDMG|2DUR	18CGEN|29AART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|aFEWX
182	13624 22161	   	167.39	DCR|2AART|2VULN|1CDMG|2DUR	18CGEN|2aAART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|9LWND
183	13624 22181	   	167.39	DCR|2AART|2VULN|1CDMG|2DUR	18CGEN|2aAART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|9LHND
184	22422 31661	 * 	167.37	DCR|4VULN|2AART	1LEGI|2479VULN|3ERES|5BELT|6RCR|8aAART
185	12342 43411	   	167.33	ACR|3VULN|1AART|1CDMG|1ASPD	1CGEN|2RCR|3CDMG|4MLV|578VULN|6RCVC|9AART|aASPD
186	13624 22153	   	167.29	DCR|2AART|2VULN|1CDMG|2DUR	18CGEN|29AART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|aDUST
187	12314 36326	   	167.29	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	147CGEN|2RCR|37CDMG|5RPLT|67DMG|7BPWR|8AART|9DUR|aZMB
188	12322 52661	   	167.24	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|6DMG|7MBVNT|89DUR|aAART
189	12436 32312	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9ZMB|aLHND
190	12436 32313	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9ZMB|aLWND
191	12436 32315	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9ZMB|aFEWX
192	12436 32316	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9ZMB|aBEXP
193	12216 26332	   	167.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5VULN|6aDMG|7ZMB|8AART|9FEWX
194	12436 31314	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|5aVULN|6DMG|7DMSP|8AART|9ZMB
195	31641 21513	 * 	167.12	ACR|5VULN|1CDMG|1ZMB	1ERES|2CGEN|3ZMB|4RCR|5678aVULN|9CDMG
196	12416 32312	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9ZMB|aLHND
197	12416 32313	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9ZMB|aLWND
198	12416 32315	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9ZMB|aFEWX
199	12416 32316	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9ZMB|aBEXP
200	12436 32311	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9ZMB|aTLV
201	12216 26352	   	167.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5VULN|6aDMG|7ZMB|8AART|9DUST
202	12416 31314	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|5aVULN|6DMG|7DMSP|8AART|9ZMB
203	12322 33425	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|57VULN|6LWND|8aDMG|9FEWX
204	12322 12411	   	167.06	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|6FEWX|7BASICY|8DMG|9aAART
205	12412 31314	   	166.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|45ERES|6DMG|7aVULN|8AART|9ZMB
206	12416 32311	   	166.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9ZMB|aTLV
207	12466 32311	   	166.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4aTLV|57VULN|6DMG|8AART|9ZMB
208	12466 32313	   	166.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4TLV|57VULN|6DMG|8AART|9ZMB|aERES
209	12322 12444	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5aVULN|6FEWX|7BASICY|89DMG
210	12322 52811	   	166.96	ACR|2AART|1DMG|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|6DMG|7MBVNT|8LSRHEA|9aAART
211	12322 25434	   	166.84	ACR|2VULN|2DMG|1CDMG|1ZMB|1SELL	1CGEN|2RCR|3CDMG|4ZMB|58VULN|6LIT|7SELL|9aDMG
212	13624 22523	   	166.75	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1CGEN|2AART|3CDMG|4aVULN|5MBVNT|6RCR|79DUR|8ZMB
213	13112 23335	 * 	166.56	DCR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1DUR	1CGEN|25AART|3ERES|4VULN|6ZMB|7RCR|8CDMG|9DUR|aFLTHEA
214	13434 23335	   	166.56	DCR|2AART|1VULN|1FLTHEA|1CDMG|1ZMB|1DUR	1CGEN|23AART|4ERES|5VULN|6ZMB|7RCR|8CDMG|9DUR|aFLTHEA
215	12322 63311	   	166.49	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD	18CGEN|2RCR|36CDMG|4ZMB|57VULN|9AART|aASPD
216	56121 31242	   	166.23	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MLV|28DMG|3LIT|4RCR|5FEWX|6AART|7CDMG|9VULN|aASPD
217	36124 31241	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|28DMG|3LIT|4RCR|5DUR|6AART|7CDMG|9VULN|aLHND
218	36124 31243	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|28DMG|3LIT|4RCR|5DUR|6AART|7CDMG|9VULN|aRPLT
219	36121 31242	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ERES|28DMG|3LIT|4RCR|5FEWX|6AART|7CDMG|9VULN|aASPD
220	13624 22216	   	166.11	DCR|3VULN|1AART|1CDMG|1DUR	1CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|7DUR|9FEWX
221	13624 22245	   	166.11	DCR|3VULN|1AART|1CDMG|1DUR	1CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|7DUR|9LIT
222	13624 22263	   	166.11	DCR|3VULN|1AART|1CDMG|1DUR	1CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|7DUR|9LWND
223	13624 22283	   	166.11	DCR|3VULN|1AART|1CDMG|1DUR	1CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|7DUR|9LHND
224	13624 23438	   	166.11	DCR|3VULN|1AART|1CDMG|1DUR	17CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|9DUR
225	13112 23611	 * 	166.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|25AART|3ERES|4VULN|6ZMB|7RCR|8LIT|9CDMG|aDMG
226	13112 23624	   	166.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|25AART|3ERES|4VULN|6ZMB|7RCR|8LIT|9DMG|aCDMG
227	13434 23611	   	166.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|23AART|4ERES|5VULN|6ZMB|7RCR|8LIT|9CDMG|aDMG
228	12247 16114	   	166.00	ACR|3VULN|1AART|1DMG	19CGEN|2RCR|3MGNSTR|4MBVNT|58aVULN|6AART|7DMG
229	12247 16141	   	166.00	ACR|3VULN|1AART|1DMG	1CGEN|2RCR|3MGNSTR|4MBVNT|589VULN|6AART|7DMG|aLIT
230	12247 16142	   	166.00	ACR|3VULN|1AART|1DMG	1CGEN|2RCR|3MGNSTR|4MBVNT|589VULN|6AART|7DMG|aLWND
231	12247 16143	   	166.00	ACR|3VULN|1AART|1DMG	1CGEN|2RCR|3MGNSTR|4MBVNT|589VULN|6AART|7DMG|aLHND
232	12247 13147	   	165.90	ACR|3VULN|1AART|1DMG	1CGEN|2RCR|3MGNSTR|4MBVNT|589VULN|6AART|7ERES|aDMG
233	12436 31335	   	165.90	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1CGEN|2RCR|3DUR|4MLV|5VULN|6DMG|7DMSP|8AART|9CDMG|aFLTHEA
234	12311 61222	   	165.80	ACR|3CDMG|1AART|1VULN|1DMG|1DUR	14CGEN|2RCR|378CDMG|5DUR|6AART|9VULN|aDMG
235	12416 31335	   	165.80	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1CGEN|2RCR|3DUR|4ERES|5VULN|6DMG|7DMSP|8AART|9CDMG|aFLTHEA
236	12323 43162	 * 	165.78	ACR|2VULN|2AART|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5SNIHEL|6LIT|78AART|9aVULN
237	13624 21442	   	165.78	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9DMG|aFEWX
238	13624 21447	   	165.78	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9DMG|aBEXP
239	13624 21448	   	165.78	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9DMG|aLIT
240	13624 21741	   	165.78	DCR|2VULN|1AART|1DMG|1CDMG	18CGEN|2AART|3CDMG|4aVULN|5MBVNT|6RCR|7RCVC|9DMG
241	12521 21323	   	165.78	ACR|4VULN|1AART|1DUR	1CGEN|2RCR|3RMIN|4ERES|567aVULN|8AART|9DUR
242	12552 21323	   	165.78	ACR|4VULN|1AART|1DUR	1CGEN|2RCR|3RMIN|467aVULN|5ERES|8AART|9DUR
243	13113 23325	   	165.77	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8CDMG|9FEWX|aFLTHEA
244	13624 46232	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3CDMG|47VULN|5MBVNT|6LIT|8RCR|9DMG|aASPD
245	12412 31335	   	165.70	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1CGEN|2RCR|3DUR|45ERES|6DMG|7VULN|8AART|9CDMG|aFLTHEA
246	13624 21443	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9DMG|aDUST
247	13624 21446	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9DMG|aNUKE
248	13624 23482	   	165.68	DCR|3VULN|1AART|2CDMG	179CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|9BPWR|aLWND
249	13624 23484	   	165.68	DCR|3VULN|1AART|2CDMG	179CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|9BPWR|aLHND
250	13113 23365	   	165.67	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8CDMG|9DUST|aFLTHEA
251	12432 32173	   	165.66	ACR|2VULN|2DMG|2DUR|1ZMB	1CGEN|2RCR|3aDUR|4MLV|5ERES|6aDMG|7MBVNT|8ZMB|9aVULN|aBPWR
252	13624 23481	   	165.58	DCR|3VULN|1AART|2CDMG	179CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|9BPWR|aDUST
253	13624 23483	   	165.58	DCR|3VULN|1AART|2CDMG	179CGEN|2AART|39CDMG|489VULN|5MBVNT|6RCR|9BPWR|aERES
254	12462 32173	   	165.56	ACR|2VULN|2DMG|2DUR|1ZMB	1CGEN|2RCR|3aDUR|4TLV|5ERES|6aDMG|7MBVNT|8ZMB|9aVULN|aBPWR
255	12322 63424	 * 	165.50	ACR|4VULN|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578aVULN|9RMIN
256	12322 11563	   	165.47	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5aVULN|6FEWX|78DUR|9AART
257	12121 23663	   	165.43	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3MLV|4ERES|56VULN|7BASICY|89DMG|aAART
258	12152 23663	   	165.43	ACR|2VULN|2DMG|1AART	1CGEN|2RCR|3MLV|46VULN|5ERES|7BASICY|89DMG|aAART
259	13312 33151	   	165.42	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2AART|3DUR|48aVULN|5DMG|6LWND|7LHND|9RCR
260	13312 36151	   	165.42	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2AART|3DUR|48aVULN|5DMG|6LWND|7BEXP|9RCR
261	13312 34151	   	165.32	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|2AART|3DUR|48aVULN|5DMG|6LWND|7DUST|9RCR
