0	Index      	 *	Score 	Summary	Detail	
1	35346 11133	 * 	192.12	DCR|3VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|45aVULN|6AART|7RCR|8LWND
160	32162 62623	   	162.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6LWND|7VULN|8DUR|9RCR|aCDMG
161	62162 25233	   	162.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUR|25FEWX|35DMG|4AART|5BPWR|6VULN|7BEXP|8RMIN|9RCR|aCDMG
162	31334 42316	   	162.22	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2ASPD|3DUST|47DMG|5VULN|6AART|8CDMG|9RCR|aRCVC
163	61124 22241	   	162.22	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	17DUR|2ASPD|36TLV|4RCR|59VULN|8DMG|aAART
164	12162 21216	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6VULN|7BELT|8DUR|9RCR|aCDMG
165	12162 32233	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6DUR|7VULN|8RMIN|9RCR|aCDMG
166	12162 32423	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6DUR|7VULN|8LHND|9RCR|aCDMG
167	12162 32514	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6DUR|7VULN|8LIT|9RCR|aCDMG
168	14162 21216	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6VULN|7BELT|8DUR|9RCR|aCDMG
169	14162 32233	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6DUR|7VULN|8RMIN|9RCR|aCDMG
170	14162 32423	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6DUR|7VULN|8LHND|9RCR|aCDMG
171	32161 13623	   	162.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2FEWX|3DMG|4AART|5LWND|67VULN|8DUR|9RCR|aCDMG
172	32162 22315	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6VULN|7TLV|8CDMG|9RCR|aDUR
173	32162 26313	   	162.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6VULN|7ERES|8CDMG|9RCR|aDUR
174	62161 13423	   	162.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2FEWX|3DMG|4AART|5LWND|67VULN|8LHND|9RCR|aCDMG
175	63311 41313	 * 	162.13	DCR|2DMG|1AART|1VULN|3DUR|1SELL	145DUR|2SELL|35DMG|5BPWR|6RCR|7TLV|8AART|9NUKE|aVULN
