0	Index      	 *	Score 	Summary	Detail	
1	36263 36111	 * 	200.23	DCR|3DMG|2VULN|1AART|3ASPD	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9aVULN
169	25343 35111	   	177.16	ACR|3VULN|3ZMB|3CDMG|1ASPD	138VULN|238ZMB|38BPWR|4RCR|5BEXP|6ERES|789CDMG|aASPD
170	61423 42112	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2AART|3ZMB|4LWND|5RCR|6DUR|7VULN|8aDMG|9DUST
171	61433 42112	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2AART|3ZMB|4LHND|5RCR|6DUR|7VULN|8aDMG|9DUST
172	33142 23511	   	177.09	ACR|3DMG|2VULN|1AART	13aDMG|2FEWX|4RCR|5aERES|6CGEN|7MLV|8aVULN|9AART|aBPWR
173	34142 23511	   	177.09	ACR|3DMG|2VULN|1AART	13aDMG|2LWND|4RCR|5aERES|6CGEN|7MLV|8aVULN|9AART|aBPWR
174	25343 61132	   	176.99	ACR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|4RCR|5BEXP|6aDMG|7LIT|8AART|9LHND
175	34144 33311	   	176.99	ACR|3DMG|2VULN|1AART	13aDMG|2LWND|4RCR|5aVULN|6ERES|7MLV|8aTLV|9AART|aBPWR
176	25316 31134	   	176.94	DCR|3VULN|1AART|1DMG|2ZMB	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9LHND
177	25316 31144	   	176.94	DCR|3VULN|1AART|1DMG|2ZMB	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9LWND
178	25316 31154	   	176.94	DCR|3VULN|1AART|1DMG|2ZMB	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9BEXP
179	35142 31432	   	176.82	ACR|3DMG|1AART|1CDMG|2DUR|1ZMB	13aDMG|29DUR|4RCR|5ERES|6ZMB|7CDMG|8AART
180	31213 34441	   	176.74	DCR|2VULN|2DMG|1AART|2ASPD	16DMG|27RCVC|3AART|4NUKE|56ASPD|6BPWR|89VULN|aRCR
181	61123 25112	   	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2AART|3ERES|4LWND|5RCR|68VULN|7TLV|9aDMG
182	33612 43234	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	159DMG|2FEWX|3ZMB|45CDMG|5BPWR|6LSRHEA|78VULN|aRCR
183	34612 23234	   	176.63	DCR|3DMG|2VULN|2CDMG|1ZMB	159DMG|2LWND|3ZMB|45CDMG|5BPWR|6SNIHEL|78VULN|aRCR
184	25341 41321	   	176.62	ACR|2VULN|3ZMB|1DMG|1FLTHEA|2DUR	13VULN|236ZMB|3BPWR|4RCR|5FLTHEA|7RCVC|8aDUR|9DMG
185	21611 11514	 * 	176.37	DCR|3VULN|3DMG|2ZMB	169VULN|2CGEN|3RPLT|479DMG|5BELT|89ZMB|9BPWR|aRCR
186	25121 32155	   	176.37	DCR|3VULN|3DMG|2ZMB	159VULN|26ZMB|379DMG|49BEXP|8RPLT|9BPWR|aRCR
187	25316 34271	   	176.34	DCR|3VULN|1AART|1DMG|2ZMB	138VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|9AART|aMGNLIT
188	25316 34274	   	176.34	DCR|3VULN|1AART|1DMG|2ZMB	138VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|9AART|aRPLT
189	33114 45132	   	176.31	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2FEWX|56VULN|7DUR|8ERES|9AART|aRCR
190	33212 43432	   	176.30	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2FEWX|39DUR|4BEXP|5LHND|689VULN|7RCR|9BPWR|aZMB
191	34212 43432	   	176.30	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2LWND|39DUR|4BEXP|5LHND|689VULN|7RCR|9BPWR|aZMB
192	34213 43432	   	176.30	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2LWND|39DUR|4BEXP|5FEWX|689VULN|7RCR|9BPWR|aZMB
193	25316 31128	   	176.24	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9CDMG|aRCVC
194	25316 34272	   	176.24	DCR|3VULN|1AART|1DMG|2ZMB	138VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|9AART|aSNIHEL
195	32222 43432	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2BEXP|39DUR|4DUST|5LHND|689VULN|7RCR|9BPWR|aZMB
196	32243 43432	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2BEXP|39DUR|4LHND|5DUST|689VULN|7RCR|9BPWR|aZMB
197	33243 43432	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2FEWX|39DUR|4LHND|5DUST|689VULN|7RCR|9BPWR|aZMB
198	33252 43432	   	176.20	DCR|3VULN|2DMG|2DUR|1ZMB	19DMG|2FEWX|39DUR|4DUST|5LHND|689VULN|7RCR|9BPWR|aZMB
199	21313 11212	   	176.17	DCR|3VULN|2DMG|1AART	139VULN|236CGEN|3BPWR|48DMG|5LIT|7RCR|aAART
200	21163 11212	   	176.07	DCR|3VULN|2DMG|1AART	149VULN|26CGEN|38DMG|5LIT|7RCR|aAART
201	22143 16631	   	176.06	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	19aVULN|29DUR|3LHND|4RPLT|5SELL|6ZMB|7RCR|89DMG|9BPWR
202	33612 15234	   	176.03	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	15DMG|2FEWX|3ZMB|45CDMG|5BPWR|6LWND|7VULN|8DUR|9RCR|aAART
203	33114 11365	   	175.86	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	134DMG|2FEWX|5VULN|6RCR|7LSRREG|8AART|9ASPD|aDUR
204	35332 65323	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2DUR|3ZMB|4CGEN|5ERES|6AART|7aVULN|9RCR
205	35114 14223	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	134DMG|2DUR|5aVULN|6RCR|7CDMG|8LIT|9LWND
206	35112 11234	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	134DMG|2DUR|5LHND|6RCR|7MGNSTR|89VULN|aCDMG
207	35112 12424	   	175.75	DCR|3DMG|2VULN|1CDMG|1DUR	134DMG|2DUR|5LHND|6RCR|78VULN|9AIRHEL|aCDMG
208	25316 34283	   	175.74	DCR|3VULN|1AART|1DMG|2ZMB	138VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|9FEWX|aAART
209	34112 12263	   	175.73	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2LWND|5LHND|6RCR|7VULN|8AART|9RPLT|aCDMG
210	32114 11314	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|29BEXP|5VULN|6RCR|7LSRREG|8AART|aCDMG
211	32114 11343	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2BEXP|5VULN|6RCR|7LSRREG|8AART|9FEWX|aCDMG
212	33114 11313	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7LSRREG|8AART|9BEXP|aCDMG
213	33114 11334	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|29FEWX|5VULN|6RCR|7LSRREG|8AART|aCDMG
214	36314 11314	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|39BEXP|5VULN|6RCR|7LSRREG|8AART|aCDMG
215	36314 11343	   	175.63	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|3BEXP|5VULN|6RCR|7LSRREG|8AART|9FEWX|aCDMG
216	33114 11323	   	175.53	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7LSRREG|8AART|9DUST|aCDMG
217	33114 11364	   	175.53	DCR|3DMG|1AART|1VULN|2ASPD	134DMG|2FEWX|5VULN|6RCR|7LSRREG|8AART|9aASPD
218	36414 11313	   	175.53	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|3DUST|5VULN|6RCR|7LSRREG|8AART|9BEXP|aCDMG
219	25132 62221	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5ERES|6AART|7aBEXP|8RCR|aBPWR
220	25132 64221	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5ERES|6AART|7aLHND|8RCR|aBPWR
221	25132 66221	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5ERES|6AART|7aFEWX|8RCR|aBPWR
222	25315 62212	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|4aDMG|5BEXP|6AART|7FEWX|8RCR|9RPLT
223	26133 62221	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2TLV|3aDMG|4CGEN|59ZMB|6AART|7aLHND|8RCR|aBPWR
224	26133 66221	   	175.37	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2TLV|3aDMG|4CGEN|59ZMB|6AART|7aLWND|8RCR|aBPWR
225	36214 25321	   	175.37	DCR|3DMG|2VULN|1AART	12aDMG|3AART|4NUKE|5aTLV|6LHND|7MLV|8aVULN|9RCR|aBPWR
226	36213 32136	   	175.34	DCR|3DMG|1AART|3ASPD|1VULN	126DMG|3AART|4NUKE|567ASPD|67BPWR|8LWND|9VULN|aRCR
227	36213 35136	   	175.34	DCR|3DMG|1AART|3ASPD|1VULN	126DMG|3AART|4NUKE|567ASPD|6BPWR|8LWND|9VULN|aRCR
228	34236 12243	 * 	175.33	DCR|3DMG|1AART|1VULN|3DUR	179DMG|2LWND|347DUR|5AART|67LHND|7BPWR|8RCR|aVULN
229	35334 36323	   	175.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2DUR|3ZMB|4CGEN|5aVULN|6ERES|7AART|9RCR
230	25344 12311	   	175.18	ACR|3VULN|2DMG|2ZMB|1DUR	135VULN|23ZMB|3BPWR|4RCR|6CGEN|79DMG|8DUR|aRMIN
231	25344 12312	   	175.18	ACR|3VULN|2DMG|2ZMB|1DUR	135VULN|23ZMB|3BPWR|4RCR|6CGEN|79DMG|8DUR|aLHND
232	26133 63221	   	175.17	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2TLV|3aDMG|4CGEN|59ZMB|6AART|7aDUST|8RCR|aBPWR
233	32114 14332	   	175.13	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|28BEXP|5VULN|6RCR|7CDMG|9AART|aFEWX
234	32114 14335	   	175.13	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|28BEXP|5VULN|6RCR|7CDMG|9AART|aMLV
235	33114 14334	   	175.13	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7CDMG|8BEXP|9AART|aDMSP
236	33114 14335	   	175.13	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7CDMG|8aBEXP|9AART
237	36314 14332	   	175.13	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|38BEXP|5VULN|6RCR|7CDMG|9AART|aFEWX
238	32144 22211	   	175.08	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2BEXP|4RCR|58VULN|6MLV|7LHND|9AART|aFLTHEA
239	33144 22211	   	175.08	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2FEWX|4RCR|58VULN|6MLV|7LHND|9AART|aFLTHEA
240	34144 22211	   	175.08	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2LWND|4RCR|58VULN|6MLV|7LHND|9AART|aFLTHEA
241	36344 22211	   	175.08	ACR|2VULN|2DMG|1AART|1FLTHEA	12DMG|3BEXP|4RCR|58VULN|6MLV|7LHND|9AART|aFLTHEA
242	21611 35114	 * 	175.07	DCR|3VULN|3DMG|2ASPD	189VULN|2CGEN|3RPLT|479DMG|5BELT|69ASPD|9BPWR|aRCR
243	32114 14333	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|28BEXP|5VULN|6RCR|7CDMG|9AART|aTLV
244	32114 14336	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|28BEXP|5VULN|6RCR|7CDMG|9AART|aBASICY
245	33114 14332	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7CDMG|8BEXP|9AART|aERES
246	33114 14333	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7CDMG|8BEXP|9AART|aMBVNT
247	34114 14332	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2LWND|5VULN|6RCR|7CDMG|8BEXP|9AART|aERES
248	34114 14333	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2LWND|5VULN|6RCR|7CDMG|8BEXP|9AART|aMBVNT
249	36314 14333	   	175.03	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|38BEXP|5VULN|6RCR|7CDMG|9AART|aTLV
250	26163 21312	 * 	174.99	DCR|4VULN|1AART|1DMG	1489VULN|2TLV|3DMG|5LIT|6RCVC|7RCR|aAART
251	26313 21312	   	174.99	DCR|4VULN|1AART|1DMG	1389VULN|23TLV|3BPWR|4DMG|5LIT|6RCVC|7RCR|aAART
252	32144 13211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2BEXP|4RCR|58VULN|6LHND|7TLV|9AART|aFLTHEA
253	32144 14211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2BEXP|4RCR|58VULN|6LHND|7ERES|9AART|aFLTHEA
254	32144 32211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2BEXP|4RCR|58VULN|6ERES|7LHND|9AART|aFLTHEA
255	33144 13211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2FEWX|4RCR|58VULN|6LHND|7TLV|9AART|aFLTHEA
256	33144 14211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2FEWX|4RCR|58VULN|6LHND|7ERES|9AART|aFLTHEA
257	33144 32211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2FEWX|4RCR|58VULN|6ERES|7LHND|9AART|aFLTHEA
258	34144 13211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2LWND|4RCR|58VULN|6LHND|7TLV|9AART|aFLTHEA
259	34144 32211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	13DMG|2LWND|4RCR|58VULN|6ERES|7LHND|9AART|aFLTHEA
260	36344 13211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	12DMG|3BEXP|4RCR|58VULN|6LHND|7TLV|9AART|aFLTHEA
261	36344 32211	   	174.98	ACR|2VULN|2DMG|1AART|1FLTHEA	12DMG|3BEXP|4RCR|58VULN|6ERES|7LHND|9AART|aFLTHEA
262	25316 31123	   	174.93	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9CDMG|aFEWX
263	25316 31127	   	174.93	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7LIT|8AART|9CDMG|aLWND
264	25133 26221	   	174.87	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5BEXP|6aMLV|7AART|8RCR|aBPWR
265	26362 33153	   	174.78	DCR|4VULN|1AART|1DMG	1349VULN|234TLV|34BPWR|5LEGI|6RCR|7FEWX|8DMG|aAART
266	25132 36221	   	174.77	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5ERES|6aFEWX|7AART|8RCR|aBPWR
267	25136 26221	   	174.77	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5DUST|6aMLV|7AART|8RCR|aBPWR
268	35122 66231	 * 	174.76	DCR|2DMG|2AART|1VULN|1FLTHEA|1DUR	13DMG|2DUR|4LWND|5ERES|69AART|7VULN|8RCR|aFLTHEA
269	21365 14211	 * 	174.74	DCR|5VULN|2CDMG|2DUR	1349aVULN|234CGEN|349BPWR|59CDMG|6BELT|7RCR|89DUR
270	32141 45233	   	174.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	13DMG|2BEXP|4RCR|5CANSTR|6ZMB|7CDMG|8VULN|9DUR|aAART
271	25133 36221	   	174.67	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5BEXP|6aERES|7AART|8RCR|aBPWR
272	12421 11121	   	174.65	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1DUST|2DUR|38AART|4LHND|5VULN|6RCR|79DMG|aASPD
273	35112 12364	   	174.64	DCR|3DMG|2VULN|2DUR|1ASPD	134DMG|29DUR|5LHND|6RCR|79VULN|89CGEN|9BPWR|aASPD
274	25132 56221	   	174.57	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5ERES|6aDUST|7AART|8RCR|aBPWR
275	25136 36221	   	174.57	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|29ZMB|3aDMG|4CGEN|5DUST|6aERES|7AART|8RCR|aBPWR
276	32114 14136	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2BEXP|5VULN|6RCR|7CDMG|8CGEN|9BELT|aAART
277	33114 14136	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7CDMG|8CGEN|9BELT|aAART
278	32112 14243	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2BEXP|5LHND|6RCR|7CDMG|8LIT|9VULN|aAART
279	33112 14243	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5LHND|6RCR|7CDMG|8LIT|9VULN|aAART
280	36312 14243	   	174.53	DCR|3DMG|1AART|1VULN|1CDMG	124DMG|3BEXP|5LHND|6RCR|7CDMG|8LIT|9VULN|aAART
281	32144 11115	   	174.48	ACR|2VULN|2DMG|1AART|1CDMG	13DMG|28BEXP|4RCR|59VULN|6LHND|7CDMG|aAART
282	32114 12636	   	174.43	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2BEXP|5VULN|6RCR|7TLV|8CDMG|9BELT|aAART
283	33114 12636	   	174.43	DCR|3DMG|1AART|1VULN|1CDMG	134DMG|2FEWX|5VULN|6RCR|7TLV|8CDMG|9BELT|aAART
284	21316 82732	   	174.37	DCR|3DMG|2VULN|1AART	13VULN|236CGEN|36BPWR|467DMG|5MBVNT|8RCR|9AART|aRMIN
285	21316 82733	   	174.37	DCR|3DMG|2VULN|1AART	13VULN|236CGEN|36BPWR|467DMG|5MBVNT|8RCR|9AART|aFEWX
286	26362 31126	 * 	174.33	DCR|3VULN|1AART|1DMG|1FLTHEA	134VULN|234TLV|34BPWR|5LEGI|6RCR|7LWND|8DMG|9FLTHEA|aAART
287	24432 32632	   	174.32	ACR|3VULN|2DMG|2DUR|1ZMB	169VULN|2LHND|39DUR|4LWND|5RCR|7FEWX|89DMG|9BPWR|aZMB
288	25353 21532	   	174.32	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4ERES|5LIT|6RCVC|7RCR|9AART|aDMG
289	36263 32311	   	174.28	DCR|3DMG|2VULN|1AART|3ASPD|1MSE	126DMG|3AART|456ASPD|6BPWR|7MSE|8RCR|9aVULN
290	21316 82734	   	174.27	DCR|3DMG|2VULN|1AART	13VULN|236CGEN|36BPWR|467DMG|5MBVNT|8RCR|9AART|aTLV
291	23412 26632	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	179VULN|2DUST|39DUR|4LHND|5RCR|6LWND|89DMG|9BPWR|aZMB
292	24432 33632	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	169VULN|2LHND|39DUR|4LWND|5RCR|7DUST|89DMG|9BPWR|aZMB
293	25316 33741	   	174.21	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4DMG|5MBVNT|6RCR|7MLV|9AART|aLWND
294	25316 33742	   	174.21	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4DMG|5MBVNT|6RCR|7MLV|9AART|aFEWX
295	25316 33743	   	174.21	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4DMG|5MBVNT|6RCR|7aMLV|9AART
296	25341 25211	 * 	174.18	ACR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA|1DUR	13VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LHND|7AART|8LIT|9DUR|aCDMG
297	25341 35211	   	174.18	ACR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA|1DUR	13VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LWND|7AART|8LIT|9DUR|aCDMG
298	25342 31432	   	174.14	ACR|2VULN|3ZMB|1AART|1DMG	13VULN|236ZMB|3BPWR|4RCR|5ERES|7LIT|8RCVC|9AART|aDMG
299	25316 33744	   	174.11	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4DMG|5MBVNT|6RCR|7MLV|9AART|aTLV
300	22124 53431	   	174.10	DCR|4VULN|2DMG|1DUR	189aVULN|2DUR|39LHND|4FEWX|5BEXP|69DMG|7RCR|9BPWR
301	25316 83141	 * 	174.05	DCR|3DMG|2VULN|3ZMB	13VULN|236ZMB|36BPWR|469DMG|5MBVNT|7MLV|8ERES|aRCR
302	25316 34444	   	173.96	DCR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7BEXP|8ASPD|9DUR|aAART
303	24624 11321	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	18VULN|2LHND|3AART|4LEGI|5FEWX|6RCR|79DMG|aASPD
304	36213 36211	   	173.83	DCR|3DMG|1AART|1VULN|2ASPD	126DMG|3AART|4NUKE|56ASPD|6BPWR|7BELT|8RCR|9MLV|aVULN
305	35114 13433	   	173.71	DCR|3DMG|1AART|1VULN|2DUR	134DMG|2aDUR|5VULN|6RCR|78RMIN|9AART
306	35242 23511	   	173.67	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|23DUR|4RCR|5aERES|6CGEN|7MLV|8aVULN|9AART|aBPWR
307	33144 61313	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	136DMG|2FEWX|4RCR|5VULN|7LSRREG|8AART|9BEXP|aCDMG
308	32144 11334	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	13aDMG|2BEXP|4RCR|5VULN|6LHND|7CDMG|8AART|9DUST
309	32144 11362	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	139DMG|2BEXP|4RCR|5VULN|6LHND|7CDMG|8AART|aERES
310	32144 11363	   	173.65	ACR|3DMG|1AART|1VULN|1CDMG	139DMG|2BEXP|4RCR|5VULN|6LHND|7CDMG|8AART|aMBVNT
311	25316 36121	   	173.61	DCR|2VULN|3ZMB|1AART|1DMG	13VULN|238ZMB|3BPWR|4DMG|5MBVNT|6RCR|7RPLT|9LHND|aAART
312	36263 36131	   	173.58	DCR|3DMG|1AART|3ASPD|1ZMB	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9ZMB|aMLV
313	36263 36133	   	173.58	DCR|3DMG|1AART|3ASPD|1ZMB	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9ZMB|aLWND
314	31263 16533	 * 	173.56	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	1DMG|28RCVC|3aAART|45ASPD|6CDMG|7RCR|9VULN
315	33144 61323	   	173.55	ACR|3DMG|1AART|1VULN|1CDMG	136DMG|2FEWX|4RCR|5VULN|7LSRREG|8AART|9DUST|aCDMG
316	25121 62215	   	173.54	DCR|3VULN|1AART|1DMG|2ZMB	15aVULN|2aZMB|3DMG|4BEXP|6AART|7aFEWX|8RCR|9RPLT|aBPWR
317	36263 36132	   	173.48	DCR|3DMG|1AART|3ASPD|1ZMB	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9ZMB|aDUST
318	25316 73134	   	173.47	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6AART|7CGEN|8CDMG|9DUR|aRCR
319	32114 11365	   	173.43	DCR|3DMG|2AART|1VULN	134DMG|2BEXP|5VULN|6RCR|7LSRREG|8aAART|9BELT
320	25316 71134	   	173.37	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13VULN|23ZMB|3BPWR|4DMG|5MBVNT|6AART|7TLV|8CDMG|9DUR|aRCR
321	34236 12233	 * 	173.33	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	17DMG|2LWND|347DUR|5AART|67LHND|7BPWR|8RCR|9VULN|aCDMG
322	34236 62233	   	173.33	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	17DMG|2LWND|347DUR|5AART|67FEWX|7BPWR|8RCR|9VULN|aCDMG
323	36215 12712	   	173.26	DCR|2VULN|2DMG|1AART|1CDMG	12DMG|3AART|4NUKE|5LIT|6aVULN|7MBVNT|8CDMG|9RCR
324	35112 12451	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	134DMG|2DUR|5LHND|6RCR|78VULN|9ZMB|aRPLT
325	35112 12452	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	134DMG|2DUR|5LHND|6RCR|78VULN|9ZMB|aLIT
326	35112 12453	   	173.21	DCR|3DMG|2VULN|1ZMB|1DUR	134DMG|2DUR|5LHND|6RCR|78VULN|9ZMB|aDMSP
327	32112 12454	   	173.21	DCR|3DMG|2VULN|1ZMB|1ASPD	134DMG|2BEXP|5LHND|6RCR|78VULN|9ZMB|aASPD
328	33112 12454	   	173.21	DCR|3DMG|2VULN|1ZMB|1ASPD	134DMG|2FEWX|5LHND|6RCR|78VULN|9ZMB|aASPD
329	21316 82721	   	173.16	DCR|3VULN|3DMG|1ASPD	13aVULN|236CGEN|36BPWR|467DMG|5MBVNT|8RCR|9ASPD
330	25341 62223	   	173.14	ACR|3VULN|1DMG|2ZMB|1FLTHEA|1DUR	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6DUR|8RCVC|9DMG|aCGEN
331	34236 42233	   	173.13	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	17DMG|2LWND|347DUR|5AART|67DUST|7BPWR|8RCR|9VULN|aCDMG
332	25343 61123	   	173.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4RCR|5BEXP|6DMG|7LIT|8AART|9CDMG|aFEWX
333	25343 11363	   	173.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13VULN|23ZMB|3BPWR|4RCR|5aBEXP|6LHND|7CDMG|8AART|9DMG
334	25341 62221	   	173.04	ACR|3VULN|1DMG|2ZMB|1FLTHEA|1DUR	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6DUR|8RCVC|9DMG|aAIRHEL
