0	Index      	 *	Score 	Summary	Detail	
1	24312 24121	 * 	195.59	ACR|4VULN|2DMG|1AART	149aVULN|2RPLT|3RCR|5BELT|6AART|7aDMG|8aLHND|aBPWR
178	24363 11234	   	168.64	ACR|2VULN|2DMG|2ZMB|1CDMG	19VULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7CGEN|89ZMB|9BPWR|aLHND
179	24363 21331	   	168.64	ACR|2VULN|2DMG|2ZMB|1CDMG	1aVULN|2RPLT|3RCR|4CDMG|5aDMG|6LIT|7LEGI|8BEXP|9aZMB|aBPWR
180	24311 51211	   	168.63	ACR|3VULN|2AART|1CDMG	145VULN|2RPLT|3RCR|69AART|7ERES|8CDMG|aLHND
181	24311 51213	   	168.63	ACR|3VULN|2AART|1CDMG	145VULN|2RPLT|3RCR|69AART|7ERES|8CDMG|aBEXP
182	24311 51214	   	168.63	ACR|3VULN|2AART|1CDMG	145VULN|2RPLT|3RCR|69AART|7ERES|8CDMG|aMLV
183	24313 51212	   	168.63	ACR|3VULN|2AART|1CDMG	14aVULN|2RPLT|3RCR|5DMSP|69AART|7ERES|8CDMG
184	24341 51212	   	168.63	ACR|3VULN|2AART|1CDMG	15aVULN|2RPLT|3RCR|4DMSP|69AART|7ERES|8CDMG
185	24363 14231	   	168.54	ACR|2VULN|2DMG|2ZMB|1CDMG	19VULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7TLV|89ZMB|9BPWR|aLWND
186	24363 14232	   	168.54	ACR|2VULN|2DMG|2ZMB|1CDMG	19VULN|2RPLT|3RCR|4CDMG|59DMG|6ERES|7TLV|89ZMB|9BPWR|aFEWX
187	24325 52311	   	168.34	ACR|3VULN|1AART|1DMG|1ASPD	189VULN|2RPLT|3RCR|489FEWX|5DMG|6ASPD|789ERES|89BPWR|aAART
188	24312 26251	   	168.19	ACR|3VULN|1AART|2ASPD|1ZMB	14aVULN|2RPLT|3RCR|5BELT|6AART|78ASPD|9ZMB
189	24325 12226	   	168.12	ACR|3VULN|2DMG|2DUR	16aVULN|27RPLT|3RCR|4FEWX|5aDMG|8RMIN|9aDUR|aBPWR
190	24325 13226	   	168.12	ACR|3VULN|2DMG|2DUR	16aVULN|2RPLT|3RCR|47FEWX|5aDMG|8RMIN|9aDUR|aBPWR
191	23133 14165	   	168.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|39DMG|46LWND|5CDMG|7FEWX|8AART|aRCR
192	23133 15165	   	168.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|39DMG|46LWND|5CDMG|7BEXP|8AART|aRCR
193	23146 12125	   	168.06	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|39DMG|4FEWX|5RMIN|6CGEN|7CDMG|8AART|aRCR
194	34323 36632	   	168.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RPLT|3RCR|4CDMG|59DMG|6ASPD|7AART|8VULN|aRCVC
195	24325 11235	   	168.02	ACR|3VULN|2DMG|2DUR	16aVULN|2RPLT|3RCR|4FEWX|5aDMG|7LHND|8ERES|9aDUR|aBPWR
196	23116 32165	   	167.96	DCR|2VULN|2DMG|1AART|1CDMG	12VULN|39DMG|4TLV|5FEWX|6RMIN|7CDMG|8AART|aRCR
197	34323 36331	   	167.93	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RPLT|3RCR|4CDMG|59DMG|6ASPD|7AART|8DUST|aVULN
198	34323 36631	   	167.93	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RPLT|3RCR|4CDMG|59DMG|6ASPD|7AART|8VULN|aTLV
199	24312 26225	 * 	167.91	ACR|2VULN|1AART|3ASPD|1DMG	14VULN|2RPLT|3RCR|5BELT|6AART|789ASPD|aDMG
200	26221 35234	   	167.82	DCR|2VULN|2DMG|1AART|1ZMB	17VULN|27LHND|3ERES|4AART|5DUST|67DMG|7BPWR|8ZMB|9RPLT|aRCR
201	33221 35234	   	167.82	DCR|2VULN|2DMG|1AART|1ZMB	17LWND|27VULN|3ERES|4AART|5DUST|67DMG|7BPWR|8ZMB|9RPLT|aRCR
202	24362 33236	 * 	167.76	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1VULN|2RPLT|3RCR|48CDMG|5CGEN|6ASPD|7AART|9ZMB|aDMG
203	34321 36633	   	167.76	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	1LWND|2RPLT|3RCR|4aCDMG|5ZMB|6ASPD|7AART|8VULN|9DMG
204	34323 36236	   	167.76	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	1LWND|2RPLT|3RCR|48CDMG|5DMG|6ASPD|7AART|9ZMB|aVULN
205	23242 32155	   	167.68	DCR|3VULN|1AART|1DMG|1ZMB	127VULN|3RPLT|4MLV|5AART|6DMG|8FEWX|9RCR|aZMB
206	33541 12632	   	167.68	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ZMB|4CGEN|5DMG|8RCR|9AART|aLIT
207	33541 12633	   	167.68	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ZMB|4CGEN|5DMG|8RCR|9AART|aRCVC
208	22222 46152	   	167.58	DCR|3DMG|1AART|1VULN|1ZMB	1VULN|2LIT|3AIRHEA|4ZMB|5AART|67aDMG|8FEWX|9RCR
209	33231 12632	   	167.58	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9AART|aLIT
210	33231 12633	   	167.58	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9AART|aRCVC
211	23133 21642	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	129aVULN|3DMG|4LWND|5CDMG|6DUR|7CGEN|8RCR
212	33423 22642	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	1LWND|239aVULN|4CGEN|5CDMG|6DUR|7DMG|8RCR
213	23235 13621	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	1269VULN|3RPLT|4CDMG|5DUR|7RCVC|8RCR|aDMG
214	23123 11642	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	129aVULN|3DMG|4DUR|5CDMG|6LWND|7CGEN|8RCR
215	35351 51331	   	167.43	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1aLWND|2NUKE|3aCDMG|4BELT|5ASPD|6AART|7DMG|8aVULN|9RCR|aBPWR
216	22222 61552	 * 	167.23	DCR|2AART|2VULN|1DMG|2ZMB	16VULN|2LIT|3AIRHEA|47ZMB|58AART|9RCR|aDMG
217	62212 26241	 * 	167.12	DCR|4VULN|3ASPD|1ZMB|1DUR	14aASPD|2aDUST|3ZMB|5DUR|689aVULN|7RCR|aBPWR
218	62222 36241	   	167.12	DCR|4VULN|3ASPD|1ZMB|1DUR	16aASPD|2aDUST|3ZMB|4DUR|589aVULN|7RCR|aBPWR
219	24363 11112	 * 	167.03	ACR|2VULN|2DMG|2CDMG|1DUR	18VULN|2RPLT|3RCR|48CDMG|5aDMG|6ERES|78CGEN|8BPWR|9DUR
220	23322 62155	   	167.01	DCR|4VULN|1AART|1CDMG|1DUR	1279VULN|3TLV|4DUR|5LIT|6CDMG|8AART|aRCR
221	23323 32155	   	167.01	DCR|4VULN|1AART|1CDMG|1DUR	1279VULN|3TLV|4DUR|5CDMG|6LIT|8AART|aRCR
222	23231 12621	   	166.94	DCR|4VULN|1DMG|2CDMG	1269VULN|3RPLT|47CDMG|5FEWX|8RCR|aDMG
223	24631 12621	   	166.94	DCR|4VULN|1DMG|2CDMG	1369VULN|2RPLT|47CDMG|5FEWX|8RCR|aDMG
224	23233 55621	   	166.94	DCR|4VULN|1DMG|2CDMG	1269VULN|3RPLT|45CDMG|7FEWX|8RCR|aDMG
225	23163 31553	   	166.90	DCR|4VULN|2DMG|1ASPD	1257VULN|37DMG|4DMSP|67BEXP|7BPWR|8ASPD|9RCVC|aRCR
226	24316 31332	   	166.89	ACR|3VULN|1AART|1CDMG|1ZMB	147VULN|2RPLT|3RCR|5BASICY|6LEGI|8AART|9CDMG|aZMB
227	33231 12642	   	166.88	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8RCR|9DUST|aAART
228	24363 31211	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7CGEN|9AART|aLIT
229	24363 31212	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7CGEN|9AART|aLHND
230	24363 31213	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2aRPLT|3RCR|4CDMG|5DMG|6ASPD|7CGEN|9AART
231	24363 31214	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7CGEN|9AART|aMLV
232	24363 31215	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7aCGEN|9AART
233	24322 36314	 * 	166.78	ACR|3VULN|3ZMB|1DMG	189VULN|2RPLT|3RCR|489FEWX|5ERES|6CGEN|789ZMB|89BPWR|aDMG
234	24325 16333	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2RPLT|3RCR|4FEWX|5DMG|7DUST|8DUR|9AART|aCDMG
235	24363 33211	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART|aLIT
236	24363 33212	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART|aLHND
237	24363 33213	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2aRPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART
238	24363 33214	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART|aMLV
239	24363 33215	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART|aCGEN
240	24363 34211	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7TLV|9AART|aLIT
241	24363 34212	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7TLV|9AART|aLHND
242	24363 34213	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2aRPLT|3RCR|4CDMG|5DMG|6ASPD|7TLV|9AART
243	24363 33216	   	166.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2RPLT|3RCR|4CDMG|5DMG|6ASPD|7ERES|9AART|aTLV
244	23163 23224	   	166.53	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3DMG|4DMSP|6ERES|7AART|8CDMG|9MBVNT|aRCR
245	24353 35232	 * 	166.33	ACR|2VULN|1AART|2ASPD|1CDMG|1FLTHEA	18VULN|2RPLT|3RCR|46ASPD|5CDMG|7DUST|9FLTHEA|aAART
246	26352 24313	   	166.29	DCR|5VULN|1AART|1DUR	14567VULN|27LHND|3LEGI|7BPWR|8AART|9DUR|aRCR
247	26226 22622	   	166.28	DCR|2AART|2VULN|1DMG|1ZMB	17VULN|2LHND|36ERES|49AART|5ZMB|8RCR|aDMG
248	26225 35313	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	17VULN|27LHND|3ERES|4AART|5LWND|67DMG|7BPWR|8DUR|9RCR|aLIT
249	24363 35312	   	166.23	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1VULN|2RPLT|3RCR|4CDMG|58DMG|6ASPD|7LWND|9DMSP|aAART
250	34323 34312	   	166.23	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2RPLT|3RCR|4CDMG|58DMG|6ASPD|7VULN|9DMSP|aAART
251	23153 34536	 * 	166.15	DCR|3VULN|2DMG|1CDMG|1DUR	128VULN|37DMG|4LHND|5CDMG|6MBVNT|9DUR|aRCR
252	26221 35513	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	17VULN|27LHND|3ERES|4AART|5DUST|67DMG|7BPWR|8DUR|9RCR|aLIT
253	26225 35311	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	17VULN|27LHND|3ERES|4AART|5LWND|67DMG|7BPWR|8DUR|9RCR|aSNIHEL
254	33221 35513	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	17LWND|27VULN|3ERES|4AART|5DUST|67DMG|7BPWR|8DUR|9RCR|aLIT
255	33221 35516	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	17LWND|27VULN|3ERES|4AART|5DUST|67DMG|7BPWR|8DUR|9RCR|aBEXP
256	26221 35511	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	17VULN|27LHND|3ERES|4AART|5DUST|67DMG|7BPWR|8DUR|9RCR|aSNIHEL
257	26223 33115	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3ERES|4AART|5DUR|6aDMG|7FEWX|9RCR
258	26225 32315	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2LHND|3ERES|4AART|5LWND|6aDMG|8DUR|9RCR
259	33221 35511	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	17LWND|27VULN|3ERES|4AART|5DUST|67DMG|7BPWR|8DUR|9RCR|aSNIHEL
260	33223 33115	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3ERES|4AART|5DUR|6aDMG|7FEWX|9RCR
261	36223 32115	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2LHND|3ERES|4AART|5DUR|6aDMG|78VULN|9RCR
262	36623 32115	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2LHND|3TLV|4AART|5DUR|6aDMG|78VULN|9RCR
263	23111 42714	 * 	166.02	DCR|3VULN|3DMG	12aVULN|36aDMG|4TLV|5ERES|7MBVNT|8RCR|9aLWND|aBPWR
264	26221 32515	   	165.95	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2LHND|3ERES|4AART|5DUST|6aDMG|8DUR|9RCR
265	26221 36115	   	165.95	DCR|2VULN|2DMG|1AART|1DUR	18VULN|2LHND|3ERES|4AART|5DUST|6aDMG|7DUR|9RCR
266	33221 32515	   	165.95	DCR|2VULN|2DMG|1AART|1DUR	1LWND|27VULN|3ERES|4AART|5DUST|6aDMG|8DUR|9RCR
267	33221 36115	   	165.95	DCR|2VULN|2DMG|1AART|1DUR	1LWND|28VULN|3ERES|4AART|5DUST|6aDMG|7DUR|9RCR
268	23142 46211	   	165.92	DCR|3VULN|1AART|1DMG|1ASPD	128VULN|3DMG|4FEWX|5ASPD|6DUST|7RCR|9AART|aLIT
269	23142 46212	   	165.92	DCR|3VULN|1AART|1DMG|1ASPD	128VULN|3DMG|4FEWX|5ASPD|6DUST|7RCR|9AART|aLHND
270	23142 46213	   	165.92	DCR|3VULN|1AART|1DMG|1ASPD	128VULN|3DMG|4FEWX|5ASPD|6DUST|7RCR|9AART|aRPLT
271	24311 43521	   	165.85	ACR|4VULN|1DMG|1CDMG	1459VULN|2RPLT|3RCR|6BEXP|7CDMG|8RCVC|aDMG
272	24311 43621	   	165.85	ACR|4VULN|1DMG|1CDMG	1459VULN|2RPLT|3RCR|68BEXP|7CDMG|aDMG
273	23111 42721	   	165.82	DCR|3VULN|3DMG	129VULN|36aDMG|4TLV|5ERES|7MBVNT|8RCR
274	24311 14412	   	165.79	ACR|3VULN|1AART|1CDMG|1ZMB	145VULN|2RPLT|3RCR|6ERES|7ZMB|8CDMG|9LWND|aAART
275	26231 12442	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	167VULN|2LHND|3ERES|4ZMB|5DMG|8AART|9RCR|aLIT
276	26231 12443	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	167VULN|2LHND|3ERES|4ZMB|5DMG|8AART|9RCR|aRCVC
277	33231 12442	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8AART|9RCR|aLIT
278	33231 12443	   	165.78	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|267VULN|3ERES|4ZMB|5DMG|8AART|9RCR|aRCVC
279	24311 23346	   	165.75	ACR|4VULN|1DMG|1CDMG	145aVULN|2RPLT|3RCR|6DUST|7CDMG|8LIT|9DMG
280	24311 23521	   	165.75	ACR|4VULN|1DMG|1CDMG	1459VULN|2RPLT|3RCR|6DUST|7CDMG|8RCVC|aDMG
281	24311 11421	   	165.75	ACR|4VULN|1DMG|1CDMG	1459VULN|2RPLT|3RCR|6ERES|7CGEN|8CDMG|aDMG
282	23123 63153	   	165.70	DCR|3VULN|1DMG|1CDMG|2DUR|1ASPD	12aVULN|3DMG|49DUR|5CDMG|6ASPD|7LSRICY|8RCR
283	23133 62222	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3DMG|4LWND|5CDMG|6FEWX|7LHND|8RCR|9AART|aZMB
284	23123 65153	   	165.60	DCR|3VULN|1DMG|1CDMG|2DUR|1ASPD	12aVULN|3DMG|49DUR|5CDMG|6ASPD|7BASICY|8RCR
285	23123 66153	   	165.60	DCR|3VULN|1DMG|1CDMG|2DUR|1ASPD	12aVULN|3DMG|49DUR|5CDMG|6ASPD|7AIRHEL|8RCR
