0	Index      	 *	Score 	Summary	Detail	
1	13446 13234	 * 	210.14	ACR|4VULN|3DMG|3ASPD|1DUR	189ASPD|2LHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aDUR
172	13562 33211	   	182.49	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|29LHND|3RCR|4RCVC|5BELT|6AART|7aDMG|8aVULN|aBPWR
173	13562 33251	   	182.49	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2LHND|3RCR|4RCVC|59BELT|6AART|7aDMG|8aVULN|aBPWR
174	35423 33612	   	182.46	DCR|4VULN|3DMG|1ASPD	1346VULN|247DMG|4BPWR|58MLV|9ASPD|aRCR
175	35623 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1468VULN|247DMG|3DMSP|4BPWR|5MLV|9ASPD|aRCR
176	35625 33212	   	182.46	DCR|4VULN|3DMG|1ASPD	1468VULN|247DMG|3DMSP|4BPWR|5CGEN|9ASPD|aRCR
177	42136 16213	 * 	182.46	ACR|2AART|2DMG|1VULN|2CDMG	17AART|28CGEN|3RCR|4BASHEA|58DMG|68CDMG|8BPWR|9TLV|aVULN
178	35443 33212	   	182.36	DCR|4VULN|3DMG|1ASPD	1368VULN|247DMG|5MLV|9ASPD|aRCR
179	35622 33212	   	182.36	DCR|4VULN|3DMG|1ASPD	1468VULN|247DMG|3DMSP|4BPWR|5ERES|9ASPD|aRCR
180	32616 32243	   	182.30	DCR|3VULN|2DMG|1AART|2DUR	167VULN|2TLV|3RMIN|47DUR|57DMG|7BPWR|8AART|9ERES|aRCR
181	42124 32123	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|89DMG|aLWND
182	42124 32125	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|89DMG|aRMIN
183	42124 32133	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|8aDMG|9BEXP
184	42124 32143	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|8aDMG|9FEWX
185	42124 36213	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7aDMG|8BEXP|9LHND
186	42124 36313	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7aDMG|8FEWX|9LHND
187	35442 33212	   	182.26	DCR|4VULN|3DMG|1ASPD	1368VULN|247DMG|5ERES|9ASPD|aRCR
188	42124 32126	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4CDMG|56VULN|7LHND|89DMG|aERES
189	42136 12142	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4BASHEA|57DMG|6CDMG|8LWND|9aVULN
190	42136 12341	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2aCGEN|3RCR|4BASHEA|57DMG|6CDMG|89VULN
191	42136 12343	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4BASHEA|57DMG|6CDMG|89VULN|aBEXP
192	35532 42121	   	182.17	DCR|3VULN|3DMG|1CDMG	14aVULN|26aDMG|3CDMG|58BEXP|7RCR|9aERES|aBPWR
193	35553 11133	 * 	182.16	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18VULN|2DMG|38CDMG|49DUR|5ASPD|68FEWX|7RCR|8BPWR|aAART
194	35553 21133	   	182.16	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18VULN|2DMG|38CDMG|49DUR|5ASPD|68LHND|7RCR|8BPWR|aAART
195	35553 31133	   	182.16	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	18VULN|2DMG|38CDMG|49DUR|5ASPD|68LWND|7RCR|8BPWR|aAART
196	11215 41421	   	182.15	ACR|2VULN|2DMG|3ASPD|1CDMG|1ZMB	123ASPD|3BPWR|4RCR|58DMG|6aVULN|7ZMB|9CDMG
197	42136 12332	   	182.08	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2CGEN|3RCR|4BASHEA|57DMG|6CDMG|8aVULN|9MBVNT
198	35421 21211	   	182.03	DCR|5VULN|2DMG|1DUR	1347aVULN|24DMG|4BPWR|5RPLT|6BEXP|8DUR|9RCR
199	35421 51111	   	182.03	DCR|5VULN|2DMG|1DUR	1347aVULN|24DMG|4BPWR|5RPLT|6DUR|8BEXP|9RCR
200	35421 53311	   	182.03	DCR|5VULN|2DMG|1DUR	1348aVULN|24DMG|4BPWR|5RPLT|6DUR|7LWND|9RCR
201	35531 42221	   	181.97	DCR|3VULN|3DMG|1CDMG	14aVULN|26aDMG|3CDMG|58DUST|7RCR|9aERES|aBPWR
202	35421 51211	   	181.93	DCR|5VULN|2DMG|1DUR	1347aVULN|24DMG|4BPWR|5RPLT|6DUR|8DUST|9RCR
203	61231 25233	   	181.63	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|23aDMG|3BPWR|4CGEN|5ZMB|6VULN|7RCR|8AART|9DUR
204	61253 25233	   	181.63	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|23aDMG|3BPWR|4ZMB|5RMIN|6VULN|7RCR|8AART|9DUR
205	35532 42331	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|26DMG|3CDMG|5BEXP|7RCR|8CGEN|9AART|aASPD
206	35343 31613	   	181.53	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1VULN|2aDMG|3FEWX|4RCR|5ZMB|6aMLV|7CDMG|8AART|9aDUR|aBPWR
207	35531 42331	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|26DMG|3CDMG|5DUST|7RCR|8CGEN|9AART|aASPD
208	61423 16213	   	181.37	DCR|3DMG|2VULN|1AART	1RCVC|24aDMG|34VULN|4BPWR|5MLV|6CGEN|7RCR|8AART|9LWND
209	12525 33236	 * 	181.36	ACR|3DMG|1AART|1VULN|3ASPD	189ASPD|289BEXP|3RCR|45DUST|6VULN|789DMG|89BPWR|aAART
210	11215 36162	   	181.30	ACR|2VULN|2DMG|1AART|3ASPD	123ASPD|3BPWR|4RCR|56DMG|7RMIN|8aVULN|9AART
211	61422 16213	   	181.27	DCR|3DMG|2VULN|1AART	1RCVC|24aDMG|34VULN|4BPWR|5ERES|6CGEN|7RCR|8AART|9LWND
212	11421 62531	 * 	181.15	DCR|3VULN|1AART|3ASPD|2CDMG	124ASPD|34aVULN|4BPWR|5RCVC|6AART|79CDMG|8RCR
213	61232 36143	   	180.98	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|23DMG|3BPWR|4CGEN|5RCR|6aVULN|7ZMB|8ASPD|9AART
214	35532 42332	 * 	180.98	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|26DMG|3aCDMG|5BEXP|7RCR|8CGEN|9AART
215	61311 32281	 * 	180.97	DCR|2VULN|2DMG|2AART|1ZMB	1RCVC|27DMG|3MBVNT|4ZMB|57VULN|67CGEN|7BPWR|89AART|aRCR
216	35531 52333	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|29DMG|3CDMG|5DUST|6DUR|7RCR|8CGEN|aAART
217	42136 63312	   	180.90	ACR|4VULN|1AART|1DMG	1AART|28aCGEN|3RCR|48aBASHEA|5DMG|6MLV|789aVULN|8aBPWR
218	35531 42332	   	180.88	DCR|2VULN|2DMG|1AART|2CDMG	14VULN|26DMG|3aCDMG|5DUST|7RCR|8CGEN|9AART
219	15341 13226	   	180.84	ACR|3VULN|2DMG|2ASPD|1ZMB	18ASPD|28aVULN|3FEWX|4RCR|5RCVC|6LHND|78DMG|8BPWR|9ZMB
220	33515 23133	   	180.83	ACR|2VULN|2DMG|3DUR|1CDMG|1ZMB	1aVULN|2DLOT|3RCR|4DMSP|59aDUR|6CDMG|7ZMB|8aDMG|aBPWR
221	42136 63311	   	180.80	ACR|4VULN|1AART|1DMG	1AART|28CGEN|3RCR|48BASHEA|5DMG|6MLV|789aVULN|8BPWR
222	35533 32621	   	180.52	DCR|4VULN|2DMG|1CDMG	148aVULN|2aDMG|3CDMG|5DMSP|6DUST|7RCR|9aERES|aBPWR
223	25616 32221	   	180.50	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17CGEN|26VULN|3RMIN|47DUR|57DMG|7BPWR|8AART|9CDMG|aRCR
224	35346 12442	   	180.44	ACR|4VULN|1AART|1DMG|1DUR	168aVULN|2DMG|3FEWX|4RCR|5MBVNT|7DUR|9AART
225	33511 23123	   	180.44	ACR|3DMG|2VULN|1CDMG|1ZMB	1aVULN|2DLOT|3RCR|4DMSP|5aLHND|6CDMG|7ZMB|89aDMG|aBPWR
226	35231 62221	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|27DMG|34CGEN|5TLV|67DUR|7BPWR|8AART|9CDMG|aRCR
227	35236 62221	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|27DMG|34CGEN|5ERES|67DUR|7BPWR|8AART|9CDMG|aRCR
228	15426 22313	   	180.35	DCR|4VULN|2DMG|2ASPD|1DUR	14ASPD|2349VULN|4BPWR|5LIT|68DMG|7DUR|aRCR
229	42124 14333	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2CGEN|3RCR|4CDMG|59aVULN|6BEXP|7DMG|8MLV
230	42125 34333	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2CGEN|3RCR|4CDMG|5LWND|69aVULN|7DMG|8MLV
231	35631 62221	   	180.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|27DMG|3DMSP|4ERES|5TLV|67DUR|7BPWR|8AART|9CDMG|aRCR
232	42124 32153	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2CGEN|3RCR|4CDMG|56aVULN|7LHND|8DMG|9ERES
233	42124 32323	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2CGEN|3RCR|4CDMG|56aVULN|7LHND|8ERES|9DMG
234	42124 36233	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2CGEN|3RCR|4CDMG|56aVULN|7DMG|8BEXP|9ERES
235	42136 12351	   	180.25	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2CGEN|3RCR|4BASHEA|579DMG|6CDMG|8VULN|aRPLT
236	35423 32352	   	180.21	DCR|4VULN|2DMG|1ZMB|1DUR	1346VULN|24DMG|4BPWR|5MLV|7DUR|8CGEN|9RCR|aZMB
