0	Index      	 *	Score 	Summary	Detail	
1	43213 41343	 * 	195.60	DCR|2VULN|2DMG|3ZMB|1AART	1DMSP|27DMG|3AART|47aZMB|57LWND|6RCR|7BPWR|89VULN
158	21532 13223	   	167.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5aVULN|6MBVNT|7AART|8DUST|9DMG
159	21532 52353	   	167.57	ACR|3VULN|1AART|2DUR|1ZMB	18LIT|2RCR|3ZMB|48DUR|578VULN|6RCVC|8BPWR|9AART|aERES
160	21113 62365	   	167.53	ACR|2DMG|2AART|1VULN|1ASPD	1LIT|2RCR|3LWND|4ASPD|5DUST|69DMG|7VULN|8aAART
161	21165 22413	 * 	167.43	ACR|5VULN|1DMG	1LIT|2RCR|39LWND|45678VULN|aDMG
162	21165 22431	   	167.43	ACR|5VULN|1DMG	1LIT|2RCR|3aLWND|45678VULN|9DMG
163	21165 22433	   	167.43	ACR|5VULN|1DMG	1LIT|2RCR|3LWND|45678VULN|9DMG|aRMIN
164	21234 26422	 * 	167.40	ACR|3VULN|1DMG|2CDMG|1DUR	1LIT|2RCR|3BELT|4DMG|589VULN|6aCDMG|7DUR
165	21165 22432	   	167.33	ACR|5VULN|1DMG	1LIT|2RCR|3LWND|45678VULN|9DMG|aTLV
166	21214 41211	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1aLIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9ASPD
167	21214 41213	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9ASPD|aLHND
168	21214 41214	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9ASPD|aBEXP
169	21214 41223	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1aLIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9DUR
170	21214 41224	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9DUR|aFEWX
171	21214 41231	   	167.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9LWND|aDUR
172	21214 44333	   	167.19	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2RCR|3BELT|4ZMB|5VULN|6aDMG|7LWND|8AART|9ASPD
173	21113 62364	   	167.09	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2RCR|3LWND|4ASPD|5DUST|69DMG|7VULN|8AART|aZMB
174	21214 41212	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9ASPD|aERES
175	21214 41226	   	167.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9DUR|aDUST
176	21234 21453	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4aDMG|58VULN|6CDMG|7RCVC|9ZMB
177	21234 22463	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|48DMG|5aVULN|6CDMG|7ZMB|9BEXP
178	21234 22543	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	19LIT|2RCR|3BELT|4aDMG|58VULN|6CDMG|7ZMB
179	21234 23425	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|47DMG|58VULN|6CDMG|9MLV|aZMB
180	21234 23451	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|47DMG|58VULN|6CDMG|9ZMB|aRPLT
181	21234 41223	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|5aVULN|7BEXP|8ZMB|9CDMG
182	21234 41232	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|59VULN|7BEXP|8ZMB|aCDMG
183	21234 45223	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|5aVULN|7LWND|8ZMB|9CDMG
184	21234 45232	   	167.08	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|59VULN|7LWND|8ZMB|aCDMG
185	12632 63623	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|25VULN|3CDMG|4CGEN|6RCR|7DUR|8AART|9FEWX|aDMG
186	43213 41521	   	167.01	DCR|3DMG|1AART|2ZMB|1DUR	1DMSP|27aDMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8DUR|9LHND
187	21132 56332	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3LWND|4CDMG|57VULN|6DLOT|8ZMB|9aDMG
188	21162 56332	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3LWND|47VULN|5CDMG|6DLOT|8ZMB|9aDMG
189	21234 22423	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|48DMG|5aVULN|6CDMG|7ZMB|9DUST
190	21234 23452	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|47DMG|58VULN|6CDMG|9ZMB|aDUST
191	21234 42223	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|5aVULN|7DUST|8ZMB|9CDMG
192	21234 42232	   	166.98	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|46DMG|59VULN|7DUST|8ZMB|aCDMG
193	21532 52326	   	166.97	ACR|3VULN|1AART|2DUR|1ZMB	18LIT|2RCR|3ZMB|48DUR|578VULN|6RCVC|8BPWR|9TLV|aAART
194	12622 62632	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|25VULN|3CDMG|4TLV|6RCR|7FEWX|8AART|9DMG|aDUR
195	12622 63623	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|25VULN|3CDMG|4TLV|6RCR|7DUR|8AART|9FEWX|aDMG
196	43213 41533	   	166.91	DCR|3DMG|1AART|2ZMB|1DUR	1DMSP|27aDMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8DUR|9ERES
197	21616 32241	   	166.88	ACR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2RCR|3SNIHEL|4ZMB|5aDMG|67VULN|8TLV|9CDMG
198	43234 23242	   	166.63	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1DMSP|28DMG|3AART|4SELL|5MLV|6VULN|7CDMG|9RCR|aZMB
199	43235 23351	   	166.63	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DMSP|2DMG|3AART|4SELL|5ZMB|6aVULN|7CDMG|8RPLT|9RCR
200	21531 33381	   	166.57	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|48DUR|5MBVNT|69VULN|7AART|aCDMG
201	21532 13381	   	166.57	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|48DUR|59VULN|6MBVNT|7AART|aCDMG
202	24214 81841	   	166.51	DCR|2VULN|2DMG|1AART	19LIT|29MLV|3MBVNT|4AART|5aVULN|6RCR|7BEXP|89DMG|9BPWR
203	21233 36463	   	166.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2RCR|3BELT|4aDMG|5TLV|6ZMB|7DUR|8VULN|9AART
204	21543 36231	   	166.48	ACR|2VULN|2AART|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4FEWX|5CDMG|67AART|8RMIN|9aVULN
205	21533 36421	   	166.42	ACR|3AART|1VULN|2CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5aCDMG|678AART|9VULN
206	21523 36231	   	166.38	ACR|2VULN|2AART|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4DUST|5CDMG|67AART|8RMIN|9aVULN
207	21616 32152	   	166.24	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1LIT|2RCR|3SNIHEL|4ZMB|5DMG|67VULN|8SELL|9AART|aASPD
208	21134 32146	 * 	166.20	ACR|3DMG|1AART|2CDMG	178LIT|2RCR|3aLWND|4aCDMG|59aDMG|6AART|aBPWR
209	21234 33663	   	166.13	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3BELT|4aDMG|58VULN|6LEGI|7FEWX|9AART
210	21261 22663	   	166.13	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3BELT|4LHND|5DUST|68VULN|7aDMG|9AART
211	33234 21663	 * 	166.02	DCR|2VULN|2DMG|2CDMG|1FLTHEA	1aDUST|2LIT|3BELT|4aDMG|58VULN|6FLTHEA|7aCDMG|9RCR|aBPWR
212	43136 41323	   	166.01	DCR|2VULN|2DMG|1AART	1DMSP|27DMG|37MLV|47BEXP|5AART|6RCR|7BPWR|8aVULN|9LHND
213	21211 42152	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|5RPLT|69DMG|7VULN|8DUR|aAART
214	21214 26225	   	165.89	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LIT|2RCR|3BELT|4ZMB|59VULN|68CDMG|7DUR|aAART
215	21616 14321	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2RCR|3SNIHEL|4ZMB|56DMG|7MLV|8VULN|9DUR|aAART
216	21616 32221	   	165.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3SNIHEL|4ZMB|5DMG|67VULN|8TLV|9DUR|aAART
217	21635 11321	   	165.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2RCR|3SNIHEL|4ERES|5ZMB|67DMG|8VULN|9DUR|aAART
218	43223 41521	   	165.71	DCR|3DMG|1AART|2ASPD|1DUR	1DMSP|27aDMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8DUR|9LHND
219	21532 34263	   	165.66	ACR|2VULN|2DMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|46DUR|58VULN|7aDMG|9RMIN
220	21532 34623	   	165.66	ACR|2VULN|2DMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|46DUR|59VULN|7aDMG|8RMIN
221	21512 16621	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4AART|57CGEN|6DMG|8DUR|9VULN|aCDMG
222	21513 24232	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|8FEWX|9VULN|aDMG
223	21513 24412	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|8VULN|9LWND|aDMG
224	21513 24422	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|8VULN|9RPLT|aDMG
225	21513 32121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6LHND|7DMG|8VULN|9ASPD|aCDMG
226	21513 42121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6BEXP|7DMG|8VULN|9ASPD|aCDMG
227	21515 24232	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	15LIT|2RCR|3ZMB|4AART|6CDMG|7ASPD|8FEWX|9VULN|aDMG
228	21515 32121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	15LIT|2RCR|3ZMB|4AART|6LHND|7DMG|8VULN|9ASPD|aCDMG
229	21515 42121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	15LIT|2RCR|3ZMB|4AART|6BEXP|7DMG|8VULN|9ASPD|aCDMG
230	21516 42121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|56LWND|7DMG|8VULN|9ASPD|aCDMG
231	21516 52121	   	165.65	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5LWND|6DMSP|7DMG|8VULN|9ASPD|aCDMG
232	21231 41425	   	165.63	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3BELT|46DMG|5RPLT|7RCVC|89VULN|aAART
233	21231 63425	   	165.63	ACR|2VULN|2DMG|1AART	1LIT|2RCR|3BELT|47DMG|5RPLT|6RCVC|89VULN|aAART
234	43223 41533	   	165.61	DCR|3DMG|1AART|2ASPD|1DUR	1DMSP|27aDMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8DUR|9ERES
