0	Index      	 *	Score 	Summary	Detail	
1	53521 12153	 * 	190.92	DCR|3DMG|2VULN|1AART|2ASPD	19BEXP|239DMG|4ERES|5aVULN|69ASPD|7RCR|8AART|9BPWR
162	16263 21422	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CDMG|3AART|4FEWX|5VULN|69DMG|7RCR|8DUR|aRCVC
163	56222 21421	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3AART|49DMG|5DUST|6VULN|7RCR|8DUR|aFEWX
164	56222 21423	   	167.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3AART|49DMG|5DUST|6VULN|7RCR|8DUR|aCGEN
165	16111 46232	 * 	167.51	ACR|2AART|1VULN|1DMG|2CDMG|1DUR	1DUST|26CDMG|3RCR|4RMIN|5DUR|7VULN|8aAART|9DMG
166	56112 11214	   	167.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3RCR|4RMIN|5ASPD|6DMG|7LHND|8AART|9aVULN
167	56112 15211	   	167.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART|aRPLT
168	56112 15212	   	167.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART|aCGEN
169	56222 21422	   	167.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CDMG|3AART|49DMG|5DUST|6VULN|7RCR|8DUR|aERES
170	46222 21214	   	167.40	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1SELL	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8ZMB|9FLTHEA|aSELL
171	16112 15211	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART|aRPLT
172	16112 15212	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART|aCGEN
173	16112 11214	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|7LHND|8AART|9aVULN
174	46112 13214	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2CDMG|3RCR|4RMIN|5ASPD|6DMG|7DUST|8AART|9aVULN
175	16232 14125	   	167.27	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	1DUST|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG|aSELL
176	53521 12314	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|23DMG|4ERES|58VULN|6ASPD|7RCR|9LIT|aAART
177	63521 12314	   	167.25	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|23DMG|4ERES|58VULN|6ASPD|7RCR|9LIT|aAART
178	16112 15215	   	167.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aDUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|79VULN|8AART
179	31131 51151	 * 	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	1DMSP|29BEXP|3DMG|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
180	35133 51151	   	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	1DMSP|279DUR|3DMG|4AART|59FEWX|69VULN|8RCR|9BPWR|aASPD
181	42131 51151	   	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	129LHND|3DMG|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
182	43131 51151	   	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19LHND|2RCVC|3DMG|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
183	53231 51151	   	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19BEXP|2DMG|3RCVC|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
184	63231 51151	   	167.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19FEWX|2DMG|3RCVC|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
185	13521 12314	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|23DMG|4ERES|58VULN|6ASPD|7RCR|9LIT|aAART
186	13521 12366	   	167.15	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|23DMG|4ERES|58VULN|6ASPD|7RCR|9FEWX|aAART
187	66112 12113	   	167.13	ACR|2VULN|2DMG|2CDMG|1ASPD	179FEWX|2aCDMG|3RCR|4RMIN|5ASPD|6aDMG|8aVULN|aBPWR
188	66112 15113	   	167.13	ACR|2VULN|2DMG|2CDMG|1ASPD	189FEWX|2aCDMG|3RCR|4RMIN|5ASPD|6aDMG|7aVULN|aBPWR
189	53531 51131	   	167.01	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	1BEXP|23DMG|4AART|579DUR|6VULN|8RCR|aASPD
190	63531 51131	   	167.01	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	1FEWX|23DMG|4AART|579DUR|6VULN|8RCR|aASPD
191	24131 51151	   	167.01	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	19TLV|2RMIN|3DMG|4AART|579DUR|69VULN|8RCR|9BPWR|aASPD
192	56263 21222	 * 	166.99	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|29CDMG|3AART|4FEWX|5aVULN|6DMG|7RCR|8LIT
193	53511 44436	   	166.99	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1BEXP|237DMG|4SELL|5MBVNT|6AART|8CDMG|9VULN|aRCR
194	63511 44436	   	166.99	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1FEWX|237DMG|4SELL|5MBVNT|6AART|8CDMG|9VULN|aRCR
195	13531 51131	   	166.91	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	1DUST|23DMG|4AART|579DUR|6VULN|8RCR|aASPD
196	16221 21222	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|29CDMG|3AART|4DMG|5FEWX|6aVULN|7RCR|8LIT
197	16263 21222	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	1DUST|29CDMG|3AART|4FEWX|5aVULN|6DMG|7RCR|8LIT
198	46222 21116	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	18LHND|2aCDMG|3AART|4DMG|5DUST|69VULN|7RCR
199	56222 21222	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	1BEXP|29CDMG|3AART|4DMG|5DUST|6aVULN|7RCR|8LIT
200	13511 44436	   	166.89	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1DUST|237DMG|4SELL|5MBVNT|6AART|8CDMG|9VULN|aRCR
201	13511 48436	   	166.89	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	17DUST|237DMG|4SELL|5MBVNT|6AART|7BPWR|8CDMG|9VULN|aRCR
202	13331 22326	   	166.87	DCR|4VULN|2DMG	1DUST|26DMG|389aVULN|4MLV|5FEWX|7RCR
203	13331 32346	   	166.87	DCR|4VULN|2DMG	1DUST|29DMG|368aVULN|4MLV|5FEWX|7RCR
204	13333 22346	   	166.87	DCR|4VULN|2DMG	1DUST|29DMG|358aVULN|4MLV|6LHND|7RCR
205	53521 42321	   	166.87	DCR|4VULN|2DMG	1BEXP|23DMG|4ERES|589aVULN|6CGEN|7RCR
206	53561 32321	   	166.87	DCR|4VULN|2DMG	1BEXP|23DMG|4CGEN|589aVULN|6ERES|7RCR
207	63521 42321	   	166.87	DCR|4VULN|2DMG	1FEWX|23DMG|4ERES|589aVULN|6CGEN|7RCR
208	63561 32321	   	166.87	DCR|4VULN|2DMG	1FEWX|23DMG|4CGEN|589aVULN|6ERES|7RCR
209	55333 31433	   	166.83	ACR|2VULN|2DMG|1AART	1BEXP|2LIT|3RCR|4AART|5LWND|6LHND|7aDMG|89VULN
210	65333 31433	   	166.83	ACR|2VULN|2DMG|1AART	1FEWX|2LIT|3RCR|4AART|5LWND|6LHND|7aDMG|89VULN
211	53363 12343	 * 	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2DMG|358VULN|4ERES|6ASPD|7RCR|9ZMB|aCDMG
212	13521 42321	   	166.77	DCR|4VULN|2DMG	1DUST|23DMG|4ERES|589aVULN|6CGEN|7RCR
213	13561 32321	   	166.77	DCR|4VULN|2DMG	1DUST|23DMG|4CGEN|589aVULN|6ERES|7RCR
214	13562 62321	   	166.77	DCR|4VULN|2DMG	1DUST|23DMG|4CGEN|5ERES|689aVULN|7RCR
215	16112 15134	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3RCR|4RMIN|5ASPD|6DMG|7aVULN|8FEWX|9AART
216	13363 12343	   	166.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2DMG|358VULN|4ERES|6ASPD|7RCR|9ZMB|aCDMG
217	13363 12353	   	166.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2DMG|358VULN|4ERES|6ASPD|7RCR|9CDMG|aZMB
218	16221 21416	   	166.67	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	1DUST|2CDMG|39AART|4DMG|5FEWX|6VULN|7RCR|8aDUR
219	63521 12323	   	166.64	DCR|3VULN|2DMG|1DUR|1ASPD	1FEWX|23DMG|4ERES|589VULN|6ASPD|7RCR|aDUR
220	53323 42362	 * 	166.51	DCR|3VULN|2DMG|1CDMG	1BEXP|2aDMG|358VULN|46CGEN|7RCR|9CDMG
221	13326 22457	   	166.42	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|26DMG|37VULN|4CGEN|5MBVNT|8ZMB|9RCR|aAART
222	13336 22457	   	166.42	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|26DMG|37VULN|4MLV|5MBVNT|8ZMB|9RCR|aAART
223	13331 22323	   	166.41	DCR|3VULN|2DMG|1CDMG	1DUST|26DMG|389VULN|4MLV|5FEWX|7RCR|aCDMG
224	13331 32343	   	166.41	DCR|3VULN|2DMG|1CDMG	1DUST|29DMG|368VULN|4MLV|5FEWX|7RCR|aCDMG
225	13333 22343	   	166.41	DCR|3VULN|2DMG|1CDMG	1DUST|29DMG|358VULN|4MLV|6LHND|7RCR|aCDMG
226	13343 52124	 * 	166.31	DCR|3DMG|2VULN|1FLTHEA	1DUST|29aDMG|35VULN|4RMIN|6FLTHEA|7RCR|8TLV
227	13343 52324	   	166.31	DCR|3DMG|2VULN|1FLTHEA	1DUST|29aDMG|35VULN|4RMIN|6FLTHEA|7RCR|8ERES
228	13531 11535	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1DUST|23DMG|4AART|5DUR|6MLV|7aVULN|8RPLT|9RCR
229	23365 24113	 * 	165.82	DCR|3DMG|3CDMG|1VULN|1DUR	19aTLV|2DUR|3RPLT|49aDMG|5VULN|6ERES|79aCDMG|8RCR|9aBPWR
230	21511 54113	   	165.78	DCR|2VULN|2DMG|2CDMG|1ZMB	19TLV|2LHND|39DMG|4ZMB|5aVULN|6RPLT|79CDMG|8RCR|9BPWR
231	16234 32331	   	165.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2CDMG|39AART|4RPLT|5VULN|6BELT|7RCR|8ZMB|aDMG
232	15334 11422	   	165.32	ACR|3VULN|1AART|1CDMG|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|68aVULN|7FEWX|9CDMG
233	15334 12422	   	165.32	ACR|3VULN|1AART|1CDMG|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|68aVULN|7LWND|9CDMG
234	15334 13422	   	165.32	ACR|3VULN|1AART|1CDMG|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|68aVULN|7LHND|9CDMG
235	53363 12314	   	165.32	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|2DMG|358VULN|4ERES|6ASPD|7RCR|9LIT|aAART
236	13363 12314	   	165.22	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2DMG|358VULN|4ERES|6ASPD|7RCR|9LIT|aAART
237	13363 12366	   	165.22	DCR|3VULN|1AART|1DMG|1ASPD	1DUST|2DMG|358VULN|4ERES|6ASPD|7RCR|9FEWX|aAART
238	46212 21213	   	165.17	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1LHND|2CDMG|3AART|4RMIN|5DUST|6aVULN|7RCR|8ZMB|9FLTHEA
239	33555 13311	 * 	165.13	DCR|5VULN|1CDMG|1DUR	1DMSP|2RPLT|3457aVULN|6RCR|8DUR|9CDMG
240	35111 44475	   	165.07	DCR|3DMG|1AART|1VULN|1DUR|1SELL	1DMSP|2DUR|379DMG|4SELL|5MBVNT|6AART|8RCR|aVULN
241	13541 42121	 * 	165.02	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DUST|23DMG|4LEGI|5VULN|6ASPD|7RCR|8aZMB|9AART
242	16223 33614	   	165.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15DUST|2CDMG|3AART|4DMG|6LHND|7DUR|8RCR|9aVULN
243	46132 63312	 * 	165.00	ACR|3VULN|1DMG|2CDMG|1DUR	14LHND|29CDMG|3RCR|567VULN|8DUR|aDMG
244	46132 11613	   	164.88	ACR|2VULN|2DMG|1CDMG|1ZMB	1478LHND|2CDMG|3RCR|58VULN|68DMG|8BPWR|9LWND|aZMB
245	46222 21231	   	164.78	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|89ZMB|aDUR
246	46132 11633	   	164.78	ACR|2VULN|2DMG|1CDMG|1ZMB	1478LHND|2CDMG|3RCR|58VULN|68DMG|8BPWR|9MBVNT|aZMB
247	46142 11221	 * 	164.68	ACR|2AART|2VULN|1CDMG|1ZMB	1LHND|2CDMG|3RCR|4RPLT|58AART|69VULN|7LWND|aZMB
248	13236 33614	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMG|3RCVC|4AART|5LHND|6CDMG|7DUR|8RCR|9aVULN
249	13536 33611	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|23DMG|4AART|5LHND|6CDMG|7DUR|8RCR|9VULN|aFEWX
250	13536 33613	   	164.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|23DMG|4AART|5LHND|6CDMG|7DUR|8RCR|9VULN|aCGEN
251	16322 14214	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2CDMG|3BEXP|4MLV|5ASPD|6DMG|7RCR|8AART|9aVULN
252	42132 33614	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	12LHND|3DMG|4AART|5DUST|6CDMG|7DUR|8RCR|9aVULN
253	43132 33614	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2RCVC|3DMG|4AART|5DUST|6CDMG|7DUR|8RCR|9aVULN
254	13326 32457	   	164.48	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2DMG|367VULN|4CGEN|5MBVNT|8ZMB|9RCR|aAART
255	13336 32457	   	164.48	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2DMG|367VULN|4MLV|5MBVNT|8ZMB|9RCR|aAART
256	13536 33612	   	164.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|23DMG|4AART|5LHND|6CDMG|7DUR|8RCR|9VULN|aERES
257	24132 33614	   	164.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2RMIN|3DMG|4AART|5DUST|6CDMG|7DUR|8RCR|9aVULN
258	13341 22553	 * 	164.41	DCR|2VULN|2DMG|2ASPD|1CDMG	1aDUST|26DMG|3aVULN|4RMIN|5FEWX|7RCR|8CDMG|9aASPD|aBPWR
259	13363 12146	   	164.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	19DUST|2DMG|35VULN|4ERES|6ASPD|7RCR|8AART|aCDMG
260	13521 12146	   	164.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19DUST|23DMG|4ERES|5VULN|6ASPD|7RCR|8AART|aCDMG
261	46132 53232	   	164.22	ACR|3VULN|1AART|1CDMG|1ASPD	14LHND|2CDMG|3RCR|578VULN|6AART|9LWND|aASPD
262	32242 14621	   	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1DMSP|28CDMG|3BEXP|4LEGI|58VULN|68DMG|7RCR|8BPWR|9ASPD|aRMIN
263	32242 14622	   	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1DMSP|28CDMG|3BEXP|4LEGI|58VULN|68DMG|7RCR|8BPWR|9ASPD|aCGEN
264	32242 14623	   	164.21	DCR|2VULN|2DMG|2CDMG|1ASPD	1DMSP|28CDMG|3BEXP|4LEGI|58VULN|68DMG|7RCR|8BPWR|9ASPD|aLHND
265	32323 14234	   	164.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3LWND|4LHND|5aVULN|6DMG|7RCR|8DUR|9AART
266	31121 12154	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	1DMSP|29BEXP|39DMG|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
267	42121 12254	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	129LHND|39DMG|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
268	43121 12254	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	19LHND|2RCVC|39DMG|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
269	53221 12154	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	19BEXP|29DMG|3RCVC|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
270	63221 12154	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	19FEWX|29DMG|3RCVC|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
271	63361 12151	   	163.99	DCR|2DMG|1AART|1VULN|3ASPD	159FEWX|29DMG|3VULN|4ERES|69aASPD|7RCR|8AART|9BPWR
272	13343 51224	   	163.91	DCR|3DMG|2VULN|1FLTHEA	1DUST|29aDMG|35VULN|4RMIN|6FLTHEA|7ERES|8RCR
273	53521 32324	   	163.67	DCR|3VULN|2DMG|1ZMB	1BEXP|23DMG|46ERES|589VULN|7RCR|aZMB
274	46222 21511	   	163.58	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8RMIN|9FLTHEA|aDUR
275	13511 81215	   	163.57	DCR|2VULN|2DMG|1AART|1SELL	1DUST|23DMG|4SELL|5MBVNT|6RCR|7LHND|8AART|9aVULN
276	13511 87211	   	163.57	DCR|2VULN|2DMG|1AART|1SELL	1DUST|23DMG|4SELL|5MBVNT|6RCR|79VULN|8AART|aRPLT
277	13511 87212	   	163.57	DCR|2VULN|2DMG|1AART|1SELL	1DUST|23DMG|4SELL|5MBVNT|6RCR|79VULN|8AART|aCGEN
278	13511 87214	   	163.47	DCR|2VULN|2DMG|1AART|1SELL	1DUST|23DMG|4SELL|5MBVNT|6RCR|79VULN|8AART|aSNIHEL
279	32613 64231	   	163.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1DMSP|2CDMG|3aDUR|4ZMB|5VULN|6FEWX|7RCR|8AART|9DMG
280	53531 51123	   	163.20	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1BEXP|23DMG|4AART|57DUR|6VULN|8RCR|9CGEN|aASPD
281	35121 12321	   	163.16	DCR|4VULN|1DMG|1DUR|1ASPD	1DMSP|2DUR|3DMG|4ERES|589aVULN|6ASPD|7RCR
282	55334 11233	   	163.12	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2LIT|3RCR|4AART|5ASPD|69VULN|7FEWX|8DUR|aDMG
283	55334 12233	   	163.12	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1BEXP|2LIT|3RCR|4AART|5ASPD|69VULN|7LWND|8DUR|aDMG
284	55334 13233	   	163.12	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|2LIT|3RCR|4AART|5ASPD|69VULN|7LHND|8DUR|aDMG
285	65334 13233	   	163.12	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1FEWX|2LIT|3RCR|4AART|5ASPD|69VULN|7LWND|8DUR|aDMG
286	53133 42143	   	163.12	DCR|3VULN|2DMG|2ZMB	1BEXP|2aDMG|3LHND|4MLV|57aVULN|6FEWX|8aZMB|9RCR|aBPWR
287	13531 51123	   	163.10	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1DUST|23DMG|4AART|57DUR|6VULN|8RCR|9CGEN|aASPD
288	53531 51113	   	163.10	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1BEXP|23DMG|4AART|57DUR|6VULN|8RCR|9TLV|aASPD
289	53363 12223	   	163.09	DCR|2VULN|2DMG|2ASPD|2DUR	1BEXP|2aDMG|35VULN|4ERES|6aASPD|7RCR|8LWND|9aDUR|aBPWR
290	66223 51212	   	163.08	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9aMLV
291	66223 51221	   	163.08	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|59CGEN|6RCR|8VULN|aLHND
292	66223 51223	   	163.08	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|59CGEN|6RCR|8VULN|aLIT
293	35111 44453	   	163.07	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1DMSP|2DUR|37DMG|4SELL|5MBVNT|6AART|8RCR|9CDMG|aVULN
294	13152 14343	   	163.05	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|29DMG|3LHND|46VULN|5AART|7LIT|8ASPD|aRCR
295	13152 21325	   	163.05	DCR|2VULN|2DMG|1AART|1DUR	1DUST|26DMG|3LHND|49VULN|5AART|7DUR|8FEWX|aRCR
296	63152 21125	   	163.05	DCR|2VULN|2DMG|1AART|1DUR	1FEWX|26DMG|3LHND|49VULN|5AART|7DUR|8DUST|aRCR
297	15334 31623	   	163.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|6DMG|7VULN|8ZMB|9CDMG|aLEGI
298	15334 11233	   	163.02	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2LIT|3RCR|4AART|5ASPD|69VULN|7FEWX|8DUR|aDMG
299	15334 12233	   	163.02	ACR|2VULN|1AART|1DMG|1DUR|1ASPD	1DUST|2LIT|3RCR|4AART|5ASPD|69VULN|7LWND|8DUR|aDMG
300	15334 13233	   	163.02	ACR|2VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2LIT|3RCR|4AART|5ASPD|69VULN|7LHND|8DUR|aDMG
301	32622 14613	   	163.02	DCR|2DMG|1VULN|2CDMG|2DUR|1ZMB	1DMSP|28CDMG|38DUR|4LHND|5VULN|68DMG|7RCR|8BPWR|9FEWX|aZMB
302	32622 14633	   	163.02	DCR|2DMG|1VULN|2CDMG|2DUR|1ZMB	1DMSP|28CDMG|38DUR|4LHND|5VULN|68DMG|7RCR|8BPWR|9RCVC|aZMB
303	13531 51113	   	163.00	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1DUST|23DMG|4AART|57DUR|6VULN|8RCR|9TLV|aASPD
304	66223 51211	   	162.98	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9MLV|aMBVNT
305	16234 32335	   	162.96	DCR|2AART|2VULN|1CDMG|1ZMB	1DUST|2CDMG|39AART|4RPLT|5aVULN|6BELT|7RCR|8ZMB
306	13331 32323	 * 	162.93	DCR|4VULN|1DMG|1CDMG	1DUST|2DMG|3689VULN|4MLV|5FEWX|7RCR|aCDMG
307	55333 31522	 * 	162.89	ACR|2DMG|1AART|1VULN|1CDMG	1BEXP|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9CDMG|aVULN
308	55333 31532	 * 	162.89	ACR|2DMG|1AART|1VULN|1FLTHEA	1BEXP|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9FLTHEA|aVULN
309	65333 31522	   	162.89	ACR|2DMG|1AART|1VULN|1CDMG	1FEWX|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9CDMG|aVULN
310	65333 31532	   	162.89	ACR|2DMG|1AART|1VULN|1FLTHEA	1FEWX|2LIT|3RCR|4AART|5LWND|6LHND|78DMG|9FLTHEA|aVULN
311	13443 22623	   	162.89	DCR|2VULN|2DMG|1CDMG|2DUR	1DUST|26DMG|3ERES|48DUR|59VULN|7RCR|aCDMG
312	16224 51212	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9aMLV
313	16224 51222	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aMLV
314	16224 51223	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aFEWX
315	66223 51233	   	162.88	DCR|2DMG|1AART|1VULN|1CDMG	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9DUST|aTLV
316	16224 51211	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9MLV|aMBVNT
317	16224 51221	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	1DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|9CGEN|aMBVNT
318	16224 51231	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	19DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|aLHND
319	16224 51233	   	162.78	DCR|2DMG|1AART|1VULN|1CDMG	19DUST|2CDMG|3AART|47DMG|5ERES|6RCR|8VULN|aLIT
320	32323 14652	   	162.74	DCR|2DMG|1AART|1VULN|2CDMG|1SELL	1DMSP|28CDMG|38LWND|4LHND|5VULN|68DMG|7RCR|8BPWR|9SELL|aAART
321	66223 51232	   	162.73	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1FEWX|2CDMG|3AART|47DMG|5CGEN|6RCR|8VULN|9DUST|aSELL
322	13341 32553	 * 	162.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1aDUST|2DMG|36aVULN|4RMIN|5FEWX|7RCR|8CDMG|9aASPD|aBPWR
323	15162 34133	 * 	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1aDUST|2LIT|3AART|4aZMB|5BELT|6DUR|7RCR|8CDMG|9aDMG|aBPWR
324	11326 33648	   	162.38	DCR|3VULN|1AART|1DMG	1DUST|2ERES|38aVULN|4CGEN|5MBVNT|6RCR|7AART|9DMG
325	23142 11134	   	162.32	ACR|3VULN|1AART|1CDMG|1DUR	1TLV|2DUR|3LHND|4RCR|5AART|69aVULN|7LWND|8CDMG
326	53363 12125	   	162.31	DCR|2VULN|2AART|1DMG|1ASPD	1BEXP|2DMG|35VULN|4ERES|6ASPD|7RCR|8aAART|9CGEN
327	53521 12125	   	162.31	DCR|2DMG|2AART|1VULN|1ASPD	1BEXP|23DMG|4ERES|5VULN|6ASPD|7RCR|8aAART|9CGEN
