0	Index      	 *	Score 	Summary	Detail	
1	34134 23133	 * 	227.33	DCR|3DMG|2ASPD|1VULN|1CDMG|1AAC|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9VULN|aAAC
151	34134 23141	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9LWND|aLEGI
152	34134 23142	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR|1MSE	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9LWND|aMSE
153	34134 23153	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9TLV|aFEWX
154	34134 23161	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR|1MSE	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9RPLT|aMSE
155	34134 23231	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9ZMB|aLHND
156	34134 23232	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9ZMB|aBEXP
157	34134 23236	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9ZMB|aAELBLL
158	34134 23531	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8MBVNT|9ZMB|aLHND
159	34134 23532	   	200.11	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8MBVNT|9ZMB|aFEWX
160	34134 23115	   	200.01	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9aDUST
161	34134 23152	   	200.01	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8ZMB|9aTLV
162	34134 23235	   	200.01	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|9ZMB|aDUST
163	34134 23534	   	200.01	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	1CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8MBVNT|9ZMB|aDUST
164	34536 14122	   	200.00	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2DMG|3458VULN|6MBVNT|7RCR|9DUR|aLHND
165	34536 14121	   	199.90	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2DMG|3458VULN|6MBVNT|7RCR|9DUR|aERES
166	34536 14123	   	199.90	DCR|4VULN|1DMG|1CDMG|1DUR|1MSE	1CDMG|2DMG|3458VULN|6MBVNT|7RCR|9DUR|aMSE
167	34536 14124	   	199.90	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2DMG|3458VULN|6MBVNT|7RCR|9DUR|aLEGI
168	36332 24632	   	199.88	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2AART|35LIT|457VULN|5BPWR|6DUST|8RMIN|9RCR|aDMG
169	36233 43214	 * 	199.86	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1CDMG|2aAART|3MDPS|4BEXP|59VULN|6RCR|7ASPD|8LHND
170	63543 13122	   	199.82	ACR|3DMG|2VULN|1MDPS|2ASPD|1AAC	19VULN|24DUST|369DMG|5RCR|79ASPD|8AAC|9BPWR|aMDPS
171	34234 23433	 * 	199.56	DCR|3DMG|2VULN|1CDMG|1DUR	1CDMG|245DMG|35ERES|5BPWR|6DUR|7RCR|8BELT|9aVULN
172	34126 31342	   	199.23	DCR|3VULN|2CDMG|1ASPD|1DMG	1aCDMG|2DMG|3ASPD|4DUST|5TSLARM|678VULN|9RCR
173	64136 14142	   	199.12	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUST|aLHND
174	34536 14131	   	199.12	DCR|4VULN|2CDMG|1DMG	19CDMG|2DMG|3458VULN|6MBVNT|7RCR|aRPLT
175	34536 14133	   	199.12	DCR|4VULN|2CDMG|1DMG	19CDMG|2DMG|3458VULN|6MBVNT|7RCR|aBEXP
176	64136 14141	   	199.02	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUST|aERES
177	64136 14143	   	199.02	DCR|4VULN|2CDMG|1DMG|1MSE	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUST|aMSE
178	64136 14144	   	199.02	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7RCR|9DUST|aLEGI
179	63213 32623	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2DUST|3BEXP|59DUR|6RCR|7ASPD|aAART
180	63413 32623	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2DUST|3FEWX|59DUR|6RCR|7ASPD|aAART
181	33632 11266	   	198.90	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2LWND|3RMIN|45VULN|6BEXP|7DMG|89AART|aRCR
182	64123 52323	 * 	198.68	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	13VULN|235CDMG|3BPWR|4DUST|6AME|7ASPD|8DUR|9AART|aRCR
183	55212 11452	 * 	198.39	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1ERES|2MBVNT|35VULN|457DUR|5BPWR|6DMG|8RCR|9AART|aCDMG
184	32352 62153	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1CDMG|2SPLJET|3SPLARM|4DUST|5ASPD|6RCR|7MLV|8aVULN|9AART
185	32352 62513	   	198.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1CDMG|2SPLJET|3SPLARM|4DUST|5ASPD|6RCR|7MLV|8AART|9aVULN
186	34536 22423	   	198.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2DMG|345VULN|6DUR|7MBVNT|8ASPD|9LWND|aRCR
187	34536 13214	   	198.16	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2DMG|3457VULN|6MBVNT|8DUR|9RMIN|aRCR
188	34536 22114	   	198.16	DCR|4VULN|1DMG|1CDMG|1DUR	1CDMG|2DMG|3458VULN|6DUR|7MBVNT|9RMIN|aRCR
189	36233 43353	 * 	198.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1CDMG|2AART|3MDPS|4BEXP|59VULN|6RCR|7aASPD|8LIT
190	36123 42432	   	198.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2AART|3BEXP|4DUR|58ASPD|6DMG|7DUST|9VULN|aRCR
191	31122 64162	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2FEWX|3MULARM|4CANARM|5ASPD|6RCR|79aVULN|8DMG
192	32122 64162	   	197.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2SPLJET|3DUST|4CANARM|5ASPD|6RCR|79aVULN|8DMG
193	34536 14223	   	197.68	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1CDMG|2DMG|345VULN|6MBVNT|7RCR|8DUR|9RMIN|aMDPS
194	34134 23216	   	197.54	DCR|3DMG|2ASPD|2CDMG|1DUR	19CDMG|245DMG|35ASPD|5BPWR|6DUR|7RCR|8LEGI|aRCVC
195	64136 11114	   	197.38	DCR|4VULN|2CDMG|1DMG	1358VULN|23CDMG|3BPWR|4DMG|6MBVNT|7BEXP|9RMIN|aRCR
