0	Index      	 *	Score 	Summary	Detail	
1	23612 32442	 * 	199.75	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD|1DUR	1aVULN|236DMG|4AART|5DUR|7ZMB|8ASPD|9RCR
171	22631 31365	   	171.75	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2CGEN|3aDMG|4ASPD|5RPLT|6RCR|7AART|8BEXP|9aLIT|aBPWR
172	22631 31415	   	171.75	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2CGEN|3aDMG|4ASPD|5RPLT|6RCR|7AART|8LIT|9aLHND|aBPWR
173	23331 31424	   	171.75	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|2aDMG|3MLV|4ASPD|5RPLT|6RCR|7AART|8aLIT|9RCVC|aBPWR
174	33155 32631	   	171.75	DCR|3DMG|2VULN|1CDMG|2DUR	18DUR|267DMG|3RMIN|48FEWX|58VULN|8BPWR|9CDMG|aRCR
175	23331 31455	   	171.55	DCR|2VULN|2DMG|1AART|1ASPD	1aVULN|29DMG|3MLV|4ASPD|5RPLT|6RCR|7AART|8LIT
176	36414 14426	   	171.45	DCR|4VULN|1AART|2DUR	1aDUR|2MBVNT|3AART|478aVULN|5aLHND|6RCR|9DMSP|aBPWR
177	25315 22242	   	171.32	DCR|2AART|2VULN|1DMG|1CDMG	12VULN|3ERES|49AART|5DMG|6CDMG|7RCR|8TLV|aBEXP
178	25315 22243	   	171.22	DCR|2AART|2VULN|1DMG|1CDMG	12VULN|3ERES|49AART|5DMG|6CDMG|7RCR|8aTLV
179	33463 23261	   	170.95	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|28DMG|3LWND|4VULN|5ASPD|6CDMG|7RCR|9AART|aLHND
180	23612 31256	 * 	170.93	DCR|3DMG|1AART|1VULN|3DUR	1VULN|236DMG|4AART|578DUR|9BEXP|aRCR
181	23612 31236	   	170.83	DCR|3DMG|1AART|1VULN|3DUR	1VULN|236DMG|4AART|578DUR|9DUST|aRCR
182	23612 52226	   	170.83	DCR|3DMG|1AART|1VULN|3DUR	1VULN|239DMG|4AART|568DUR|7DUST|aRCR
183	25315 22612	   	170.73	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	12VULN|3ERES|4AART|5DMG|6CDMG|7RCR|8SELL|9LHND|aZMB
184	25315 22622	   	170.73	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	12VULN|3ERES|4AART|5DMG|6CDMG|7RCR|8SELL|9FEWX|aZMB
185	26146 12323	 * 	170.51	DCR|4VULN|1AART|1CDMG|1DUR	145aVULN|2DUR|37DUST|6AART|8CDMG|9RCR
186	35146 12323	   	170.51	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|245aVULN|37DUST|6AART|8CDMG|9RCR
187	25442 33222	 * 	170.46	ACR|4VULN|3AART	1239VULN|4RCR|56LHND|78aAART
188	26333 23225	   	170.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2DUR|3RMIN|4LWND|5ASPD|6CDMG|7RCR|89DMG|aAART
189	35333 23225	   	170.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2VULN|3RMIN|4LWND|5ASPD|6CDMG|7RCR|89DMG|aAART
190	65122 13234	   	170.35	ACR|3DMG|2AART|1VULN	19MLV|279DMG|3RCVC|4LEGI|5RCR|68AART|9BPWR|aVULN
191	25141 53332	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|5MLV|6AART|7CDMG|8DMG|9ZMB|aBEXP
192	65122 13221	   	170.25	ACR|3DMG|2AART|1VULN	1MLV|27aDMG|3RCVC|4LEGI|5RCR|68AART|9VULN
193	36413 14548	   	170.24	DCR|3VULN|2AART|1ASPD|1DUR	1DUR|2MBVNT|39AART|47aVULN|5FEWX|6RCR|8ASPD
194	65332 13221	   	170.15	ACR|3DMG|2AART|1VULN	1MLV|27aDMG|3ERES|4TLV|5RCR|68AART|9VULN
195	36413 33228	   	170.11	DCR|3VULN|1AART|1DMG|2DUR	18DUR|2MBVNT|3AART|46aVULN|56FEWX|6BPWR|7DMG|9RCR
196	36483 41482	 * 	170.11	DCR|3VULN|1AART|2CDMG|2DUR	18DUR|2MBVNT|3AART|48CDMG|5CGEN|6FEWX|78aVULN|8BPWR|9RCR
197	25143 12331	   	170.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12VULN|3RCVC|4RCR|57DUST|6AART|8CDMG|9ZMB|aDMG
198	25442 31323	   	169.96	ACR|4VULN|2CDMG|1DMG	1238VULN|4RCR|568LHND|78CDMG|8BPWR|9DMG|aLIT
199	36462 73432	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3AART|49RPLT|5DMG|6RCR|7CDMG|8aVULN
200	24324 36232	   	169.86	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|27DUST|3CDMG|4BEXP|5AART|67DMG|7BPWR|8DMSP|9RPLT|aRCR
201	25442 31321	   	169.86	ACR|4VULN|1DMG|2CDMG	1238VULN|4RCR|568LHND|78CDMG|8BPWR|9DMG|aMBVNT
202	22631 31434	   	169.82	DCR|3VULN|1AART|1DMG|1ASPD	19aVULN|2aCGEN|3DMG|4ASPD|5RPLT|6RCR|7AART|8aLIT|aBPWR
203	36413 14528	   	169.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2MBVNT|3AART|47VULN|5FEWX|6RCR|8aASPD|9DMG
204	36413 15821	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3AART|48VULN|5FEWX|6RCR|7ERES|9DMG|aCDMG
205	36414 14528	   	169.81	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|2MBVNT|3AART|47VULN|5LHND|6RCR|8aASPD|9DMG
206	36414 15821	   	169.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3AART|48VULN|5LHND|6RCR|7ERES|9DMG|aCDMG
