0	Index      	 *	Score 	Summary	Detail	
1	26214 31633	 * 	213.65	DCR|3VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aDMG
162	26211 51632	   	185.93	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7LWND|8CDMG|9VULN|aDUST
163	32223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2FEWX|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
164	33224 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|24VULN|3DUR|5FEWX|67AART|8DUST|9RCR|aASPD
165	36223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2BEXP|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
166	53223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1FEWX|2LWND|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
167	21212 72523	   	185.83	DCR|2AART|1MDPS|1VULN|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|68AART|7RCR|9MDPS|aNUKE
168	21274 72523	   	185.73	DCR|2AART|1MDPS|1VULN|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|4VULN|5DUST|68AART|7RCR|9MDPS|aNUKE
169	26213 53531	   	185.70	DCR|2ASPD|1VULN|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7CGEN|8VULN|9DMG|aRMIN
170	33223 56324	   	185.68	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|249VULN|3DUR|5MDPS|6AME|7AART|8ASPD|aRCR
171	33231 56324	   	185.68	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|259VULN|3DUR|4MDPS|6AME|7AART|8ASPD|aRCR
172	21212 83542	   	185.66	DCR|2AART|2ASPD|1VULN|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|78AART|9DUR
173	26361 31325	   	185.64	DCR|3ASPD|2VULN|1ZMB|1DUR	125ASPD|2BPWR|3AME|49VULN|6ZMB|7LHND|8RCR|aDUR
174	26361 33325	   	185.64	DCR|3ASPD|2VULN|1ZMB|1DUR	125ASPD|2BPWR|3AME|49VULN|6ZMB|7LWND|8RCR|aDUR
175	24214 36233	   	185.60	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|28DMSP|3LIT|4AART|5ERES|6aVULN|7RCR|9DMG
176	23163 53325	 * 	185.60	DCR|2DMG|2ASPD|1VULN|1CDMG	17ASPD|2LWND|3SNIFST|4CGEN|5VULN|68DMG|9RCR|aCDMG
177	23263 53325	   	185.60	DCR|2DMG|2ASPD|1VULN|1CDMG	17ASPD|2LWND|3MULFIG|4CGEN|5VULN|68DMG|9RCR|aCDMG
178	24215 21235	 * 	185.60	DCR|2DMG|2ASPD|1AART|1CDMG	15ASPD|2DMSP|3LIT|4AART|68DMG|7FEWX|9RCR|aCDMG
179	24215 23235	   	185.60	DCR|2DMG|2ASPD|1AART|1CDMG	15ASPD|2DMSP|3LIT|4AART|68DMG|7LWND|9RCR|aCDMG
180	26311 63235	   	185.60	DCR|2DMG|2ASPD|1AART|1CDMG	12ASPD|2BPWR|3AME|4CGEN|58DMG|6AART|7LIT|9RCR|aCDMG
181	21262 72144	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4BEXP|58VULN|6AART|7RCR|9MLV|aDMG
182	21262 72384	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4BEXP|59VULN|6AART|7RCR|8AME|aDMG
183	21262 72484	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4BEXP|59VULN|6AART|7RCR|8MLV|aDMG
184	23133 53325	   	185.50	DCR|2DMG|2ASPD|1VULN|1CDMG	17ASPD|2LWND|3SNIFST|4ERES|5VULN|68DMG|9RCR|aCDMG
185	23233 53325	   	185.50	DCR|2DMG|2ASPD|1VULN|1CDMG	17ASPD|2LWND|3MULFIG|4ERES|5VULN|68DMG|9RCR|aCDMG
186	26212 53533	 * 	185.42	DCR|2AART|2DMG|2ASPD	12ASPD|2BPWR|37LIT|46AART|5BEXP|8aDMG|9RCR
187	21274 72144	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|48VULN|5DUST|6AART|7RCR|9MLV|aDMG
188	21274 72384	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|49VULN|5DUST|6AART|7RCR|8AME|aDMG
189	21274 72484	   	185.40	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|49VULN|5DUST|6AART|7RCR|8MLV|aDMG
190	26361 31351	   	185.33	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	125ASPD|2BPWR|3AME|4VULN|6ZMB|7LHND|8RCR|9DMG|aDUR
191	26361 33351	   	185.33	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	125ASPD|2BPWR|3AME|4VULN|6ZMB|7LWND|8RCR|9DMG|aDUR
192	32264 52121	   	185.31	DCR|2VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|79VULN|8CGEN|aMDPS
193	21421 33351	   	185.23	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	167ASPD|2TLV|3FEWX|4VULN|5ZMB|8RCR|9DMG|aDUR
194	24215 34231	   	185.22	DCR|2VULN|1MDPS|2ASPD|1AART	15ASPD|2DMSP|3LIT|4AART|67VULN|8AME|9RCR|aMDPS
195	24215 34331	   	185.22	DCR|2VULN|1MDPS|2ASPD|1AART	15ASPD|2DMSP|3LIT|4AART|67VULN|8CGEN|9RCR|aMDPS
196	32264 53121	   	185.21	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|7NUKE|89VULN|aMDPS
197	13353 21156	 * 	185.20	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1DUR	1AAC|2DUST|3LIT|46DMG|5AART|7VULN|8RCR|9DUR|aCDMG
198	26214 32631	   	185.12	DCR|2VULN|1MDPS|2ASPD|1AART	12ASPD|2BPWR|37LIT|4AART|5ERES|68VULN|9RCR|aMDPS
199	21212 83145	   	185.11	DCR|2VULN|1MDPS|1AART|1ASPD|1DUR	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9DUR|aMDPS
200	33416 32512	 * 	185.09	ACR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1LWND|2VULN|39CDMG|4aAART|5RCR|6DUR|7ASPD|8DMG
201	26214 31431	   	185.02	DCR|2VULN|1MDPS|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|58ERES|67VULN|9RCR|aMDPS
202	24215 21236	   	185.00	DCR|3DMG|2ASPD|1AART	15ASPD|2DMSP|3LIT|4AART|68aDMG|7FEWX|9RCR
203	24215 23233	   	185.00	DCR|3DMG|2ASPD|1AART	15ASPD|2DMSP|3LIT|4AART|68aDMG|7LWND|9RCR
204	26311 63233	   	185.00	DCR|3DMG|2ASPD|1AART	12ASPD|2BPWR|3AME|4CGEN|58aDMG|6AART|7LIT|9RCR
205	26511 63233	   	185.00	DCR|3DMG|2ASPD|1AART	12ASPD|2BPWR|3MLV|4CGEN|58aDMG|6AART|7LIT|9RCR
206	26531 63233	   	185.00	DCR|3DMG|2ASPD|1AART	12ASPD|2BPWR|3MLV|4AME|58aDMG|6AART|7LIT|9RCR
207	22523 21156	   	185.00	DCR|2DMG|2ASPD|1VULN|2DUR	1aASPD|2DLOT|3LHND|4aLIT|56DMG|7VULN|8RCR|9aDUR|aBPWR
208	26223 62352	   	184.87	DCR|3ASPD|1AART|1VULN|1DUR	12aASPD|2BPWR|3LIT|4FEWX|5VULN|6RMIN|7RCR|8AART|9DUR
209	22131 36533	   	184.83	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB	1ASPD|2DLOT|3RCVC|4ZMB|5LIT|68VULN|7RCR|9DMG|aMDPS
210	21212 87484	   	184.71	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|7DMSP|8aDMG|9AART
211	22135 32662	 * 	184.69	DCR|2ASPD|3ZMB|1VULN|1AART|1AAC	17ASPD|2DLOT|3RCVC|457ZMB|6AART|7BPWR|8AAC|9RCR|aVULN
212	21321 53435	 * 	184.68	DCR|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2TLV|3CDMG|4LWND|5VULN|6DUR|7RCR|8AART|9ZMB|aMDPS
213	21324 13435	   	184.68	DCR|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2TLV|3CDMG|4LWND|5DUR|6VULN|7RCR|8AART|9ZMB|aMDPS
214	26151 22321	   	184.28	DCR|3ASPD|2VULN|1ZMB	125ASPD|2BPWR|3LHND|4RMIN|6MLV|79VULN|8RCR|aZMB
215	33415 12324	   	184.27	DCR|3AART|1VULN|2CDMG|1ASPD	1LWND|2VULN|35CDMG|467AART|8FEWX|9ASPD|aRCR
216	21321 53561	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1ASPD|2aTLV|3CDMG|4LWND|59aVULN|6DUR|7RCR|8aAELBLL|aBPWR
217	26211 56221	   	184.24	DCR|3ASPD|1AART|1DMG|2DUR	12aASPD|2BPWR|3LIT|4AART|59DUR|6RCR|7RPLT|8DMG
218	24631 22362	   	184.22	DCR|2VULN|2ASPD|1AART	18ASPD|2DMSP|3SPLJET|4ERES|5RCVC|6RCR|79VULN|aAART
219	61661 11331	   	184.19	DCR|2VULN|2ASPD|1AART|1ZMB	1CGEN|2AME|34VULN|58ASPD|6MLV|7AART|9ZMB|aRCR
220	33415 12224	   	184.17	DCR|3AART|1VULN|2CDMG|1ASPD	1LWND|2VULN|35CDMG|467AART|8DUST|9ASPD|aRCR
221	64341 12213	   	184.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1CGEN|2AART|3VENFST|4DUR|59VULN|6ASPD|7TLV|8CDMG|aRCR
222	61661 31331	   	184.09	DCR|2VULN|2ASPD|1AART|1ZMB	1CGEN|2AME|34VULN|58ASPD|6ERES|7AART|9ZMB|aRCR
223	21212 72185	   	184.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6AART|7RCR|9ZMB|aDUR
224	24622 12522	   	184.05	DCR|2VULN|1AART|1ASPD|1CDMG	1ASPD|2DMSP|3SPLJET|4FEWX|5aVULN|6RMIN|7AART|8RCR|9CDMG
225	35122 52522	   	184.03	DCR|2DMG|1VULN|1AART|1CDMG	1LWND|2RMIN|3SNIFST|4FEWX|56DMG|7AART|8RCR|9CDMG|aVULN
226	35222 52522	   	184.03	DCR|2DMG|1VULN|1AART|1CDMG	1LWND|2RMIN|3MULFIG|4FEWX|56DMG|7AART|8RCR|9CDMG|aVULN
227	21533 16213	   	183.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3MSLFST|4DUR|59VULN|6CGEN|7AART|8CDMG|aRCR
228	21533 26213	   	183.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3MSLFST|4DUR|59VULN|6MLV|7AART|8CDMG|aRCR
229	26213 35115	   	183.88	DCR|2AART|2ASPD|1VULN|1ZMB	12ASPD|2BPWR|3LIT|4aAART|5LHND|6VULN|7ZMB|8RCR|9BEXP
230	26213 35125	   	183.88	DCR|2AART|2ASPD|1VULN|1ZMB	12ASPD|2BPWR|3LIT|4aAART|5LHND|6VULN|7ZMB|8RCR|9LWND
231	11513 41221	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1AAC|29LIT|3RPLT|4CDMG|5AART|6RCR|79VULN|89TSLFST|9BPWR|aASPD
232	33112 22344	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|28VULN|3ERES|4FEWX|5LIT|6RCR|7AART|9CDMG|aASPD
233	22131 36532	   	183.77	DCR|2VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DLOT|3RCVC|4ZMB|5LIT|68VULN|7RCR|9DMG|aDUR
234	26243 22633	   	183.75	DCR|2ASPD|1AART|1VULN|1DMG|2RMIN	12ASPD|2BPWR|34LIT|57RMIN|6VULN|8AART|9RCR|aDMG
235	26262 22633	   	183.75	DCR|2ASPD|1VULN|1AART|1DMG|2RMIN	12ASPD|2BPWR|3LIT|47RMIN|5AELBLL|6VULN|8AART|9RCR|aDMG
236	33542 22343	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|28VULN|3DUST|4ERES|5LIT|6RCR|7AART|9CDMG|aDMG
237	21212 72542	   	183.66	DCR|2AART|2ASPD|1VULN|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|5VULN|68AART|7RCR|9DUR
