0	Index      	 *	Score 	Summary	Detail	
1	43322 34116	 * 	195.30	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	179DMG|29VULN|3RPLT|4ZMB|5AART|6LIT|89DUR|9BPWR|aRCR
163	43521 62333	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	1aDMG|269VULN|3ZMB|4CGEN|5LWND|7RCR|8DUR
164	46121 62333	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	1aDMG|2ZMB|369VULN|4CGEN|5LWND|7RCR|8DUR
165	45211 12315	   	170.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2TLV|3AART|48ZMB|57VULN|6CGEN|9RCR|aCDMG
166	45211 32315	   	170.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2TLV|3AART|48ZMB|57VULN|6MLV|9RCR|aCDMG
167	45211 12314	 * 	170.51	DCR|2VULN|3ZMB|1AART|1DMG	1DMG|2TLV|3AART|48aZMB|57VULN|6CGEN|9RCR
168	45211 32314	   	170.51	DCR|2VULN|3ZMB|1AART|1DMG	1DMG|2TLV|3AART|48aZMB|57VULN|6MLV|9RCR
169	41521 32614	   	170.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18DMG|28FEWX|3ZMB|4MBVNT|5LWND|6RCR|78ASPD|8BPWR|9AART|aVULN
170	41121 24252	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aCGEN
171	41121 24253	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aLWND
172	42321 24252	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aCGEN
173	42321 24253	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aLWND
174	42521 32614	   	170.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18DMG|28DUST|3ZMB|4MBVNT|5LWND|6RCR|78ASPD|8BPWR|9AART|aVULN
175	43323 16161	 * 	170.25	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19DMG|26VULN|3RPLT|4aZMB|5DUR|7CDMG|8RCR
176	16242 23353	 * 	170.13	ACR|3AART|1VULN|1DMG|1CDMG|1ZMB	1CGEN|2ZMB|367AART|4RCR|5ERES|8VULN|9CDMG|aDMG
177	26134 35138	   	169.98	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|28AART|3MBVNT|45VULN|6DMG|7RCR|9LIT|aZMB
178	26323 34135	   	169.98	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|28AART|3ZMB|4aVULN|5TLV|6DMG|7RCR|9LIT
179	16243 34111	 * 	169.90	ACR|2AART|2VULN|1DMG|1ZMB	1CGEN|2ZMB|38AART|4RCR|5RCVC|6DMG|79VULN|aRMIN
180	16243 34113	   	169.90	ACR|2AART|2VULN|1DMG|1ZMB	1CGEN|2ZMB|38AART|4RCR|5RCVC|6DMG|79VULN|aLWND
181	16243 34112	   	169.80	ACR|2AART|2VULN|1DMG|1ZMB	1CGEN|2ZMB|38AART|4RCR|5RCVC|6DMG|79VULN|aDUST
182	26334 21338	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2AART|3ZMB|4FEWX|59DMG|6VULN|7MBVNT|8RCR|aCDMG
183	43532 21362	   	169.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|267VULN|3ZMB|4DUR|5DUST|8LWND|9AART|aRCR
184	46132 21362	   	169.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2ZMB|367VULN|4DUR|5DUST|8LWND|9AART|aRCR
185	36242 34111	   	169.70	ACR|2AART|2VULN|1DMG|1ZMB	15ERES|2ZMB|38AART|4RCR|6DMG|79VULN|aRMIN
186	36242 34113	   	169.70	ACR|2AART|2VULN|1DMG|1ZMB	15ERES|2ZMB|38AART|4RCR|6DMG|79VULN|aLWND
187	56124 44338	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2AART|3MBVNT|4BEXP|5VULN|69DMG|7ZMB|8RCR|aCDMG
188	15233 52315	   	169.67	DCR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2MLV|3AART|479VULN|5RCVC|6RCR|8ZMB|aCDMG
189	43324 16111	   	169.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6BEXP|7CDMG|8RCR|9AART|aMLV
190	43324 16112	   	169.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6BEXP|7CDMG|8RCR|9AART|aLWND
191	36242 34112	   	169.60	ACR|2AART|2VULN|1DMG|1ZMB	15ERES|2ZMB|38AART|4RCR|6DMG|79VULN|aDUST
192	43324 36111	   	169.53	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6DUST|7CDMG|8RCR|9AART|aMLV
193	43324 36112	   	169.53	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6DUST|7CDMG|8RCR|9AART|aLWND
194	26324 22611	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	18BEXP|2AART|3ZMB|467VULN|5DMG|9RCR|aFEWX
195	26324 22612	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	18BEXP|2AART|3ZMB|467VULN|5DMG|9RCR|aLIT
196	26324 22613	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	18BEXP|2AART|3ZMB|467VULN|5DMG|9RCR|aLWND
197	35232 52315	   	169.47	DCR|3VULN|1AART|1CDMG|1ZMB	15ERES|2MLV|3AART|479VULN|6RCR|8ZMB|aCDMG
198	41121 61362	   	169.47	DCR|3VULN|2DMG|1AART	15DMG|2FEWX|3DUST|456VULN|5BPWR|7RMIN|8LWND|9AART|aRCR
199	42321 61362	   	169.47	DCR|3VULN|2DMG|1AART	15DMG|2DUST|3FEWX|456VULN|5BPWR|7RMIN|8LWND|9AART|aRCR
200	43322 34316	 * 	169.24	DCR|3DMG|1AART|1VULN|2ZMB	179DMG|2VULN|3RPLT|49ZMB|5AART|69LIT|8LEGI|9BPWR|aRCR
201	13384 27372	 * 	169.22	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1aCGEN|26VULN|3MBVNT|4RCR|5aASPD|7ZMB|8DUR|9aDMG|aBPWR
202	16261 34111	   	169.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14CGEN|2ZMB|38AART|5DUR|6DMG|79VULN|aRCR
203	36243 53122	 * 	169.14	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ERES|29ZMB|3AART|4RCR|5BELT|6ASPD|78DMG|aVULN
204	13386 45432	 * 	169.14	ACR|3VULN|3DMG	189aCGEN|29aVULN|3MBVNT|4RCR|569DMG|7RCVC|9aBPWR
205	13386 48432	   	169.14	ACR|3VULN|3DMG	1789aCGEN|29aVULN|3MBVNT|4RCR|569DMG|9aBPWR
206	45211 53111	   	169.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|2TLV|38AART|4ZMB|59VULN|6DMSP|7DUR|aRCR
207	26212 12211	   	169.10	DCR|3VULN|1AART|1CDMG|2DUR	1BEXP|2AART|3CDMG|49DUR|56aVULN|7RCR|8MLV
208	33383 24137	 * 	169.02	ACR|2VULN|2DMG|1FLTHEA|1ZMB|1ASPD	1ERES|26VULN|3MBVNT|4RCR|5ASPD|79DMG|8ZMB|aFLTHEA
209	33386 24137	   	169.02	ACR|2VULN|2DMG|1FLTHEA|1ZMB|1ASPD	1ERES|26VULN|3MBVNT|4RCR|59DMG|7ASPD|8ZMB|aFLTHEA
210	44236 22222	   	168.93	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|29ERES|3AART|467VULN|5LHND|8CDMG|aRCR
211	41121 26161	   	168.86	DCR|2VULN|2DMG|2AART	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|78AART|9RCR|aMLV
212	41121 26162	   	168.86	DCR|2VULN|2DMG|2AART	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|78AART|9RCR|aLWND
213	42321 26161	   	168.86	DCR|2VULN|2DMG|2AART	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|78AART|9RCR|aMLV
214	42321 26162	   	168.86	DCR|2VULN|2DMG|2AART	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|78AART|9RCR|aLWND
215	43321 26226	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	19DMG|2aVULN|3RPLT|4ZMB|5CDMG|6NUKE|7RCR|8DUR
216	13388 45242	 * 	168.70	ACR|2VULN|2DMG|2CDMG|1ZMB	1aCGEN|2aVULN|3MBVNT|4RCR|5ZMB|68DMG|7aCDMG|9RPLT|aBPWR
217	43226 51112	   	168.56	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|28VULN|3MLV|4CGEN|5ERES|6CDMG|7AART|aRCR
218	43211 23412	   	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	18DMG|27aVULN|3MLV|4CANSTR|5ASPD|6CDMG|9RCR
219	43211 23416	   	168.55	DCR|3DMG|2VULN|1CDMG|1ASPD	18aDMG|27VULN|3MLV|4CANSTR|5ASPD|6CDMG|9RCR
220	43411 23412	   	168.55	DCR|3VULN|2DMG|1CDMG|1ASPD	18DMG|27aVULN|3CGEN|4CANSTR|5ASPD|6CDMG|9RCR
221	44122 51112	   	168.46	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2ERES|38VULN|4CGEN|5TLV|6CDMG|7AART|aRCR
222	45111 23412	   	168.45	DCR|3VULN|2DMG|1CDMG|1ASPD	18DMG|2TLV|37aVULN|4CANSTR|5ASPD|6CDMG|9RCR
223	43126 62113	   	168.42	DCR|3VULN|3DMG	189DMG|25aVULN|3DUST|4CGEN|6LIT|7RCR
224	33345 26135	   	168.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1ERES|26VULN|3MBVNT|48AART|5DMG|7ZMB|9ASPD|aRCR
225	25323 32513	   	168.41	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	18BEXP|28DMG|3RPLT|4ZMB|5DUR|68CDMG|7RCR|8BPWR|9AART|aASPD
226	41323 32513	   	168.41	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	18DMG|28FEWX|3RPLT|4ZMB|5DUR|68CDMG|7RCR|8BPWR|9AART|aASPD
227	26212 12141	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LHND|9DMG|aRCVC
228	26212 12142	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LHND|9DMG|aFEWX
229	26212 12144	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LHND|9DMG|aDMSP
230	26212 12245	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8MLV|9CGEN|aDMG
231	26212 12255	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8MLV|9RMIN|aDMG
232	26212 12266	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	19BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8MLV|aDMG
233	26212 12343	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8FEWX|9DMG|aRPLT
234	26212 12346	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8FEWX|9DMG|aLWND
235	26212 12365	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|89FEWX|aDMG
236	26212 12641	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LWND|9DMG|aRCVC
237	26212 12642	   	168.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LWND|9DMG|aFEWX
238	26212 12342	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8FEWX|9DMG|aDUST
239	26212 12344	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8FEWX|9DMG|aLEGI
240	26212 12541	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LEGI|9DMG|aRCVC
241	26212 12542	   	168.11	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8LEGI|9DMG|aFEWX
242	41521 42614	   	168.08	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18DMG|28FEWX|3ZMB|4MBVNT|5LWND|68ASPD|7RCR|8BPWR|9AART|aVULN
243	13514 23611	   	168.03	DCR|3VULN|2DMG|2CDMG	1aCGEN|27aVULN|3NUKE|4CANSTR|58DMG|6aCDMG|9RCR|aBPWR
244	16136 16111	   	168.02	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	16CGEN|2ZMB|39VULN|4DUR|58AART|7DMG|aRCR
245	43536 12311	   	168.02	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|29VULN|3ZMB|4DUR|57AART|68CGEN|aRCR
246	46136 12311	   	168.02	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|2ZMB|39VULN|4DUR|57AART|68CGEN|aRCR
247	26212 12345	   	167.97	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1BEXP|2AART|3CDMG|4DUR|56VULN|7RCR|8FEWX|9DMG|aSELL
248	13612 16112	   	167.96	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|26VULN|3CDMG|4ERES|5MLV|79DMG|8AART|aRCR
249	26134 22528	   	167.96	DCR|4VULN|1AART|1ZMB|1DUR	1BEXP|2AART|3MBVNT|4567VULN|8ZMB|9DUR|aRCR
250	41531 62132	 * 	167.92	DCR|3VULN|2DMG|2ZMB	1aDMG|2FEWX|3aZMB|4CGEN|5LWND|69aVULN|7RCR|8RMIN|aBPWR
251	41531 62122	 * 	167.92	DCR|3DMG|2VULN|2ZMB	19aDMG|2FEWX|3aZMB|4CGEN|5LWND|6aVULN|7RCR|8RMIN|aBPWR
252	33536 36111	   	167.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1ERES|29VULN|3ZMB|4DUR|58AART|6DMG|7RCVC|aRCR
253	36136 36111	   	167.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1ERES|2ZMB|39VULN|4DUR|58AART|6DMG|7RCVC|aRCR
254	13386 24182	   	167.90	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1aCGEN|26VULN|3MBVNT|4RCR|5aDMG|7ASPD|8ZMB|9aDUR|aBPWR
255	42521 42614	   	167.88	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18DMG|28DUST|3ZMB|4MBVNT|5LWND|68ASPD|7RCR|8BPWR|9AART|aVULN
256	66534 32121	   	167.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AIRHEL|2MBVNT|3RCR|4RPLT|5ASPD|68VULN|7AART|9DMG|aCDMG
257	41512 22333	   	167.82	DCR|3VULN|2DMG|2ZMB	19DMG|29FEWX|38ZMB|4MLV|59aVULN|6NUKE|7RCR|9BPWR
258	46321 32613	 * 	167.82	DCR|2DMG|1AART|2ZMB|2ASPD|1CDMG	18DMG|28ZMB|3DUST|4MBVNT|5LWND|6RCR|78ASPD|8BPWR|9AART|aCDMG
259	33536 32511	   	167.82	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	18ERES|29VULN|3ZMB|4DUR|57AART|6DMG|aRCR
260	36136 32511	   	167.82	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	18ERES|2ZMB|39VULN|4DUR|57AART|6DMG|aRCR
261	13384 24448	   	167.67	ACR|2VULN|2DMG|1AART|1ASPD	1CGEN|26VULN|3MBVNT|4RCR|5ASPD|79DMG|8FEWX|aAART
262	13386 24448	   	167.67	ACR|2VULN|2DMG|1AART|1ASPD	1CGEN|26VULN|3MBVNT|4RCR|59DMG|7ASPD|8FEWX|aAART
263	13388 23533	 * 	167.64	ACR|4VULN|1DMG|1ZMB|1DUR	1CGEN|269aVULN|3MBVNT|4RCR|5ZMB|7DUR|8DMG
264	13384 24163	   	167.64	ACR|4VULN|1DMG|1ZMB|1ASPD	1CGEN|269aVULN|3MBVNT|4RCR|5ASPD|7DMG|8ZMB
265	13386 24163	   	167.64	ACR|4VULN|1DMG|1ZMB|1ASPD	1CGEN|269aVULN|3MBVNT|4RCR|5DMG|7ASPD|8ZMB
266	13386 27333	   	167.64	ACR|4VULN|1DMG|1ZMB|1DUR	1CGEN|269aVULN|3MBVNT|4RCR|5DMG|7ZMB|8DUR
267	13386 23327	   	167.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|26VULN|3MBVNT|4RCR|59DMG|7DUR|8DUST|aAART
268	13386 34127	   	167.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|28VULN|3MBVNT|4RCR|59DMG|6DUR|7DUST|aAART
269	13386 43337	   	167.57	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|29VULN|3MBVNT|4RCR|56DMG|7DUR|8DUST|aAART
270	33383 24163	   	167.54	ACR|4VULN|1DMG|1ZMB|1ASPD	1ERES|269aVULN|3MBVNT|4RCR|5ASPD|7DMG|8ZMB
271	33386 24163	   	167.54	ACR|4VULN|1DMG|1ZMB|1ASPD	1ERES|269aVULN|3MBVNT|4RCR|5DMG|7ASPD|8ZMB
272	33388 23533	   	167.54	ACR|4VULN|1DMG|1ZMB|1DUR	1ERES|269aVULN|3MBVNT|4RCR|5ZMB|7DUR|8DMG
273	33388 34533	   	167.54	ACR|4VULN|1DMG|1ZMB|1DUR	1ERES|279aVULN|3MBVNT|4RCR|5ZMB|6DUR|8DMG
274	45232 63111	   	167.51	DCR|3VULN|1AART|1DMG|2DUR	1DMG|2TLV|3AART|4ERES|569VULN|78DUR|aRCR
275	36243 53112	 * 	167.49	ACR|3DMG|1AART|2ASPD|1ZMB	1aERES|2ZMB|3AART|4RCR|5BELT|6aASPD|78aDMG|9MBVNT|aBPWR
276	13621 16334	 * 	167.40	ACR|3VULN|1AART|2CDMG|1ZMB	1CGEN|289VULN|37CDMG|4ZMB|5RCR|6BEXP|aAART
277	41136 23363	 * 	167.23	DCR|3DMG|1AART|1VULN|1CDMG	159DMG|2FEWX|3DUST|4LIT|6AART|7CDMG|8VULN|aRCR
278	41136 23623	   	167.23	DCR|3DMG|1AART|1VULN|1CDMG	158DMG|2FEWX|3DUST|4LIT|6AART|7CDMG|9VULN|aRCR
279	42336 23363	   	167.23	DCR|3DMG|1AART|1VULN|1CDMG	159DMG|2DUST|3FEWX|4LIT|6AART|7CDMG|8VULN|aRCR
280	42336 23623	   	167.23	DCR|3DMG|1AART|1VULN|1CDMG	158DMG|2DUST|3FEWX|4LIT|6AART|7CDMG|9VULN|aRCR
281	13386 44142	 * 	167.19	ACR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2VULN|3MBVNT|4RCR|569DMG|7ASPD|8ZMB|aCDMG
282	44232 52321	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9DUR|aBEXP
283	44232 52322	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9DUR|aDMSP
284	44232 52331	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9ASPD|aFEWX
285	44232 52332	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9ASPD|aLIT
286	44232 52333	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9ASPD|aLWND
287	43322 13151	   	167.12	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|26VULN|3RPLT|4ZMB|5AART|7MBVNT|8LHND|aRCR
288	43322 13351	   	167.12	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|26VULN|3RPLT|4ZMB|5AART|7MBVNT|8FEWX|aRCR
289	43322 13751	   	167.12	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|26VULN|3RPLT|4ZMB|5AART|7MBVNT|8LWND|aRCR
290	33341 24111	 * 	167.10	DCR|4VULN|2AART|1DUR	1ERES|2679VULN|3MBVNT|48AART|5DUR|aRCR
291	33383 24167	 * 	167.09	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1ASPD	1ERES|269VULN|3MBVNT|4RCR|5ASPD|7DMG|8ZMB|aFLTHEA
292	33386 44132	   	167.09	ACR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1ERES|2VULN|3MBVNT|4RCR|569DMG|7ASPD|8ZMB|aCDMG
293	26324 22126	   	167.08	DCR|3VULN|1AART|1DMG|1ZMB	19BEXP|2AART|3ZMB|467VULN|5DMG|8LHND|aRCR
294	26626 12311	   	167.08	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3DMG|479VULN|56CGEN|8ZMB|aRCR
295	44232 52323	   	167.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DMG|25ERES|3AART|47VULN|6RCR|8ZMB|9DUR|aLEGI
296	43322 13651	   	167.02	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|26VULN|3RPLT|4ZMB|5AART|7MBVNT|8LEGI|aRCR
297	43312 22226	   	167.01	DCR|2VULN|2DMG|1AART|1DUR|1SELL	19DMG|26VULN|3RPLT|4SELL|5DUST|7RCR|8DUR|aAART
298	43312 62236	   	167.01	DCR|2VULN|2DMG|1AART|1DUR|1SELL	16DMG|29VULN|3RPLT|4SELL|5DUST|7RCR|8DUR|aAART
299	26623 52311	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3DMG|479VULN|5TLV|6DMSP|8ZMB|aRCR
300	26324 52311	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3ZMB|479VULN|5DMG|6DMSP|8ERES|aRCR
301	26324 62311	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	16BEXP|2AART|3ZMB|479VULN|5DMG|8ERES|aRCR
302	26324 22341	   	166.88	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3ZMB|467VULN|5DMG|89ERES|aRCR
303	43345 22312	   	166.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|26aVULN|3RPLT|4LWND|5CDMG|7RCR|8ZMB|9DUR
304	33341 25248	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|26VULN|3MBVNT|4AART|5DUR|7RCR|8BEXP|9DMG|aCDMG
305	33345 88143	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2aVULN|3MBVNT|4AART|5DMG|6CDMG|7RCR|8LHND|9ASPD
306	33345 88213	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2aVULN|3MBVNT|4AART|5DMG|6CDMG|7RCR|8MLV|9DUR
307	56623 22211	   	166.78	DCR|3VULN|1AART|1DMG|1ZMB	18DUST|2AART|3DMG|467VULN|5TLV|9ZMB|aRCR
308	43321 26236	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|29aVULN|3RPLT|4ZMB|5CDMG|6NUKE|7RCR|8DUR
309	13621 41215	 * 	166.74	ACR|3VULN|1AART|2ZMB|1CDMG	1CGEN|28aVULN|3CDMG|49ZMB|5RCR|6LIT|7AART
310	43311 22453	 * 	166.72	DCR|4VULN|2DMG|1SELL	18DMG|269aVULN|3RPLT|4SELL|5LWND|7RCR
311	44151 12232	   	166.61	DCR|3VULN|2DMG|1CDMG	19DMG|2ERES|39aVULN|4RPLT|5CDMG|6FEWX|7RCR|89LWND|9BPWR
312	45151 12232	   	166.61	DCR|3VULN|2DMG|1CDMG	19DMG|2TLV|39aVULN|4RPLT|5CDMG|6FEWX|7RCR|89LWND|9BPWR
313	44151 32332	   	166.51	DCR|3VULN|2DMG|1CDMG	19DMG|2ERES|39aVULN|4RPLT|5CDMG|6DUST|7RCR|89LHND|9BPWR
314	45151 32332	   	166.51	DCR|3VULN|2DMG|1CDMG	19DMG|2TLV|39aVULN|4RPLT|5CDMG|6DUST|7RCR|89LHND|9BPWR
315	13621 32251	 * 	166.51	ACR|1AART|1VULN|1DMG|2ZMB|2ASPD|1CDMG	1CGEN|2VULN|3CDMG|46ZMB|5RCR|79ASPD|8AART|aDMG
316	13386 32332	 * 	166.46	ACR|2VULN|2DMG|2ZMB|1ASPD|1DUR	1aCGEN|29VULN|3MBVNT|4RCR|5aDMG|6DUR|7ASPD|8aZMB|aBPWR
317	13388 24372	   	166.46	ACR|2VULN|2DMG|2ZMB|1ASPD|1DUR	1aCGEN|26VULN|3MBVNT|4RCR|5aZMB|7ASPD|8DUR|9aDMG|aBPWR
318	36631 41111	   	166.46	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB	1ERES|2ZMB|34CDMG|5AART|69DUR|7aDMG|8RCR
319	26134 45722	   	166.45	DCR|3VULN|1AART|2DUR|1ZMB	1aBEXP|2AART|3MBVNT|45aVULN|6ZMB|7RCR|8ERES|9aDUR|aBPWR
320	33345 44836	   	166.42	DCR|3VULN|1AART|1DMG|1ASPD	1ERES|27aVULN|3MBVNT|4AART|5DMG|6ASPD|8RCR|9LIT
321	44151 12132	   	166.41	DCR|3VULN|2DMG|1CDMG	19DMG|2ERES|39aVULN|4RPLT|5CDMG|6FEWX|7RCR|89DUST|9BPWR
322	45151 12132	   	166.41	DCR|3VULN|2DMG|1CDMG	19DMG|2TLV|39aVULN|4RPLT|5CDMG|6FEWX|7RCR|89DUST|9BPWR
323	43321 13164	   	166.40	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	19DMG|27VULN|3RPLT|4ZMB|5CDMG|6FEWX|8RCR|aDUR
324	44236 22111	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|467VULN|5LHND|8DMSP|9ZMB|aRCR
325	15232 32411	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2MLV|3AART|479VULN|5ERES|6DMG|8ZMB|aRCR
326	44231 52311	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|479VULN|5FEWX|6DMSP|8ZMB|aRCR
327	44233 52311	   	166.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|479VULN|5BEXP|6DMSP|8ZMB|aRCR
