0	Index      	 *	Score 	Summary	Detail	
1	63463 22222	 * 	207.88	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|36aVULN|4AART|5BEXP|7DUR|89DMG
167	64223 35132	 * 	178.60	ACR|2DMG|1AART|2CDMG|3DUR|1ZMB	1RCR|26aDUR|3aDUST|4ZMB|57DMG|8AART|9aCDMG|aBPWR
168	64221 13312	   	178.58	ACR|4VULN|1AART|1ZMB|1DUR	1RCR|2DUR|3DUST|4ZMB|568aVULN|7RPLT|9AART
169	64622 13312	   	178.58	ACR|4VULN|1AART|1ZMB|1DUR	1RCR|2DUR|368aVULN|4ZMB|5DUST|7RPLT|9AART
170	63141 43511	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2CDMG|3CGEN|4DUR|5MBVNT|6ASPD|7VULN|8aDMG|9AART
171	63221 43511	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2CDMG|3DUR|4CGEN|5MBVNT|6ASPD|7VULN|8aDMG|9AART
172	63251 43511	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1RCR|2CDMG|3DUR|4MLV|5MBVNT|6ASPD|7VULN|8aDMG|9AART
173	63421 42511	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2CDMG|3VULN|4CGEN|5MBVNT|6ASPD|7DUR|8aDMG|9AART
174	64432 12311	   	178.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3ASPD|4FEWX|5DUST|68VULN|7CDMG|9AART|aDMG
175	64433 12311	   	178.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3ASPD|4FEWX|5LEGI|68VULN|7CDMG|9AART|aDMG
176	64621 13123	   	178.43	ACR|4VULN|1AART|1ZMB|1DUR|1SELL	1RCR|2DUR|358aVULN|4ZMB|6DMSP|7SELL|9AART
177	65233 25133	   	178.33	ACR|3DMG|1AART|1VULN|2DUR	1RCR|2ERES|357DMG|45DUR|5BPWR|6VULN|8DMSP|9MGNLIT|aAART
178	64533 33211	   	178.33	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR|1SELL	1RCR|2DUR|3RPLT|4aDMG|5SELL|6CDMG|7VULN|8ASPD|9AART
179	63415 21121	   	178.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|368VULN|4RCVC|5ZMB|7DUR|9AART|aBEXP
180	63415 21122	   	178.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|368VULN|4RCVC|5ZMB|7DUR|9AART|aRPLT
181	64121 13313	   	178.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|3BEXP|4ZMB|568VULN|7RPLT|9AART|aCDMG
182	63415 21323	   	178.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|36aVULN|48RCVC|5ZMB|7DUR|9AART
183	63612 22352	   	178.23	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|3FEWX|4RCVC|5ZMB|68aVULN|7DUR|9AART
184	63462 12232	   	178.19	ACR|3VULN|2AART|1DMG|1CDMG|1DUR|1MSE	1RCR|2CDMG|39aVULN|45AART|6MSE|7DUR|8DMG
185	63211 52242	   	178.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCR|2CDMG|39DUR|4RCVC|5FEWX|6aVULN|7AART|8DMG
186	63411 32242	   	178.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCR|2CDMG|3aVULN|4RCVC|5FEWX|69DUR|7AART|8DMG
187	64121 32312	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|3BEXP|4ZMB|58aVULN|6DUST|7CDMG|9AART
188	64122 12312	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|3BEXP|4ZMB|5DUST|68aVULN|7CDMG|9AART
189	64123 12312	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|3BEXP|4ZMB|5LEGI|68aVULN|7CDMG|9AART
190	64221 13313	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|3DUST|4ZMB|568VULN|7RPLT|9AART|aCDMG
191	64622 13313	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|368VULN|4ZMB|5DUST|7RPLT|9AART|aCDMG
192	63442 32312	   	178.13	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|37aVULN|4LWND|5ZMB|6DUST|8DUR|9AART
193	65233 25232	   	178.09	ACR|3DMG|1AART|1VULN|2DUR|1SELL	1RCR|2ERES|357DMG|45DUR|5BPWR|6VULN|8BEXP|9SELL|aAART
194	61533 13152	   	178.00	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1SELL	1RCR|2SELL|35ASPD|4RPLT|5BPWR|6DMG|7CDMG|8aVULN|9AART
195	21325 42335	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2AART|3RPLT|4RCR|5LHND|6aDMG|7BASHEA|8MLV|9aVULN|aBPWR
196	63461 31231	   	177.93	ACR|2VULN|1AART|3CDMG|1ZMB|1DUR	1RCR|256CDMG|37VULN|4AART|8DUR|9ZMB|aLHND
197	63461 31233	   	177.93	ACR|2VULN|1AART|3CDMG|1ZMB|1DUR	1RCR|256CDMG|37VULN|4AART|8DUR|9ZMB|aLWND
