0	Index      	 *	Score 	Summary	Detail	
1	15413 12431	 * 	218.67	ACR|4VULN|3DMG|3ZMB	139aVULN|2AIRHEL|4RCR|59aZMB|6DUR|7LWND|89aDMG|9aBPWR
169	31333 62431	   	190.44	ACR|4VULN|3DMG	1RCR|279aVULN|3VENICY|4RMIN|5LEGI|69aLWND|89aDMG|9aBPWR
170	31551 22321	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|23VULN|48DMG|5aFEWX|6DUR|7AART|9CDMG
171	31551 22324	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|23VULN|48DMG|5FEWX|6DUR|7AART|9CDMG|aLHND
172	31551 22326	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|23VULN|48DMG|5FEWX|6DUR|7AART|9CDMG|aBEXP
173	31262 16332	 * 	190.41	ACR|3VULN|1AART|2CDMG|2ASPD|1ZMB|1SELL	1RCR|257VULN|35ASPD|4SELL|5BPWR|68CDMG|9ZMB|aAART
174	33615 13144	 * 	190.34	ACR|4VULN|1AART|3CDMG	1RCR|28aCDMG|3AART|48aDUST|5RPLT|689aVULN|7MBVNT|8aBPWR
175	31551 22323	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|23VULN|48DMG|5FEWX|6DUR|7AART|9CDMG|aDUST
176	33215 53326	   	190.29	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2CDMG|3DMSP|4AART|5ASPD|6CGEN|789VULN|aDMG
177	31552 32314	   	190.19	ACR|4VULN|3DMG|1SELL	1RCR|238aVULN|468DMG|58LSRICY|7SELL|8BPWR|9FEWX
178	31552 32334	   	190.19	ACR|4VULN|3DMG|1SELL	1RCR|238aVULN|468DMG|58LSRICY|7SELL|8BPWR|9LWND
179	33215 33365	   	190.19	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2CDMG|3DMSP|4AART|5ASPD|6DMG|78aVULN|9DLOT
180	33215 33524	   	190.19	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2CDMG|3DMSP|4AART|5ASPD|68aDMG|7VULN|9ERES
181	33215 33563	   	190.19	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2CDMG|3DMSP|4AART|5ASPD|68aDMG|7VULN|9DLOT
182	31435 13161	   	190.17	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|27VULN|3AART|4LIT|59DMG|6BEXP|8ZMB|aDUR
183	31245 23315	   	190.14	ACR|4VULN|1AART|1DMG	1RCR|278aVULN|3ASPD|4LHND|5AART|6BELT|9DMG
184	31435 33161	   	190.07	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|27VULN|3AART|4LIT|59DMG|6DUST|8ZMB|aDUR
185	35254 32322	   	190.04	ACR|4VULN|1AART|1DMG	1RCR|2DUST|3ASPD|478aVULN|5AART|6LIT|9DMG
186	31256 32513	   	190.01	ACR|3VULN|3DMG	1RCR|245VULN|3ASPD|6DUR|78aDMG|9BELT
187	31256 32352	   	189.82	ACR|4VULN|1DMG|1CDMG|2DUR	1RCR|2459VULN|3ASPD|6aDUR|7DMG|8CDMG
188	31552 32324	   	189.74	ACR|3VULN|3DMG|1CDMG|1SELL	1RCR|238VULN|468DMG|58LSRICY|7SELL|8BPWR|9RPLT|aCDMG
189	31114 36431	 * 	189.54	ACR|4VULN|2AART|2ZMB	1RCR|278aVULN|3ERES|47MLV|59AART|67ZMB|7BPWR
190	31226 32322	   	189.54	ACR|4VULN|1AART|1DMG	1RCR|278aVULN|3ASPD|4LIT|5LHND|6AART|9DMG
191	31241 32322	   	189.54	ACR|4VULN|1AART|1DMG	1RCR|278aVULN|3ASPD|4LHND|5LIT|6AART|9DMG
192	31515 32353	   	189.40	ACR|4VULN|2DMG|2ZMB|1SELL	1RCR|239aVULN|4DMSP|5LWND|6aZMB|7aDMG|8SELL|aBPWR
193	31511 32353	   	189.30	ACR|4VULN|2DMG|2ZMB|1SELL	1RCR|239aVULN|4DMSP|5LEGI|6aZMB|7aDMG|8SELL|aBPWR
194	15413 13431	   	189.28	ACR|4VULN|2DMG|2ZMB	139aVULN|2AIRHEL|4RCR|5aZMB|6DUR|7FEWX|8aDMG|aBPWR
195	31121 31665	   	188.99	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2VULN|3ERES|4LIT|5DUR|6AART|789DMG|aCDMG
196	33552 52112	 * 	188.99	ACR|3VULN|1AART|3ASPD|1CDMG	1RCR|2CDMG|35aVULN|458ASPD|5BPWR|6AART|7DUR|9LWND
197	33213 12463	 * 	188.96	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	1RCR|29CDMG|3DMSP|4AART|5LSRHEA|69ZMB|7RCVC|89VULN|9BPWR|aDMG
198	31551 22522	   	188.94	ACR|4VULN|1AART|1DMG	1RCR|239aVULN|4DMG|5FEWX|6DUR|7AART|8LIT
199	33613 22663	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2CDMG|3AART|4DUST|5MLV|679aVULN|8ZMB
200	33552 52122	   	188.89	ACR|3VULN|1AART|3ASPD|1CDMG	1RCR|2CDMG|35aVULN|458ASPD|5BPWR|6AART|7DUR|9DUST
201	31262 52314	   	188.84	ACR|3VULN|1AART|1DMG|2ASPD|1SELL	1RCR|258VULN|35ASPD|4SELL|5BPWR|6AART|7DUR|9RCVC|aDMG
202	15413 12432	   	188.83	ACR|3VULN|2DMG|2ZMB|1CDMG	139VULN|2AIRHEL|4RCR|59ZMB|6DUR|7LWND|89DMG|9BPWR|aCDMG
203	32414 22612	   	188.78	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RCR|2BEXP|3AART|4aASPD|5CDMG|67VULN|8DMG|9DUR
204	33623 12612	   	188.78	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RCR|2CDMG|3AART|4FEWX|57VULN|6aASPD|8DMG|9DUR
205	33643 12612	   	188.78	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RCR|2CDMG|3AART|4BEXP|57VULN|6aASPD|8DMG|9DUR
206	31221 32161	   	188.72	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|39ASPD|4LIT|5DUR|68DMSP|79DMG|9BPWR|aAART
207	31221 52161	   	188.72	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|39ASPD|4LIT|5DUR|6RCVC|79DMG|8DMSP|9BPWR|aAART
