0	Index      	 *	Score 	Summary	Detail	
1	53321 22315	 * 	189.85	ACR|4VULN|1AART|1DMG|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aDMG
177	23533 43621	   	161.88	ACR|3VULN|1AART|1ZMB|1DUR	1TLV|2RCR|3ZMB|47DUST|5DUR|68aVULN|9AART
178	53626 22122	   	161.79	ACR|3DMG|2VULN|1ZMB	1BELT|29VULN|37aDMG|4RMIN|5RCR|6LEGI|8ZMB
179	46611 13221	 * 	161.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|23VULN|4RPLT|5AART|6RCR|7DMSP|8DMG|9ERES|aCDMG
180	11263 53341	   	161.77	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1DUST|2FEWX|3ZMB|4RCR|5aVULN|69DUR|7AART|8CDMG
181	52425 11322	   	161.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2DUST|3aVULN|4RCR|5DMG|6ZMB|7BASICY|8DUR|9AART
182	53326 42211	   	161.58	ACR|3VULN|1DMG|1CDMG|2DUR	1BELT|268VULN|3LWND|4RCR|5aDUR|7DMG|9CDMG
183	23112 52611	   	161.45	ACR|2DMG|1AART|1VULN|1ZMB	19TLV|2RCR|3RPLT|49LHND|5BEXP|6AART|7ZMB|89DMG|9BPWR|aVULN
184	23116 52611	   	161.45	ACR|2DMG|1AART|1VULN|1ZMB	19TLV|2RCR|3RPLT|49LHND|5LWND|6AART|7ZMB|89DMG|9BPWR|aVULN
185	23244 11326	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6aDMG|7VULN|8CGEN|9DUR
186	23244 13211	   	161.29	ACR|2VULN|1AART|1DMG|1DUR	1TLV|2RCR|37LHND|4AART|5RCVC|6DMG|8DUR|9aVULN
187	23244 14113	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|7DUR|9VULN|aMLV
188	23244 21126	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6CGEN|7VULN|8aDMG|9DUR
189	23244 33333	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6RPLT|7DUR|8aDMG|9VULN
190	23244 41131	   	161.29	ACR|2VULN|1AART|1DMG|1ASPD	1TLV|2RCR|3LHND|4AART|5RCVC|6ASPD|7aVULN|8DMG|9RPLT
191	23244 11135	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|7VULN|9RPLT|aDUR
192	23244 11153	   	161.29	ACR|2DMG|1AART|1VULN|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|7VULN|9DUR|aMLV
193	23244 11235	   	161.29	ACR|2VULN|1AART|1DMG|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6DMG|78VULN|9RPLT|aDUR
194	23244 11253	   	161.29	ACR|2VULN|1AART|1DMG|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6DMG|78VULN|9DUR|aMLV
195	23242 34253	   	161.26	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA	1TLV|2RCR|3LHND|4AART|5RMIN|6FLTHEA|7FEWX|8VULN|9CDMG|aDMG
196	23242 36253	   	161.26	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA	1TLV|2RCR|3LHND|4AART|5RMIN|6FLTHEA|7LWND|8VULN|9CDMG|aDMG
197	23131 52611	   	161.25	ACR|2DMG|1AART|1VULN|1ZMB	19TLV|2RCR|3RPLT|49DUST|5LHND|6AART|7ZMB|89DMG|9BPWR|aVULN
198	11266 31523	 * 	161.23	ACR|3VULN|1AART|2ZMB|1ASPD	1aDUST|2FEWX|3aZMB|4RCR|5BEXP|6ASPD|78aVULN|9AART|aBPWR
199	23244 16211	   	161.19	ACR|2VULN|1AART|1DMG|1DUR	17TLV|2RCR|3LHND|4AART|5RCVC|6DMG|8DUR|9aVULN
200	53325 12341	   	161.06	ACR|2VULN|2DMG|2DUR|1ZMB	1BELT|2aVULN|38aLWND|4RCR|57DMG|6ZMB|9aDUR|aBPWR
201	23454 23634	   	160.79	ACR|3VULN|2DMG	1aTLV|2RCR|3DMSP|4MBVNT|5RCVC|6CGEN|7aDMG|89aVULN|aBPWR
202	23312 34326	 * 	160.69	ACR|2VULN|3ZMB|1CDMG|1DUR|1ASPD	19TLV|2RCR|3CGEN|469ZMB|5ASPD|7CDMG|89VULN|9BPWR|aDUR
203	61533 12622	 * 	160.63	DCR|4VULN|1DMG|2ASPD	1369VULN|2FEWX|4LHND|56ASPD|6BPWR|7BELT|8RCR|aDMG
204	53323 54313	   	160.60	ACR|3VULN|1AART|1DMG	1BELT|29aVULN|3LWND|4RCR|5RMIN|6DMG|7AART|8DUST
205	53321 22631	   	160.42	ACR|3VULN|2AART|1DUR	1BELT|267VULN|367LWND|4RCR|5aAART|67BPWR|8DUR|9FEWX
206	23312 34321	 * 	160.37	ACR|2VULN|3ZMB|2ASPD|1CDMG	19TLV|2RCR|3CGEN|469ZMB|5aASPD|7CDMG|89VULN|9BPWR
207	53323 52114	 * 	160.35	ACR|3DMG|1VULN|1CDMG|1ZMB	1BELT|2VULN|3LWND|4RCR|5RMIN|67aDMG|8ZMB|9CDMG
208	53325 12114	   	160.35	ACR|3DMG|1VULN|1CDMG|1ZMB	1BELT|2VULN|3LWND|4RCR|57aDMG|6ZMB|8RMIN|9CDMG
209	23155 21622	   	160.27	ACR|2VULN|2DMG|1ZMB|1DUR	1TLV|2RCR|3RPLT|45VULN|6aDMG|7CGEN|8DUR|9ZMB
210	23161 31335	   	160.27	ACR|2VULN|2DMG|1ZMB|1DUR	1TLV|2RCR|3RPLT|4DUR|5LHND|6aVULN|78DMG|9ZMB
211	23165 33322	   	160.27	ACR|2VULN|2DMG|1ZMB|1DUR	1TLV|2RCR|3RPLT|4DUR|56VULN|7CGEN|8aDMG|9ZMB
212	23155 21413	   	160.27	ACR|2VULN|2DMG|1ZMB|1ASPD	1TLV|2RCR|3RPLT|45VULN|68DMG|7CGEN|9ZMB|aASPD
213	61242 25244	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	18VULN|2FEWX|3ZMB|4AART|5RMIN|6RCR|7MBVNT|9ASPD|aCDMG
214	53325 32114	   	160.25	ACR|3DMG|1VULN|1CDMG|1ZMB	1BELT|2VULN|3LWND|4RCR|57aDMG|6ERES|8ZMB|9CDMG
215	53326 42232	   	160.22	ACR|3VULN|2DMG|1DUR	1BELT|268VULN|39LWND|4RCR|5DUR|7aDMG
216	53325 52122	   	160.22	ACR|3DMG|2VULN|1DUR	1BELT|29VULN|3LWND|4RCR|56aDMG|7DMSP|8DUR
217	53325 53122	   	160.22	ACR|3DMG|2VULN|1DUR	17BELT|29VULN|3LWND|4RCR|56aDMG|8DUR
218	63533 16133	 * 	160.18	DCR|4VULN|3ASPD|1ZMB	1689VULN|2RMIN|3ZMB|4DUST|56aASPD|6BPWR|7RCR
219	23165 53331	   	160.18	ACR|2VULN|1AART|1DMG|2DUR	1TLV|2RCR|3RPLT|46DUR|56VULN|6BPWR|7CGEN|8DMG|9DUST|aAART
220	23312 24256	   	160.17	ACR|2VULN|2DMG|1ZMB|1ASPD	1TLV|2RCR|3CGEN|4ZMB|5ASPD|6ERES|79DMG|8aVULN
221	23525 13236	   	160.17	ACR|2VULN|2DMG|1ZMB|1ASPD	16TLV|2RCR|3ZMB|4LWND|56DMG|6BPWR|7ASPD|8ERES|9aVULN
222	23533 41153	   	160.07	ACR|2VULN|2DMG|1ZMB|1DUR	1TLV|2RCR|3ZMB|48DUST|5DUR|67VULN|9aDMG
223	46313 24111	   	160.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2aVULN|3CANSTR|4DMG|5BEXP|6ZMB|7AART|8RCR|9DUR
224	46311 24111	   	159.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2aVULN|3CANSTR|4DMG|5DUST|6ZMB|7AART|8RCR|9DUR
225	53321 23258	   	159.89	ACR|2VULN|1AART|1DMG|1CDMG	1BELT|26VULN|36LWND|4RCR|5AART|6BPWR|7MBVNT|8RPLT|9DMG|aCDMG
226	55421 23444	   	159.89	ACR|2VULN|1AART|1DMG|1CDMG	1BELT|26LHND|36VULN|4RCR|5AART|6BPWR|7MBVNT|8BEXP|9DMG|aCDMG
227	54311 62331	   	159.85	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1BELT|237LWND|47VULN|5AART|6RCR|7BPWR|8CDMG|9ASPD|aZMB
