0	Index      	 *	Score 	Summary	Detail	
1	63323 35341	 * 	192.32	ACR|2VULN|2DMG|3ZMB|3CDMG	1RMIN|25aCDMG|358ZMB|4RCR|5aBPWR|6LIT|7aDMG|9aVULN
166	25421 14111	   	163.08	DCR|2DMG|1AART|1VULN|3DUR	134DUR|2aDMG|5FEWX|6RCR|7AART|8VULN|9CGEN
167	23123 44624	   	163.08	DCR|2DMG|1AART|1VULN|3DUR	16aDUR|2aLWND|3AART|4MBVNT|5VULN|7RCR|8ERES|9aDMG|aBPWR
168	23125 44624	   	163.08	DCR|2DMG|1AART|1VULN|3DUR	15aDUR|2aLWND|3AART|4MBVNT|6VULN|7RCR|8ERES|9aDMG|aBPWR
169	25423 14111	   	162.98	DCR|2DMG|1AART|1VULN|3DUR	134DUR|2aDMG|5DUST|6RCR|7AART|8VULN|9CGEN
170	23123 44811	   	162.98	DCR|2VULN|1AART|1DMG|3DUR	16aDUR|2LWND|3AART|4MBVNT|58VULN|7RCR|9DMG
171	23125 44811	   	162.98	DCR|2VULN|1AART|1DMG|3DUR	15aDUR|2LWND|3AART|4MBVNT|68VULN|7RCR|9DMG
172	63321 13126	 * 	162.96	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|2CDMG|3ZMB|4RCR|5VULN|6LHND|7DMG|8aAART|9BEXP
173	63321 13161	   	162.96	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RMIN|2CDMG|3ZMB|4RCR|5VULN|6LHND|7DMG|8aAART|9CGEN
174	13124 43227	   	162.94	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2LWND|35AART|4MBVNT|6VULN|7ZMB|8RCR|9DMG|aCDMG
175	16124 23287	   	162.91	DCR|2AART|2VULN|1DMG|1DUR	1aDUST|2aLHND|35AART|4MBVNT|6DMG|7DUR|8RCR|9aVULN|aBPWR
176	23124 47225	   	162.91	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7CGEN|8RCR|9aDMG
177	26124 47225	   	162.91	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LHND|35AART|4MBVNT|6VULN|7CGEN|8RCR|9aDMG
178	13124 44347	   	162.86	DCR|2AART|2VULN|1CDMG|1ZMB	1DUST|2LWND|35AART|4MBVNT|69VULN|7RCR|8CDMG|aZMB
179	13124 27221	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LWND|35AART|4MBVNT|69DMG|7VULN|8RCR|aDUR
180	16124 27221	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LHND|35AART|4MBVNT|69DMG|7VULN|8RCR|aDUR
181	13124 23284	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LWND|35AART|4MBVNT|6aDMG|7DUR|8RCR|9VULN
182	13124 27254	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LWND|35AART|4MBVNT|6aDMG|7VULN|8RCR|9DUR
183	16124 23284	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LHND|35AART|4MBVNT|6aDMG|7DUR|8RCR|9VULN
184	16124 27254	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUST|2LHND|35AART|4MBVNT|6aDMG|7VULN|8RCR|9DUR
185	23124 26284	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6aDMG|7DUST|8RCR|9VULN
186	23124 46225	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7ERES|8RCR|9aDMG
187	26124 26284	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LHND|35AART|4MBVNT|6aDMG|7DUST|8RCR|9VULN
188	26124 44225	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LHND|35AART|4MBVNT|6VULN|7NUKE|8RCR|9aDMG
189	26124 46225	   	162.81	DCR|2AART|2DMG|1VULN|1DUR	1DUR|2LHND|35AART|4MBVNT|6VULN|7ERES|8RCR|9aDMG
190	31634 33631	   	162.80	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1FEWX|2MGNSTR|3DMG|489VULN|5CDMG|6ASPD|7RCR|aDUR
191	25424 23233	   	162.60	DCR|2VULN|2DMG|3DUR|1ASPD	134DUR|29DMG|5RPLT|6RCR|7aVULN|8ASPD
192	33122 44871	   	162.58	DCR|3VULN|1AART|1DMG	15FEWX|2LWND|3AART|4MBVNT|689VULN|7RCR|aDMG
193	21363 51423	 * 	162.58	DCR|2DMG|1AART|2CDMG|3DUR	15aDUR|2aMGNSTR|3ERES|45CDMG|5aBPWR|6RCR|7RMIN|8AART|9aDMG
194	23144 26311	   	162.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|5BELT|6DMG|7BEXP|8RCR|9aVULN
195	16123 33177	 * 	162.48	DCR|3VULN|1AART|2CDMG	1aDUST|2LHND|3AART|4MBVNT|59aVULN|6RPLT|7RCR|8aCDMG|aBPWR
196	23145 35222	   	162.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|56VULN|7MBVNT|8RCR|9DMG|aBEXP
197	23145 35223	   	162.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|56VULN|7MBVNT|8RCR|9DMG|aFEWX
198	23145 35243	   	162.47	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|56VULN|7MBVNT|8RCR|9LHND|aDMG
199	23123 53225	   	162.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4MBVNT|5VULN|6RCVC|7ZMB|8RCR|9aDMG
200	23123 63225	   	162.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|26LWND|3AART|4MBVNT|5VULN|7ZMB|8RCR|9aDMG
201	23123 73225	   	162.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4MBVNT|5VULN|6DMSP|7ZMB|8RCR|9aDMG
202	23126 43225	   	162.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|25LWND|3AART|4MBVNT|6VULN|7ZMB|8RCR|9aDMG
203	53211 14321	 * 	162.43	DCR|2VULN|1DMG|2CDMG|2ASPD|1DUR|1SELL	1DMG|2SELL|3aVULN|4DUR|5BEXP|6RCR|7aCDMG|8LIT|9aASPD|aBPWR
204	53232 14321	 * 	162.43	DCR|2VULN|1DMG|2CDMG|2ASPD|1DUR|1SELL	1DMG|2SELL|3aVULN|4BEXP|5DUR|6RCR|7aCDMG|8LIT|9aASPD|aBPWR
205	63323 43114	   	162.38	ACR|1AART|1VULN|1DMG|2CDMG|2ZMB	1RMIN|25CDMG|35ZMB|4RCR|5BPWR|6VULN|7AART|8RPLT|9LWND|aDMG
206	23145 35221	   	162.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|56VULN|7MBVNT|8RCR|9DMG|aTLV
207	23145 35224	   	162.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|56VULN|7MBVNT|8RCR|9DMG|aLSRREG
208	35314 22341	   	162.33	ACR|2VULN|2DMG|2CDMG|1ASPD	1FEWX|2aDMG|3LHND|4ASPD|5RCR|6aVULN|7RMIN|8LIT|9aCDMG|aBPWR
