0	Index      	 *	Score 	Summary	Detail	Bounty	
1	32322 12451	 * 	294.41	橙3易伤3伤害1等级1时间2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a时间	1
219	33631 11513	   	265.44	橙5易伤1等级1时间1全技能	12347易伤24序列升级5时间6全技能8核9平台a等级	3
220	36225 41211	 * 	265.42	橙2易伤2等级2时间2暴击1伤害	18易伤2挖尘38暴击4低血量敌人59等级68时间7核8序列升级a伤害	1
221	52246 11313	   	265.31	橙3易伤2等级2伤害	149低血量敌人239易伤5a等级6核7雷电89伤害9序列升级	10
222	52256 11313	   	265.31	橙3易伤2等级2伤害	19低血量敌人239易伤4立即金币5a等级6核7雷电89伤害9序列升级	10
223	52636 11313	   	265.31	橙3易伤2等级2伤害	19低血量敌人249易伤3双倍矿5a等级6核7雷电89伤害9序列升级	10
224	32126 31315	   	265.31	橙3易伤2等级2伤害	129易伤34最后敌人59等级6基地爆炸7雷电89伤害9序列升级a核	10
225	36533 32115	   	265.31	橙3易伤2等级2伤害	159易伤2雷电39伤害4低血量敌人6最后敌人7双倍矿89等级9序列升级a核	10
226	36533 33115	   	265.31	橙3易伤2等级2伤害	159易伤2雷电39伤害4低血量敌人6最后敌人7立即金币89等级9序列升级a核	10
227	13333 11462	 * 	265.15	橙4易伤3时间1等级	1掉矿249时间357a易伤6核8等级	6
228	32266 36321	   	265.11	橙3易伤2等级2伤害	129易伤35挖尘4平台69伤害7核89等级9序列升级a雷电	10
229	33266 36321	   	265.11	橙3易伤2等级2伤害	129易伤29序列升级35挖尘4平台69伤害7核89等级a雷电	10
230	32612 35533	   	265.04	橙3易伤2等级2时间2雷电	129易伤39等级4低血量敌人5a雷电69时间7核8额外掉落9序列升级	2
231	33612 35533	   	265.04	橙3易伤2等级2时间2雷电	129易伤29序列升级39等级4低血量敌人5a雷电69时间7核8额外掉落	2
232	33135 41631	   	265.03	橙3易伤2等级1伤害1时间1全技能	159易伤2赏金邻近37等级4时间6核8伤害a全技能	1
233	32542 33623	 * 	264.91	橙4易伤3雷电1伤害1时间1暴击	1246易伤356雷电6序列升级7时间8伤害9核a暴击	6
234	33542 33623	   	264.91	橙4易伤3雷电1伤害1时间1暴击	1246易伤26序列升级356雷电7时间8伤害9核a暴击	6
235	32322 14165	   	264.90	橙4易伤3伤害	147a易伤234伤害4序列升级5雷电6核8掉矿9攻速	1
236	32322 16365	   	264.90	橙4易伤3伤害	148a易伤234伤害4序列升级5雷电6核7掉矿9攻速	1
237	13266 15222	   	264.84	橙3易伤2等级2时间2雷电	18掉矿28时间39雷电467易伤58等级8序列升级a核	9
238	32646 11131	   	264.82	橙4易伤2等级2雷电1全技能	123a易伤4低血量敌人5a等级6核7a雷电8全技能9赏金邻近a序列升级	7
239	33646 11131	   	264.82	橙4易伤2等级2雷电1全技能	123a易伤2a序列升级4低血量敌人5a等级6核7a雷电8全技能9赏金邻近	7
240	23235 41221	   	264.79	橙3易伤2时间1等级1伤害1暴击	18最后敌人2挖尘389易伤4暴击5等级68时间7核8序列升级a伤害	3
241	23243 41221	   	264.79	橙3易伤2时间1等级1伤害1暴击	18最后敌人2挖尘389易伤4等级5暴击68时间7核8序列升级a伤害	4
242	36135 41221	   	264.79	橙3易伤2时间1等级1伤害1暴击	189易伤2挖尘38最后敌人4暴击5等级68时间7核8序列升级a伤害	1
243	53235 41221	   	264.79	橙3易伤2时间1等级1伤害1暴击	18低血量敌人2挖尘389易伤4暴击5等级68时间7核8序列升级a伤害	3
244	35236 11131	   	264.72	橙4易伤2等级2雷电1全技能	134a易伤2挖青5a等级6核7a雷电8全技能9赏金邻近a序列升级	7
245	32413 31344	   	264.64	橙4易伤3伤害1时间	1268易伤368伤害4双倍矿5随机矿68序列升级7挖青9时间a核	6
246	32462 12114	   	264.64	橙4易伤3伤害1时间	1257易伤359伤害4平台5序列升级6金币生成8核a时间	7
247	32462 23351	   	264.64	橙4易伤3伤害1时间	1257易伤35a伤害4平台5序列升级6时间8立即金币9核	6
248	32462 26111	   	264.64	橙4易伤3伤害1时间	1257易伤35a伤害4平台5序列升级6时间8敌人爆炸9核	9
249	32462 26211	   	264.64	橙4易伤3伤害1时间	1257易伤35a伤害4平台5序列升级6时间8基地爆炸9核	9
250	33462 12114	   	264.64	橙4易伤3伤害1时间	1257易伤25序列升级359伤害4平台6金币生成8核a时间	7
251	33462 23351	   	264.64	橙4易伤3伤害1时间	1257易伤25序列升级35a伤害4平台6时间8立即金币9核	6
252	33462 26111	   	264.64	橙4易伤3伤害1时间	1257易伤25序列升级35a伤害4平台6时间8敌人爆炸9核	9
253	33462 26211	   	264.64	橙4易伤3伤害1时间	1257易伤25序列升级35a伤害4平台6时间8基地爆炸9核	9
