0	Index      	 *	Score 	Summary	Detail	
1	52533 41231	 * 	228.20	DCR|1SPLARM|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LIT|3VULN|468DMG|5CDMG|7DUR|9RCR|aSPLARM
159	52243 52121	   	199.53	DCR|3ASPD|1MDPS|1VULN|1AART|1DUR	1AART|2LIT|3DUR|4LWND|568ASPD|7RCR|9VULN|aMDPS
160	64122 33153	   	199.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1DMG|2aCDMG|3AART|4DUST|5MLV|6RCR|7aVULN|8DUR|9aERES|aBPWR
161	44231 33253	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|24VULN|3BEXP|5AART|6LIT|7RCR|8aDMG|9CDMG
162	54333 33253	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|34VULN|5RPLT|6LIT|7RCR|8aDMG|9CDMG
163	54332 12352	 * 	199.45	DCR|3VULN|2AART|1ASPD|1AAC	1aAART|2BEXP|348VULN|5AAC|6LIT|7RCR|9ASPD
164	64124 31322	   	199.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	1DMG|2CDMG|3aAART|4DUST|5AAC|6RCR|7ASPD|8LHND|9VULN
165	62541 33232	   	199.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	16DMG|2FEWX|3VULN|48ASPD|5BELT|7DUR|9AART|aRCR
166	63541 33232	   	199.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	16DMG|2BEXP|3VULN|48ASPD|5BELT|7DUR|9AART|aRCR
167	64132 34321	   	199.40	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1DMG|2CDMG|39AART|4ASPD|5LWND|6RCR|7SELL|8FEWX|aVULN
168	51332 12322	   	199.35	DCR|3VULN|2AART|1DMG|1AAC	1aAART|2DUST|348VULN|5AAC|6LIT|7RCR|9DMG
169	51332 12352	   	199.35	DCR|3VULN|2AART|1ASPD|1AAC	1aAART|2DUST|348VULN|5AAC|6LIT|7RCR|9ASPD
170	64132 33121	   	199.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4ASPD|5LWND|6RCR|7MLV|8DUR|9VULN
171	64132 33235	   	199.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|28CDMG|3AART|4ASPD|5LWND|6RCR|7MLV|9VULN|aDUR
172	64132 35321	   	199.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4ASPD|5LWND|6RCR|7DUR|8CGEN|9VULN
173	64132 36121	   	199.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4ASPD|5LWND|6RCR|7AME|8DUR|9VULN
174	64152 31121	   	199.30	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4CGEN|5LHND|6RCR|7ASPD|8DUR|9VULN
175	12311 32155	   	199.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	15LHND|2FEWX|3LIT|45DMG|5BPWR|6AART|7RCR|8ASPD|9VULN|aCDMG
176	62111 32155	   	199.26	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	15DMG|2FEWX|3LIT|45BEXP|5BPWR|6AART|7RCR|8ASPD|9VULN|aCDMG
177	56353 31121	   	199.20	DCR|1VULN|2CDMG|1AART|1ASPD|1DMG|1DUR	1AART|2LWND|3ERES|4aCDMG|5DMG|6RCR|7ASPD|8DUR|9VULN
178	64122 31121	   	199.20	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4DUST|5MLV|6RCR|7ASPD|8DUR|9VULN
179	64122 31235	   	199.20	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|28CDMG|3AART|4DUST|5MLV|6RCR|7ASPD|9VULN|aDUR
180	64126 31121	   	199.20	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4DUST|5AME|6RCR|7ASPD|8DUR|9VULN
181	64132 32121	   	199.20	DCR|1VULN|2CDMG|1AART|1ASPD|1DMG|1DUR	1DMG|2aCDMG|3AART|4ASPD|5LWND|6RCR|7ERES|8DUR|9VULN
182	64132 32235	   	199.20	DCR|1VULN|2CDMG|1AART|1ASPD|1DMG|1DUR	1DMG|28CDMG|3AART|4ASPD|5LWND|6RCR|7ERES|9VULN|aDUR
183	64124 31121	   	199.10	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1AAC|1DUR	1DMG|2aCDMG|3AART|4DUST|5AAC|6RCR|7ASPD|8DUR|9VULN
184	65111 32333	   	199.08	DCR|2AART|2DMG|1VULN|1ASPD	15DMG|2LWND|3LIT|45BEXP|5BPWR|69AART|7RCR|8VULN|aASPD
185	62111 32346	   	199.08	DCR|3DMG|2VULN|1AART	15aDMG|2aFEWX|3LIT|45BEXP|5aBPWR|6AART|7RCR|8aVULN|9DLOT
186	52533 41232	   	199.05	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LIT|3VULN|468DMG|5CDMG|7DUR|9RCR|aFEWX
187	52533 41233	   	199.05	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	1AART|2LIT|3VULN|468DMG|5CDMG|7DUR|9RCR|aLHND
188	64121 21241	 * 	198.97	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1DMG|28CDMG|39AART|4DUST|5VULN|6RMIN|7ASPD|aRCR
189	15112 22324	   	198.88	DCR|3DMG|2VULN|1AART	15LHND|2LIT|3AART|48VULN|69aDMG|7RCR
190	52532 32324	   	198.88	DCR|3DMG|2VULN|1AART	1AART|25LIT|38VULN|49aDMG|6FEWX|7RCR
191	64142 31311	 * 	198.80	DCR|2AART|2DMG|1VULN|2CDMG	18DMG|28CDMG|3aAART|46AELBLL|5VULN|78CGEN|8BPWR|9RCR
192	52532 12324	   	198.78	DCR|3DMG|2VULN|1AART	1AART|25LIT|38VULN|49aDMG|6DUST|7RCR
