0	Index      	 *	Score 	Summary	Detail	
1	13223 21613	 * 	229.41	ACR|4VULN|3DMG|1AART|2FLTHEA	189DMG|278aVULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR
161	13223 21656	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ERES|aCGEN
162	13223 21662	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LHND|aNUKE
163	13223 21663	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LHND|aERES
164	13223 21666	   	199.55	ACR|3VULN|2DMG|1AART|2FLTHEA	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LHND|aDUST
165	13223 26621	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9CGEN|aDUST
166	13223 26631	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DUST|aLHND
167	13223 26632	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DUST|aCGEN
168	13223 26633	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DUST|aRMIN
169	13223 26634	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9DUST|aLWND
170	13223 26641	   	199.55	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9MGNLIT|aTLV
171	15316 13153	   	199.54	ACR|2AART|2VULN|2DMG|2CDMG	1aDMG|24AART|3RCR|5FEWX|6aVULN|7BEXP|8ERES|9aCDMG|aBPWR
172	15342 11316	   	199.54	ACR|3VULN|3DMG|1AART	17aDMG|2AART|3RCR|4RMIN|57CGEN|679VULN|7BPWR|8RPLT
173	15353 23334	   	199.44	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679DUST|79BPWR|aLHND
174	15353 23336	   	199.44	ACR|3VULN|3DMG|1AART	179DMG|2AART|3RCR|48CGEN|579VULN|679DUST|79BPWR|aLWND
