0	Index      	 *	Score 	Summary	Detail	
1	24216 15231	 * 	194.32	DCR|3VULN|3DMG|1AART	127LIT|279BPWR|39LSRHEA|479DMG|579VULN|6RCR|8RMIN|aAART
162	32413 23362	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6DMG|7AART|89VULN|aDUST
163	32413 23364	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6DMG|7AART|89VULN|aTLV
164	32416 23381	   	165.53	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5MBVNT|6aDMG|7AART|8VULN|9DUR
165	32513 23361	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6DMG|7AART|89VULN|aLHND
166	32513 23363	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2aLWND|3ERES|4RCR|5DUR|6DMG|7AART|89VULN
167	32513 23366	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6DMG|7AART|89VULN|aMLV
168	32513 23411	   	165.53	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6aDMG|7AART|8LHND|9VULN
169	15232 33343	   	165.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1TLV|28DMG|3ASPD|4VULN|5DUR|6AART|7LHND|9CDMG|aRCR
170	15232 33443	   	165.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2DMG|3ASPD|48VULN|5DUR|6AART|7LHND|9CDMG|aRCR
171	15232 34343	   	165.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1TLV|28DMG|3ASPD|4VULN|5DUR|6AART|7BEXP|9CDMG|aRCR
172	15232 35243	   	165.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2DMG|3ASPD|47VULN|5DUR|6AART|8LWND|9CDMG|aRCR
173	15232 35333	   	165.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2DMG|3ASPD|47VULN|5DUR|6AART|8CDMG|9LWND|aRCR
174	65232 35333	   	165.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2DMG|3ASPD|47VULN|5DUR|6AART|8CDMG|9LWND|aRCR
175	32512 23365	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUST|6DMG|7AART|89VULN|aDUR
176	32513 23211	   	165.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6aDMG|7AART|8LEGI|9VULN
177	32513 23362	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6DMG|7AART|89VULN|aDUST
178	32513 23364	   	165.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5DUR|6DMG|7AART|89VULN|aTLV
179	32516 23381	   	165.43	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3ERES|4RCR|5MBVNT|6aDMG|7AART|8VULN|9DUR
180	33356 22262	 * 	165.43	DCR|2DMG|1AART|3CDMG|1VULN	159CDMG|259BEXP|3RMIN|4AART|59BPWR|6VULN|7DUST|89DMG|aRCR
181	15232 36343	   	165.35	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1TLV|28DMG|3ASPD|4VULN|5DUR|6AART|7DUST|9CDMG|aRCR
182	52421 24111	   	165.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LHND|3RCR|4MBVNT|5BEXP|6aVULN|7AART|8DMG|9ZMB
183	33313 22211	   	165.23	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2BEXP|3RMIN|4RCR|5DUR|6DMG|7ASPD|8VULN|9aAART
184	33413 22511	   	165.23	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2BEXP|3CGEN|4RCR|5DUR|6DMG|7ASPD|8VULN|9aAART
185	43423 26322	   	165.20	ACR|3DMG|1VULN|2CDMG|1DUR	17BEXP|27CGEN|3RCR|4aCDMG|5DUR|679DMG|7BPWR|8VULN
186	12436 24141	   	165.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2LHND|3RCR|4DUR|5MBVNT|6aVULN|7AART|8DMG|9ZMB
187	52423 24111	   	165.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LHND|3RCR|4MBVNT|5DUST|6aVULN|7AART|8DMG|9ZMB
188	33513 22511	   	165.13	ACR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2BEXP|3ERES|4RCR|5DUR|6DMG|7ASPD|8VULN|9aAART
189	32314 23323	   	165.01	ACR|2VULN|1AART|1DMG|2CDMG	1aCDMG|2LWND|3RMIN|4RCR|5LHND|6DMG|7AART|89VULN
190	32412 23363	   	164.91	ACR|2VULN|1AART|1DMG|2CDMG	1aCDMG|2LWND|3CGEN|4RCR|5DUST|6DMG|7AART|89VULN
191	12423 22322	   	164.90	ACR|3DMG|1VULN|2CDMG|1DUR	1TLV|2LHND|3RCR|4aCDMG|5DUR|679DMG|8VULN
192	15233 23343	   	164.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1TLV|28DMG|3ASPD|4VULN|5LHND|6DUR|7AART|9CDMG|aRCR
193	15233 23443	   	164.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2DMG|3ASPD|48VULN|5LHND|6DUR|7AART|9CDMG|aRCR
194	65233 23343	   	164.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1ERES|28DMG|3ASPD|4VULN|5LHND|6DUR|7AART|9CDMG|aRCR
195	21324 26153	   	164.81	DCR|2VULN|2AART|1DMG|1ASPD	1LIT|2DMG|3CGEN|4ASPD|5RPLT|6RCR|79VULN|8aAART
196	32512 23363	   	164.81	ACR|2VULN|1AART|1DMG|2CDMG	1aCDMG|2LWND|3ERES|4RCR|5DUST|6DMG|7AART|89VULN
197	31121 61366	   	164.75	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	13CDMG|2MGNSTR|4ZMB|5DUR|6AART|7DMG|8RCR|9RCVC|aVULN
198	52424 24471	   	164.71	ACR|2VULN|2AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|79AART|8BPWR|aFEWX
199	52424 24473	   	164.71	ACR|2VULN|2AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|79AART|8BPWR|aMLV
200	52424 24474	   	164.71	ACR|2VULN|2AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|79AART|8BPWR|aRPLT
201	52424 24481	   	164.71	ACR|2VULN|2AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|7aAART|8BPWR|9CGEN
202	21455 21223	   	164.68	DCR|3DMG|1VULN|2CDMG|1DUR	1LIT|245DMG|35CDMG|5BPWR|6RCR|7BEXP|8MLV|9DUR|aVULN
203	21455 23311	   	164.68	DCR|3DMG|1VULN|2CDMG|1ASPD	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8VULN|9ASPD|aBEXP
204	55335 31133	 * 	164.62	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ASPD|29DMG|3LHND|45ZMB|6AART|7MLV|8RCR|aVULN
205	52424 24472	   	164.61	ACR|2VULN|2AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|79AART|8BPWR|aTLV
206	54132 51113	 * 	164.61	ACR|2DMG|2FLTHEA|1VULN|3ASPD|1DUR	17aASPD|2RPLT|3LHND|4aFLTHEA|5RCR|6VULN|8DUR|9aDMG|aBPWR
207	21455 23322	   	164.58	DCR|3DMG|1VULN|2CDMG|1DUR	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8VULN|9DUST|aDUR
208	21455 23323	   	164.58	DCR|3DMG|1VULN|2CDMG|1ASPD	1LIT|245DMG|35CDMG|5BPWR|6RCR|7LWND|8VULN|9DUST|aASPD
209	55135 31133	   	164.52	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ASPD|29DMG|3LEGI|45ZMB|6AART|7MLV|8RCR|aVULN
210	55335 33133	   	164.52	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ASPD|29DMG|3LHND|45ZMB|6AART|7ERES|8RCR|aVULN
211	21451 52233	   	164.47	DCR|3DMG|1VULN|1CDMG|1ZMB|1ASPD	1LIT|247DMG|3CDMG|5VULN|6ZMB|8RCR|9CGEN|aASPD
212	55135 33133	   	164.42	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ASPD|29DMG|3LEGI|45ZMB|6AART|7ERES|8RCR|aVULN
213	21324 26152	   	164.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2DMG|3CGEN|4ASPD|5RPLT|6RCR|79VULN|8AART|aZMB
214	32316 22872	   	164.33	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|2LWND|3RMIN|4RCR|5MBVNT|67DMG|8ASPD|9AART|aVULN
