0	Index      	 *	Score 	Summary	Detail	
1	11346 24527	 * 	184.79	DCR|2VULN|2AART|1DMG|2FLTHEA|1CDMG	18VULN|28DUST|3MBVNT|4CDMG|5DMG|68FLTHEA|7aAART|8BPWR|9RCR
160	13331 24246	 * 	161.38	DCR|3VULN|1DMG|2ZMB|1CDMG	145VULN|29ZMB|3LWND|6BELT|7CDMG|8RCR|aDMG
161	14362 28241	   	161.38	DCR|3VULN|1AART|2CDMG	18aVULN|28FEWX|3MBVNT|4BEXP|5TLV|6RCR|78CDMG|8BPWR|9AART
162	15372 28241	   	161.38	DCR|3VULN|1AART|2CDMG	18aVULN|28BEXP|3MBVNT|4FEWX|5TLV|6RCR|78CDMG|8BPWR|9AART
163	13221 26263	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	15VULN|2ZMB|3ASPD|4CGEN|6BELT|7RCR|8LHND|9AART|aDMG
164	13141 36252	   	161.37	DCR|3VULN|2DMG|1ZMB	179VULN|2ZMB|3LHND|4LWND|5aDMG|6DUST|8RCR
165	13321 36252	   	161.37	DCR|3VULN|2DMG|1ZMB	179VULN|2ZMB|3LWND|4LHND|5aDMG|6DUST|8RCR
166	13513 63423	   	161.37	DCR|3VULN|2DMG|1ZMB	15aVULN|2ZMB|3RPLT|46DMG|7FEWX|8RCR|9DUST
167	23131 51252	   	161.37	DCR|3DMG|2VULN|1ZMB	1LHND|2ZMB|3LWND|4DUST|56aDMG|79VULN|8RCR
168	11351 54361	   	161.28	DCR|2VULN|2DMG|2CDMG	1aVULN|2aDUST|3MBVNT|4ERES|59DMG|6RCR|7aCDMG|8RCVC|aBPWR
169	13362 23451	 * 	161.12	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1VULN|2ZMB|3LWND|4aAART|5BEXP|67DUR|8RCR|9DMG
170	13111 53162	   	161.11	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1VULN|2ZMB|3LHND|4FEWX|56DMG|7ASPD|8DUR|9AART|aRCR
171	13311 53162	   	161.11	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1VULN|2ZMB|3LWND|4FEWX|56DMG|7ASPD|8DUR|9AART|aRCR
172	13321 52662	   	161.11	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|2ZMB|3LWND|4LHND|56DMG|7DUR|8ASPD|9AART|aRCR
173	31423 36233	   	161.06	DCR|3DMG|1VULN|1CDMG|2DUR	1BELT|25DUR|38aDMG|4DUST|6CDMG|7RCR|9VULN
174	13221 26261	 * 	161.01	DCR|3VULN|1AART|2ZMB|1ASPD	15aVULN|2aZMB|3ASPD|4CGEN|6BELT|7RCR|8aLHND|9AART|aBPWR
175	13131 53162	   	161.01	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|2ZMB|3LHND|4DUST|56DMG|7ASPD|8DUR|9AART|aRCR
176	13161 53362	   	161.01	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1VULN|2ZMB|3LHND|4DUR|56DMG|7ASPD|8DUST|9AART|aRCR
177	13333 53362	   	161.01	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	14VULN|2ZMB|3LWND|5DUR|6DMG|7ASPD|8DUST|9AART|aRCR
178	36332 31633	   	160.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	18BELT|2ZMB|3CDMG|4ASPD|5ERES|6RCR|7AART|9VULN|aDMG
179	13364 13351	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3aLWND|4AART|5RCVC|6CDMG|7DUR|8RCR|9DMG
180	13364 13353	   	160.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LWND|4AART|5RCVC|6CDMG|7DUR|8RCR|9DMG|aFEWX
181	13364 13312	   	160.73	DCR|1AART|1VULN|2FLTHEA|1CDMG|1ZMB|1DUR	1VULN|2ZMB|3LWND|4AART|5RCVC|6CDMG|7DUR|8RCR|9aFLTHEA
182	15321 56334	   	160.68	DCR|3VULN|1AART|1DMG	189VULN|2BEXP|3MBVNT|4ERES|5DMG|6RCR|7LIT|aAART
183	31433 15631	 * 	160.65	DCR|2DMG|1AART|1FLTHEA|2DUR|1ZMB	1BELT|26DUR|3aDMG|4ZMB|5RCVC|7FLTHEA|8RCR|9AART
184	15341 41182	   	160.65	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2BEXP|3MBVNT|45DMG|6CGEN|8DUR|9AART|aRCR
185	11351 56334	   	160.58	DCR|3VULN|1AART|1DMG	189VULN|2DUST|3MBVNT|4ERES|5DMG|6RCR|7LIT|aAART
186	14342 61444	   	160.53	DCR|4VULN|1DMG|1CDMG	1679VULN|2FEWX|3MBVNT|4DMG|5CGEN|8RCR|aCDMG
187	36333 51236	   	160.45	DCR|2DMG|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1BELT|2ZMB|3CDMG|4ASPD|5DUST|6RCR|78DMG|9VULN|aDUR
188	11321 61185	   	160.42	DCR|3VULN|1AART|1DMG|1DUR	167VULN|2DUST|3MBVNT|4CGEN|5DMG|8DUR|9RCR|aAART
189	11633 52531	   	160.41	DCR|2VULN|2AART|1DMG|1DUR	14VULN|2DUST|3ERES|5DUR|6DMG|7aAART|8RCR|9LHND
190	13154 31613	 * 	160.30	DCR|4VULN|3ZMB	1579VULN|29aZMB|3LHND|4MLV|6RCR|89LIT|9BPWR
191	13244 43122	 * 	160.22	DCR|3VULN|1AART|2ZMB|2ASPD	156VULN|28ZMB|37ASPD|4BEXP|9AART|aRCR
192	13264 43122	   	160.22	DCR|3VULN|1AART|2ZMB|2ASPD	156VULN|28ZMB|37ASPD|4FEWX|9AART|aRCR
193	11341 24521	   	160.21	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aBELT
194	11341 24523	   	160.21	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aBEXP
195	11341 24524	   	160.21	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aRMIN
196	11341 24525	   	160.21	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aMGNSTR
197	11341 24526	   	160.21	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aLHND
198	35611 31124	   	160.18	DCR|3VULN|1AART|1DMG	1BELT|2CGEN|3AART|49aVULN|5DMG|6SNIHEL|7LIT|8RCR
199	14231 26224	   	160.17	DCR|2VULN|2DMG|1AART|1SELL	15VULN|2FEWX|3BELT|4SELL|6CGEN|7RCR|89DMG|aAART
200	13264 12532	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	15VULN|2ZMB|3ASPD|46FEWX|7AART|8RCR|9DMG|aBEXP
201	13264 12533	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	15VULN|2ZMB|3ASPD|46FEWX|7AART|8RCR|9DMG|aLHND
202	11341 24522	   	160.11	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aERES
203	11341 24528	   	160.11	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9RCR|aTLV
204	14343 53261	 * 	160.10	DCR|2VULN|2DMG|2ASPD|1DUR	1aVULN|2FEWX|3MBVNT|4aDMG|5DUR|6RCR|7CGEN|8aASPD|9LEGI|aBPWR
205	15343 53261	   	160.10	DCR|2VULN|2DMG|2ASPD|1DUR	1aVULN|2BEXP|3MBVNT|4aDMG|5DUR|6RCR|7CGEN|8aASPD|9LEGI|aBPWR
206	11231 26224	   	160.07	DCR|2VULN|2DMG|1AART|1SELL	15VULN|2DUST|3BELT|4SELL|6CGEN|7RCR|89DMG|aAART
207	11236 16224	   	160.07	DCR|2VULN|2DMG|1AART|1SELL	16VULN|2DUST|3BELT|4SELL|5CGEN|7RCR|89DMG|aAART
208	13131 52513	   	160.07	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1VULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9LIT|aASPD
209	13131 52543	   	160.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LHND|4DUST|56DMG|7AART|8RCR|9DUR|aLIT
210	11371 54363	   	160.00	DCR|2VULN|2DMG|1CDMG|1ASPD	18VULN|2DUST|3MBVNT|4ASPD|59DMG|6RCR|7CDMG|aBEXP
211	13111 54214	   	159.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LHND|4FEWX|56DMG|7DUR|8RCR|9RCVC|aAART
212	13311 54214	   	159.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LWND|4FEWX|56DMG|7DUR|8RCR|9RCVC|aAART
213	11633 52532	   	159.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	14VULN|2DUST|3ERES|5DUR|6DMG|7AART|8RCR|9LHND|aZMB
214	13131 32545	   	159.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LHND|46DUST|5aDMG|7AART|8RCR|9DUR
215	12244 35233	   	159.92	DCR|3VULN|1AART|1DMG|1ASPD	156VULN|2CGEN|3ASPD|4BEXP|7AART|8DMG|9LSRHEA|aRCR
216	11371 54361	   	159.90	DCR|2VULN|2DMG|1CDMG|1ASPD	18VULN|2DUST|3MBVNT|4ASPD|59DMG|6RCR|7CDMG|aLSRREG
217	11371 54362	   	159.90	DCR|2VULN|2DMG|1CDMG|1ASPD	18VULN|2DUST|3MBVNT|4ASPD|59DMG|6RCR|7CDMG|aTLV
218	13511 12143	   	159.89	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1aVULN|2ZMB|39RPLT|4aDMG|5ASPD|6DUR|7aLIT|8RCR|aBPWR
219	13511 12163	   	159.89	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1aVULN|2ZMB|3RPLT|4aDMG|5ASPD|6DUR|79aLIT|8RCR|aBPWR
220	13131 54214	   	159.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LHND|4DUST|56DMG|7DUR|8RCR|9RCVC|aAART
221	13161 36214	   	159.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	17VULN|2ZMB|3LHND|4DUR|5DMG|6DUST|8RCR|9RCVC|aAART
222	13333 56415	   	159.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	14VULN|2ZMB|3LWND|5DUR|6DMG|7MBVNT|8RCR|9RCVC|aAART
223	13131 42542	   	159.86	DCR|3ZMB|1AART|1DMG|1VULN|1DUR	1VULN|26aZMB|3LHND|4DUST|5DMG|7AART|8RCR|9DUR
224	11344 66231	 * 	159.85	DCR|1AART|1VULN|1DMG|2CDMG|1FLTHEA	1VULN|2DUST|3MBVNT|4aCDMG|5MGNLIT|6FLTHEA|7RCR|8AART|9DMG
225	13221 26353	 * 	159.83	DCR|3VULN|2CDMG|2ASPD|1ZMB	15aVULN|2ZMB|3aASPD|4CGEN|6BELT|7RCR|8TLV|9aCDMG|aBPWR
226	36333 51235	   	159.83	DCR|2DMG|1VULN|2CDMG|1ZMB|1ASPD	1BELT|2ZMB|3aCDMG|4ASPD|5DUST|6RCR|78DMG|9VULN
227	12234 35233	   	159.82	DCR|3VULN|1AART|1DMG|1ASPD	156VULN|2CGEN|3ASPD|4DUST|7AART|8DMG|9LSRHEA|aRCR
228	11371 54364	   	159.75	DCR|2VULN|2DMG|1CDMG|1ASPD|1SELL	18VULN|2DUST|3MBVNT|4ASPD|59DMG|6RCR|7CDMG|aSELL
229	13111 42332	 * 	159.67	DCR|2AART|3ZMB|1DMG|1VULN	1VULN|268ZMB|3LHND|4FEWX|5DMG|79AART|aRCR
230	13221 41336	   	159.67	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	158VULN|2ZMB|3ASPD|4CGEN|6CDMG|7LHND|9DMG|aRCR
231	13333 43442	   	159.65	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	14VULN|2ZMB|3LWND|5DUR|68RCVC|7AART|9DMG|aRCR
232	11371 55221	   	159.63	DCR|1AART|1VULN|1DMG|1FLTHEA|1ZMB|1ASPD	1VULN|2DUST|3MBVNT|4ASPD|5DMG|6RCR|7BELT|8ZMB|9AART|aFLTHEA
233	13131 42332	   	159.57	DCR|2AART|3ZMB|1DMG|1VULN	1VULN|268ZMB|3LHND|4DUST|5DMG|79AART|aRCR
234	13154 34211	 * 	159.57	DCR|3VULN|2CDMG|2ZMB|1DUR	15aVULN|28ZMB|3aLHND|4MLV|6RCR|7DUR|9aCDMG|aBPWR
235	13333 51463	 * 	159.57	DCR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR	147VULN|2ZMB|3LWND|5DUR|6DMG|8TLV|9FLTHEA|aRCR
236	36333 41343	 * 	159.51	DCR|3DMG|2ZMB|2ASPD|1CDMG|1DUR	1BELT|28ZMB|3CDMG|48ASPD|5DUST|6DUR|78aDMG|8BPWR|9RCR
237	36333 51323	   	159.47	DCR|3DMG|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78aDMG|8BPWR|9BEXP
238	11371 52231	 * 	159.18	DCR|2VULN|1AART|1DMG|2ASPD	1aVULN|2DUST|3MBVNT|48ASPD|5DMG|6RCR|7CGEN|9AART
239	31342 44331	 * 	159.16	DCR|2DMG|1AART|1VULN|2DUR	1BELT|2aDUR|3aERES|4VULN|5DUST|6RCR|7AART|8aDMG|9RMIN|aBPWR
240	13331 24266	   	159.13	DCR|3VULN|1DMG|1CDMG|1ZMB	145VULN|2ZMB|3LWND|6BELT|7CDMG|8RCR|9RCVC|aDMG
241	14344 67233	   	159.08	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2FEWX|3MBVNT|4DMG|5RCVC|6AIRHEA|7RCR|8CDMG|aAART
242	11342 77437	   	159.01	DCR|3VULN|2DMG|1CDMG	167VULN|25DUST|3MBVNT|4CDMG|89DMG|aRCR
243	31432 53361	 * 	159.01	DCR|2DMG|1VULN|2ASPD|2DUR|1ZMB	1BELT|29DUR|39DMG|4ZMB|5CGEN|6RCR|79ASPD|8RPLT|9BPWR|aVULN
244	61311 36141	   	159.00	DCR|2AART|2VULN|1CDMG|1ASPD	1LSRICY|2RMIN|39AART|4LIT|5ASPD|6CDMG|7RCR|8aVULN
245	36333 51352	 * 	158.95	DCR|2DMG|3ZMB|2CDMG|1ASPD	1BELT|28aZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9RCVC
246	11342 15313	   	158.82	DCR|3VULN|3CDMG|1AART	189VULN|259DUST|3MBVNT|469CDMG|7AART|9BPWR|aRCR
247	14314 51544	   	158.78	DCR|2VULN|1AART|1DMG|2ASPD	19VULN|29FEWX|3MBVNT|4DUST|5DMG|6RCR|79ASPD|8RPLT|9BPWR|aAART
248	13154 31124	   	158.76	DCR|3VULN|1AART|1ZMB|1DUR	157VULN|2ZMB|3LHND|4MLV|6RCR|8DUR|9FEWX|aAART
249	13154 31134	   	158.76	DCR|3VULN|1AART|1ZMB|1DUR	157VULN|2ZMB|3LHND|4MLV|6RCR|8DUR|9BEXP|aAART
250	15342 61182	   	158.72	DCR|3VULN|1AART|1DMG|1DUR	167VULN|2BEXP|3MBVNT|4DMG|5CGEN|8DUR|9AART|aRCR
251	12234 35521	   	158.66	DCR|4VULN|1AART|1ASPD	156aVULN|2CGEN|3ASPD|4DUST|7AART|8RCR|9ERES
252	13362 24431	 * 	158.65	DCR|2AART|2VULN|2DUR|1ZMB	1aVULN|2ZMB|3LWND|47AART|5BEXP|69DUR|8RCR
253	13232 66313	   	158.64	DCR|2VULN|2DMG|2ZMB|1DUR|1ASPD	17VULN|27ZMB|3ASPD|4LSRREG|57DMG|6LEGI|7BPWR|8BASHEA|9DUR|aRCR
254	36322 51612	   	158.57	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2ZMB|3CDMG|4DUST|58RCVC|6RCR|7AART|9DMG|aVULN
255	11315 52631	   	158.56	DCR|4VULN|1AART|1ASPD	156aVULN|24DUST|3MBVNT|7AART|8RCR|9ASPD
256	13154 32321	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3LHND|4MLV|6RCR|7AART|8RPLT|9DUR|aCDMG
257	61311 36115	   	158.55	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LSRICY|2RMIN|3AART|4LIT|5ASPD|6CDMG|7RCR|89VULN|aZMB
258	36332 31631	   	158.45	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD	18BELT|2ZMB|3CDMG|4ASPD|5ERES|6RCR|7AART|9aVULN
259	35611 34321	   	158.37	DCR|2AART|2DMG|1VULN	1BELT|28CGEN|39AART|4VULN|5aDMG|6SNIHEL|7RCR
260	23221 55234	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2ZMB|3ASPD|4CGEN|59VULN|6DMG|7BEXP|8RCR|aAART
261	23225 11234	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2ZMB|3ASPD|4CGEN|5DMG|6FEWX|79VULN|8RCR|aAART
262	23225 35234	   	158.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LHND|2ZMB|3ASPD|4CGEN|5DMG|69VULN|7BEXP|8RCR|aAART
263	13364 13326	   	158.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3LWND|4AART|5RCVC|6CDMG|7DUR|8RCR|9DMSP
264	13364 13333	   	158.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3LWND|4AART|5RCVC|6CDMG|7DUR|8RCR|9LIT
265	13322 22446	 * 	158.33	DCR|3VULN|3ZMB|2DUR	19aVULN|28aZMB|3LWND|4LHND|5aDUR|6RCR|7LEGI|aBPWR
266	13161 31254	   	158.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19VULN|2ZMB|37LHND|4DUR|5DMG|6DUST|8RCR|aAART
267	31316 34363	 * 	158.24	DCR|2DMG|1VULN|2CDMG|3DUR	1BELT|279DUR|39ERES|47MLV|57CDMG|6RCR|79BPWR|89DMG|aVULN
268	13131 34254	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19VULN|2ZMB|3LHND|46DUST|5DMG|7DUR|8RCR|aAART
269	13131 54234	   	158.17	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2ZMB|3LHND|49DUST|56DMG|7DUR|8RCR|aAART
270	13161 32254	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	19VULN|2ZMB|3LHND|4DUR|5DMG|67DUST|8RCR|aAART
271	13161 36234	   	158.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	17VULN|2ZMB|3LHND|4DUR|5DMG|69DUST|8RCR|aAART
272	14371 54343	   	158.17	DCR|3VULN|1DMG|1CDMG|1ASPD	18aVULN|2FEWX|3MBVNT|4ASPD|5DMG|6RCR|7CDMG|9LWND
273	35335 61232	   	158.17	DCR|3DMG|1VULN|1CDMG|1ASPD	1BELT|2CGEN|3CDMG|4ASPD|5MBVNT|6RCR|78aDMG|9VULN
274	11371 54333	   	158.07	DCR|3VULN|1DMG|1CDMG|1ASPD	18aVULN|2DUST|3MBVNT|4ASPD|5DMG|6RCR|7CDMG|9LWND
275	11371 54343	   	158.07	DCR|3VULN|1DMG|1CDMG|1ASPD	18aVULN|2DUST|3MBVNT|4ASPD|5DMG|6RCR|7CDMG|9FEWX
276	14371 54323	   	158.07	DCR|3VULN|1DMG|1CDMG|1ASPD	18aVULN|2FEWX|3MBVNT|4ASPD|5DMG|6RCR|7CDMG|9DUST
277	13513 62432	   	158.05	DCR|2VULN|2DMG|2DUR|1ZMB	15VULN|2ZMB|3RPLT|46DMG|7aDUR|8RCR|9CGEN
278	13321 52254	   	158.05	DCR|2VULN|2DMG|2DUR|1ZMB	19VULN|2ZMB|3LWND|4LHND|56DMG|7aDUR|8RCR
279	13362 21451	   	158.03	DCR|2AART|1VULN|1DMG|1ZMB|1DUR	1VULN|2ZMB|3LWND|4aAART|5BEXP|6DUR|7RCVC|8RCR|9DMG
280	13154 32262	   	158.03	DCR|2VULN|1AART|1DMG|1ZMB	15VULN|2ZMB|38LHND|4MLV|6RCR|7AART|9BELT|aDMG
281	13154 32363	   	158.03	DCR|2VULN|1AART|1DMG|1ZMB	15VULN|2ZMB|3LHND|4MLV|6RCR|7AART|8RPLT|9RMIN|aDMG
282	13232 16641	   	158.02	DCR|2VULN|1DMG|3ASPD|2DUR|1ZMB	17VULN|2ZMB|378ASPD|4LSRREG|5DMG|67DUR|7BPWR|9RCR|aLWND
283	13232 16642	   	158.02	DCR|2VULN|3ASPD|1DMG|2DUR|1ZMB	17VULN|2ZMB|378ASPD|4LSRREG|5DMG|67DUR|7BPWR|9RCR|aBEXP
284	13363 33183	   	157.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1VULN|2ZMB|3LWND|4AART|5MBVNT|6MLV|7ASPD|8RCR|9CDMG|aDMG
285	13154 32217	   	157.93	DCR|2VULN|1AART|1DMG|1ZMB	15VULN|2ZMB|38LHND|4MLV|6RCR|7AART|9MBVNT|aDMG
286	14341 41455	   	157.91	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6CGEN|8RCR|9LHND|aAART
287	14341 41475	   	157.91	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6CGEN|8RCR|9BEXP|aAART
288	14341 44235	   	157.91	DCR|2VULN|2DMG|1AART	19VULN|2FEWX|3MBVNT|45DMG|6CGEN|7LHND|8RCR|aAART
289	14341 46235	   	157.91	DCR|2VULN|2DMG|1AART	19VULN|2FEWX|3MBVNT|45DMG|6CGEN|7BEXP|8RCR|aAART
290	15341 41425	   	157.91	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6CGEN|8RCR|9FEWX|aAART
291	15341 41455	   	157.91	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6CGEN|8RCR|9LHND|aAART
292	15341 44235	   	157.91	DCR|2VULN|2DMG|1AART	19VULN|2BEXP|3MBVNT|45DMG|6CGEN|7LHND|8RCR|aAART
293	21321 41235	   	157.91	DCR|2VULN|2DMG|1AART	16LHND|2DUST|3MBVNT|4CGEN|56DMG|6BPWR|79VULN|8RCR|aAART
294	24341 41235	   	157.91	DCR|2VULN|2DMG|1AART	1LHND|2FEWX|3MBVNT|45DMG|6CGEN|79VULN|8RCR|aAART
295	25341 41235	   	157.91	DCR|2VULN|2DMG|1AART	1LHND|2BEXP|3MBVNT|45DMG|6CGEN|79VULN|8RCR|aAART
296	14385 41411	   	157.88	DCR|4VULN|2CDMG|1ZMB	145aVULN|2aFEWX|3MBVNT|6ZMB|7TLV|8RCR|9aCDMG|aBPWR
297	23333 42536	   	157.88	DCR|2AART|1DMG|1VULN|2ZMB|1ASPD	13LHND|23ZMB|3BPWR|4DUST|5ASPD|6VULN|79AART|8RCR|aDMG
298	13343 43342	   	157.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	18VULN|2ZMB|34LWND|5DUR|6RCVC|7AART|9DMG|aRCR
299	11341 24558	   	157.81	DCR|2VULN|1AART|2FLTHEA|1CDMG|1ASPD	18VULN|28DUST|3MBVNT|4CDMG|5ASPD|68FLTHEA|7AART|8BPWR|9LHND|aRCR
300	14341 22265	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2FEWX|3MBVNT|45DMG|6DUST|7MLV|8RCR|aAART
301	14341 26235	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2FEWX|3MBVNT|45DMG|6DUST|7CGEN|8RCR|aAART
302	14341 31445	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6TLV|8RCR|9LWND|aAART
303	14341 31455	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6TLV|8RCR|9LHND|aAART
304	14341 31475	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6TLV|8RCR|9BEXP|aAART
305	14341 34265	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2FEWX|3MBVNT|45DMG|6TLV|7LHND|8RCR|aAART
306	14341 41465	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6CGEN|8RCR|9LEGI|aAART
307	15341 22265	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2BEXP|3MBVNT|45DMG|6DUST|7MLV|8RCR|aAART
308	15341 26235	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2BEXP|3MBVNT|45DMG|6DUST|7CGEN|8RCR|aAART
309	15341 31425	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6TLV|8RCR|9FEWX|aAART
310	15341 31455	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6TLV|8RCR|9LHND|aAART
311	15341 34265	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2BEXP|3MBVNT|45DMG|6TLV|7LHND|8RCR|aAART
312	15341 41445	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6CGEN|8RCR|9DUST|aAART
313	15341 41465	   	157.81	DCR|2VULN|2DMG|1AART	17VULN|2BEXP|3MBVNT|45DMG|6CGEN|8RCR|9LEGI|aAART
314	15341 47235	   	157.81	DCR|2VULN|2DMG|1AART	19VULN|2BEXP|3MBVNT|45DMG|6CGEN|7DUST|8RCR|aAART
315	24341 31265	   	157.81	DCR|2VULN|2DMG|1AART	1LHND|2FEWX|3MBVNT|45DMG|6TLV|79VULN|8RCR|aAART
316	25341 31265	   	157.81	DCR|2VULN|2DMG|1AART	1LHND|2BEXP|3MBVNT|45DMG|6TLV|79VULN|8RCR|aAART
317	11388 41411	   	157.78	DCR|4VULN|2CDMG|1ZMB	147aVULN|2aDUST|3MBVNT|5ZMB|6CGEN|8RCR|9aCDMG|aBPWR
318	13131 42541	   	157.78	DCR|2AART|1VULN|1DMG|2ZMB|1DUR	1VULN|26ZMB|3LHND|4DUST|5DMG|7aAART|8RCR|9DUR
319	13214 52252	   	157.76	DCR|3VULN|1DMG|1ZMB|1DUR|1ASPD	159VULN|2ZMB|3ASPD|4LWND|6LHND|7DUR|8RCR|aDMG
320	13361 35133	   	157.74	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	1VULN|2ZMB|3LWND|48AART|5LIT|6CGEN|7CDMG|9DMG|aRCR
321	13331 46236	   	157.74	DCR|4VULN|1DMG|1ZMB|1SELL	1459VULN|2ZMB|3LWND|6SELL|7BELT|8RCR|aDMG
322	14341 31465	   	157.71	DCR|2VULN|2DMG|1AART	17VULN|2FEWX|3MBVNT|45DMG|6TLV|8RCR|9LEGI|aAART
