0	Index      	 *	Score 	Summary	Detail	
1	21632 34125	 * 	208.38	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	136DMG|2AART|3aBPWR|4aZMB|5RCR|7RCVC|8aVULN|9aDUR
171	21354 63213	   	183.43	DCR|3DMG|2AART|1VULN|1ZMB	169DMG|2aAART|3BEXP|4VULN|56LWND|6BPWR|7ZMB|8RCR
172	21412 23254	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2AART|39VULN|4ASPD|5LWND|7FEWX|8RCR|aCDMG
173	21632 34512	   	183.39	ACR|3DMG|2AART|2ZMB|2ASPD	136DMG|28AART|3aBPWR|4aZMB|5RCR|7RCVC|9aASPD
174	21632 34622	   	183.39	ACR|3DMG|2AART|2ZMB|2ASPD	136DMG|29AART|3aBPWR|4aZMB|5RCR|7RCVC|8aASPD
175	21355 35113	   	183.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	18DMG|2AART|3BEXP|48VULN|58FEWX|6LEGI|7RCR|8BPWR|9ZMB|aASPD
176	21631 53215	   	183.23	DCR|3DMG|2AART|1VULN|1ZMB	139DMG|2aAART|3BPWR|4ZMB|5VULN|6DUST|7FEWX|8RCR
177	21632 32624	   	183.19	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	136DMG|2AART|38BPWR|48ZMB|5RCR|78LHND|9DUR|aVULN
178	21632 32653	   	183.19	ACR|3DMG|1AART|1VULN|2ZMB|1ASPD	136DMG|2AART|38BPWR|48ZMB|5RCR|78LHND|9VULN|aASPD
179	21442 32431	   	183.13	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	148DMG|2AART|3VULN|5LWND|6ZMB|7BELT|9RCR|aCDMG
180	21632 31243	   	183.09	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	136DMG|2AART|3BPWR|4aZMB|5RCR|7LIT|8DUR|9VULN
181	21632 31363	   	183.09	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	136DMG|2AART|3BPWR|4aZMB|5RCR|7LIT|8VULN|9DUR
182	21443 11136	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|3aVULN|6ASPD|7LIT|8RMIN|9RCR
183	21443 11331	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|7LIT|9RCR|aMLV
184	21443 11332	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|7LIT|9RCR|aCGEN
185	21443 11333	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|7LIT|9RCR|aBEXP
186	21443 11335	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|7aLIT|9RCR
187	21443 12316	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|3aVULN|6ASPD|7LHND|8CGEN|9RCR
188	53226 15131	   	183.00	DCR|2AART|2DMG|2VULN|1DUR	18LHND|2DUR|3aAART|4LEGI|58VULN|68DMG|7RCR|8BPWR|9ERES
189	21222 43522	   	182.98	ACR|2AART|2DMG|1VULN|1CDMG|2DUR	14DMG|26AART|3MLV|5RCR|7VULN|89DUR|aCDMG
190	21443 11334	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|7LIT|9RCR|aDUST
191	21443 12216	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|3aVULN|6ASPD|7LHND|8ERES|9RCR
192	21631 43124	 * 	182.71	3VULN|3DMG|2AART|2ZMB|1CDMG|1DUR	138DMG|26AART|38BPWR|48ZMB|578VULN|9DUR|aCDMG
193	23342 31125	 * 	182.66	DCR|4VULN|3DMG|1ASPD	147DMG|2RPLT|3467VULN|47BPWR|57LIT|8ASPD|9LWND|aRCR
194	23342 31145	   	182.66	DCR|4VULN|3DMG|1ASPD	147DMG|2RPLT|3467VULN|47BPWR|57LIT|8ASPD|9FEWX|aRCR
195	23342 31155	   	182.66	DCR|4VULN|3DMG|1ASPD	147DMG|2RPLT|3467VULN|47BPWR|57LIT|8ASPD|9LHND|aRCR
196	53226 15112	   	182.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18LHND|2DUR|3AART|4LEGI|58VULN|68DMG|7RCR|8BPWR|9ZMB|aFEWX
197	11112 13234	   	182.40	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2VULN|3DUR|4ASPD|59AART|67DMG|8RCR|aCDMG
198	13212 13234	   	182.40	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1BEXP|2DUR|3VULN|4ASPD|59AART|67DMG|8RCR|aCDMG
199	23345 61231	   	182.37	DCR|3DMG|2VULN|1AART|1ZMB	145DMG|28RPLT|34VULN|4BPWR|6AART|7LHND|9ZMB|aRCR
200	21153 12235	   	182.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDMG|2AART|37LHND|4aVULN|5LWND|6ASPD|8RCR|9aDUR|aBPWR
201	21155 12235	   	182.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDMG|2AART|37LHND|4aVULN|5FEWX|6ASPD|8RCR|9aDUR|aBPWR
202	21351 12235	   	182.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDMG|2AART|3BEXP|4aVULN|57LHND|6ASPD|8RCR|9aDUR|aBPWR
203	21214 33462	   	182.09	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2AART|3MLV|4RCR|5RCVC|7aVULN|8LIT|9CDMG
204	21632 35611	   	182.07	ACR|3DMG|1AART|2ZMB|1CDMG|2DUR	136DMG|2AART|38BPWR|48ZMB|5RCR|78DUR|9CDMG|aFEWX
205	21415 43331	   	182.07	DCR|3VULN|2AART|1DMG|1ASPD	1DMG|26AART|379VULN|4ASPD|5RCVC|8RCR|aLWND
206	23345 21333	   	182.06	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	145DMG|2RPLT|34VULN|4BPWR|6ASPD|7SNIHEL|8RCR|9ZMB|aCDMG
207	21632 35613	   	181.97	ACR|3DMG|1AART|2ZMB|1CDMG|2DUR	136DMG|2AART|38BPWR|48ZMB|5RCR|78DUR|9CDMG|aDUST
208	21415 43332	   	181.97	DCR|3VULN|2AART|1DMG|1ASPD	1DMG|26AART|379VULN|4ASPD|5RCVC|8RCR|aERES
209	21363 63224	   	181.67	DCR|3DMG|2AART|1VULN|1DUR	156DMG|24AART|3BEXP|7RCR|8CGEN|9DUR|aVULN
210	21363 63621	   	181.67	DCR|3DMG|2AART|1VULN|1DUR	156DMG|24AART|38BEXP|7RCR|9VULN|aDUR
211	21222 43421	   	181.62	ACR|2AART|2VULN|2DMG|1ASPD	14DMG|26AART|3MLV|5RCR|79VULN|8LIT|aASPD
212	21213 15326	   	181.49	ACR|3VULN|2DMG|1AART	19DMG|2AART|3MLV|4RCR|59LIT|6BEXP|7LWND|89aVULN|9BPWR
213	21632 34122	   	181.45	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9DUR|aLIT
214	21632 34123	   	181.45	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9DUR|aCGEN
215	21632 34224	   	181.45	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8LWND|9DUR|aVULN
216	21632 34253	   	181.45	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8LWND|9VULN|aASPD
217	21632 34324	   	181.45	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8FEWX|9DUR|aVULN
218	21212 11326	   	181.39	ACR|3VULN|2DMG|1AART	19DMG|2AART|39MLV|4RCR|5LWND|6LEGI|7LIT|89aVULN|9BPWR
219	21632 34121	   	181.35	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9DUR|aLEGI
220	21632 34126	   	181.35	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9DUR|aMBVNT
221	21632 34131	   	181.35	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7RCVC|8VULN|9ERES|aDUR
222	21632 32612	   	181.29	ACR|3DMG|2AART|2ZMB|1CDMG	136DMG|2aAART|38BPWR|48ZMB|5RCR|78LHND|9CDMG
223	21135 12226	   	181.27	DCR|3VULN|2DMG|1AART	1aDMG|2AART|3aLHND|4ERES|5RCVC|6TLV|79aVULN|8RCR|aBPWR
224	21334 12226	   	181.27	DCR|3VULN|2DMG|1AART	1aDMG|2AART|3aBEXP|4ERES|5RCVC|6TLV|79aVULN|8RCR|aBPWR
225	21446 23311	   	181.20	DCR|2AART|2VULN|2DMG|1ASPD	14DMG|25AART|37VULN|6ASPD|8RCR|9DMSP|aLWND
226	21632 63512	   	181.19	ACR|3DMG|2AART|2ZMB|2ASPD	13aDMG|28AART|3aBPWR|4aZMB|5RCR|6DUST|7FEWX|9aASPD
227	32315 61216	   	181.18	ACR|2AART|2VULN|2DMG	1aCGEN|2ERES|3RCR|47AART|5RCVC|6RPLT|8aDMG|9aVULN|aBPWR
228	21632 53121	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|89VULN|aMLV
229	21632 53122	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|89VULN|aLWND
230	21632 53123	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|89VULN|aLIT
231	21632 53224	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|8LWND|9aVULN
232	21632 56121	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7LWND|89VULN|aMLV
233	21632 56122	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7aLWND|89VULN
234	21632 43421	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	13DMG|2AART|3BPWR|4ZMB|5RCR|6DMSP|79VULN|8LIT|aASPD
235	21632 32524	   	181.15	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LHND|8RCVC|9DUR|aVULN
236	21632 32553	   	181.15	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LHND|8RCVC|9VULN|aASPD
237	21446 23312	   	181.10	DCR|2AART|2VULN|2DMG|1ASPD	14DMG|25AART|37VULN|6ASPD|8RCR|9DMSP|aERES
238	21446 23321	   	181.10	DCR|2AART|2VULN|2DMG|1ASPD	14DMG|25AART|37VULN|6ASPD|8RCR|9ERES|aFEWX
239	21446 23323	   	181.10	DCR|2AART|2VULN|2DMG|1ASPD	14DMG|25AART|37VULN|6ASPD|8RCR|9ERES|aCGEN
240	21632 51326	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7ERES|8LWND|9aVULN
241	21632 53125	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|89VULN|aLEGI
242	21632 56123	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7LWND|89VULN|aDUST
243	21446 23322	   	181.00	DCR|2AART|2VULN|2DMG|1ASPD	14DMG|25AART|37VULN|6ASPD|8RCR|9ERES|aDUST
244	21222 44126	   	180.99	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9DUR|aRCVC
245	21143 36252	   	180.87	DCR|3DMG|2VULN|1AART	145DMG|2AART|36LHND|7RCR|8CGEN|9aVULN
246	21632 31216	   	180.85	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9RCVC|aVULN
247	21222 32554	   	180.79	ACR|3DMG|2VULN|1AART	146DMG|2AART|3MLV|5RCR|7LHND|8RCVC|9aVULN
248	21222 34616	   	180.79	ACR|3DMG|2VULN|1AART	146DMG|2AART|3MLV|5RCR|7BELT|8RCVC|9aVULN
249	21445 33221	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7FEWX|8RCR|aMLV
250	21445 33222	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7FEWX|8RCR|aLWND
251	21445 33223	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7FEWX|8RCR|aLIT
252	21632 35134	   	180.75	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7DUR|8DUST|9RCVC|aVULN
253	21421 55122	   	180.67	DCR|2VULN|2DMG|1AART|1CDMG	18DMG|2AART|38VULN|4FEWX|5LHND|68LWND|7RCR|8BPWR|9RCVC|aCDMG
254	21145 31226	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|3LHND|5DUR|6ZMB|7ERES|8RCR|9aVULN
255	21345 31226	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|3BEXP|5DUR|6ZMB|7ERES|8RCR|9aVULN
256	21445 31221	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7ERES|8RCR|aLWND
257	21445 31222	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7ERES|8RCR|aLHND
258	21445 31223	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2AART|39VULN|5DUR|6ZMB|7ERES|8RCR|aLIT
259	21625 31226	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2AART|3BPWR|4BEXP|5DUR|6ZMB|7ERES|8RCR|9aVULN
260	21443 11323	   	180.61	DCR|3DMG|2VULN|1AART|1ASPD	145DMG|2AART|38VULN|6ASPD|79LIT|aRCR
261	21355 35122	   	180.57	DCR|2VULN|2DMG|1AART|1CDMG	18DMG|2AART|3BEXP|48VULN|58FEWX|6LEGI|7RCR|8BPWR|9RCVC|aCDMG
262	21214 34621	   	180.38	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	167DMG|2AART|3MLV|4RCR|5RCVC|8ASPD|9VULN|aDUR
263	21424 13235	   	180.25	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	17aDMG|2AART|3VULN|4aFEWX|5LWND|6ASPD|8RCR|9aDUR|aBPWR
264	11112 15255	   	180.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1BEXP|29VULN|37DUR|4ASPD|5AART|6aDMG|8RCR
265	13212 15255	   	180.18	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1BEXP|27DUR|39VULN|4ASPD|5AART|6aDMG|8RCR
266	21214 33636	   	180.15	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2AART|3MLV|4RCR|5RCVC|7VULN|8CDMG|9FEWX
267	21214 34111	   	180.15	ACR|3DMG|1AART|1VULN|1CDMG	167DMG|2AART|3MLV|4RCR|5RCVC|8VULN|9CDMG|aFEWX
268	21214 34115	   	180.15	ACR|3DMG|1AART|1VULN|1CDMG	167DMG|2AART|3MLV|4RCR|5RCVC|8VULN|9CDMG|aRPLT
269	31215 61216	   	180.08	ACR|2AART|2VULN|2DMG	1aCGEN|27AART|3MLV|4RCR|5RCVC|6RPLT|8aDMG|9aVULN|aBPWR
270	21213 23122	   	180.08	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	17DMG|28AART|3MLV|4RCR|5LIT|6DUR|9VULN|aCDMG
271	21213 23162	   	180.08	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	17DMG|28AART|3MLV|4RCR|5LIT|6DUR|9CDMG|aVULN
272	21214 33616	   	180.05	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2AART|3MLV|4RCR|5RCVC|7VULN|8CDMG|9DUST
273	21214 34113	   	180.05	ACR|3DMG|1AART|1VULN|1CDMG	167DMG|2AART|3MLV|4RCR|5RCVC|8VULN|9CDMG|aLEGI
274	21214 34114	   	180.05	ACR|3DMG|1AART|1VULN|1CDMG	167DMG|2AART|3MLV|4RCR|5RCVC|8VULN|9CDMG|aERES
275	21222 31256	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	146DMG|29AART|3MLV|5RCR|7LIT|8DUR|aVULN
276	21222 43343	   	179.69	ACR|3DMG|2AART|1VULN|1ASPD	149DMG|26AART|3MLV|5RCR|7VULN|8LHND|aASPD
277	21222 44122	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9DUR|aLIT
278	21222 44123	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9DUR|aCGEN
279	21222 44125	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9DUR|aLWND
280	21222 44224	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8LWND|9DUR|aVULN
281	21222 44253	   	179.69	ACR|3DMG|2AART|1VULN|1ASPD	147DMG|26AART|3MLV|5RCR|8LWND|9VULN|aASPD
282	21222 44324	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8FEWX|9DUR|aVULN
283	21222 44622	   	179.69	ACR|3DMG|2AART|1VULN|1ASPD	147DMG|26AART|3MLV|5RCR|8ASPD|9VULN|aRPLT
284	21222 43542	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	149DMG|26AART|3MLV|5RCR|7VULN|8DUR|aLIT
285	21222 43543	   	179.69	ACR|3DMG|2AART|1VULN|1DUR	149DMG|26AART|3MLV|5RCR|7VULN|8DUR|aCGEN
286	22313 24123	   	179.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|29CGEN|3MBVNT|4AART|5LIT|6DUR|79VULN|8RCR|9BPWR|aZMB
287	21213 33116	   	179.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	17DMG|2AART|3MLV|4RCR|5LIT|6VULN|8DUR|9CDMG|aZMB
288	21222 44121	   	179.59	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9DUR|aLEGI
289	21222 44131	   	179.59	ACR|3DMG|2AART|1VULN|1DUR	147DMG|26AART|3MLV|5RCR|8VULN|9ERES|aDUR
290	21222 44623	   	179.59	ACR|3DMG|2AART|1VULN|1ASPD	147DMG|26AART|3MLV|5RCR|8ASPD|9VULN|aDUST
291	21222 44633	   	179.59	ACR|3DMG|2AART|1VULN|1ASPD	147DMG|26AART|3MLV|5RCR|8ASPD|9LSRREG|aVULN
292	21222 43541	   	179.59	ACR|3DMG|2AART|1VULN|1DUR	149DMG|26AART|3MLV|5RCR|7VULN|8DUR|aLEGI
293	21632 34212	   	179.54	ACR|3DMG|2AART|1CDMG|1ZMB	136DMG|2aAART|3BPWR|4ZMB|5RCR|7RCVC|8LWND|9CDMG
294	21632 52422	   	179.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	13DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7RCVC|8LIT|9VULN|aCDMG
295	61214 32116	   	179.36	ACR|2DMG|1AART|1VULN|2ZMB|2ASPD	1aZMB|2AART|3MLV|4RCR|5RCVC|6aDMG|7VULN|8ERES|9aASPD|aBPWR
296	61223 66212	   	179.32	DCR|3DMG|2AART|1CDMG|1ZMB	1ZMB|2aAART|3MLV|456DMG|7RCR|8CGEN|9CDMG
297	21213 33262	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	17DMG|2AART|3MLV|4RCR|5LIT|69VULN|8LWND|aCDMG
298	21213 33362	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	17DMG|2AART|3MLV|4RCR|5LIT|69VULN|8LHND|aCDMG
299	22318 32318	 * 	179.28	DCR|2VULN|2DMG|1AART|3ASPD	1aDMG|26CGEN|3MBVNT|4AART|56aASPD|6aBPWR|7aVULN|8BELT|9RCR
300	21355 13235	   	179.27	DCR|3DMG|2AART|1VULN|1ASPD	17aDMG|29AART|3BEXP|4VULN|5FEWX|6ASPD|8RCR
301	21411 63235	   	179.27	DCR|3DMG|2AART|1VULN|1ASPD	17aDMG|29AART|3VULN|4ASPD|5FEWX|6BEXP|8RCR
302	21412 23245	   	179.27	DCR|3DMG|2AART|1VULN|1ASPD	16aDMG|29AART|3VULN|4ASPD|5LWND|7FEWX|8RCR
303	21632 32512	   	179.24	ACR|3DMG|2AART|1CDMG|1ZMB	136DMG|2aAART|3BPWR|4ZMB|5RCR|7LHND|8RCVC|9CDMG
304	21222 31243	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	146DMG|2AART|3MLV|5RCR|7LIT|8DUR|9VULN|aZMB
305	21222 31363	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	146DMG|2AART|3MLV|5RCR|7LIT|8VULN|9DUR|aZMB
306	21632 31116	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8RMIN|9ASPD|aVULN
307	21632 31146	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8RMIN|9DUR|aVULN
308	21632 31236	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9BEXP|aVULN
309	21632 31242	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9VULN|aCGEN
310	21632 31245	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9VULN|aBEXP
311	21632 31331	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9BEXP|aASPD
312	21632 31362	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9DUR|aCGEN
313	21632 31365	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9DUR|aBEXP
314	21632 31422	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8RPLT|9DUR|aVULN
315	21632 31541	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8FEWX|9VULN|aASPD
316	21632 33114	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8FEWX|9RMIN|aVULN
317	21632 33136	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8FEWX|9LWND|aVULN
318	21632 33154	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8FEWX|9CGEN|aVULN
319	21632 33264	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8CGEN|9LHND|aVULN
320	21632 33314	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8BEXP|9RMIN|aVULN
321	21632 33336	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8BEXP|9LWND|aVULN
322	21632 33354	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8BEXP|9CGEN|aVULN
323	21632 35314	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7DUR|8CGEN|9RMIN|aVULN
324	21632 44122	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	137DMG|2AART|3BPWR|4ZMB|5RCR|6DMSP|8VULN|9DUR|aLIT
325	21632 44123	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	137DMG|2AART|3BPWR|4ZMB|5RCR|6DMSP|8VULN|9DUR|aCGEN
326	21632 53112	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|8VULN|aBEXP
327	21632 53114	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7aFEWX|8VULN
328	21632 53116	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7FEWX|8VULN|aLWND
329	21632 56112	   	179.24	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2AART|3BPWR|4ZMB|5RCR|6DUR|7LWND|8VULN|aBEXP
330	21411 43235	   	179.17	DCR|3DMG|2AART|1VULN|1ASPD	17aDMG|29AART|3VULN|4ASPD|5FEWX|6DUST|8RCR
331	25321 31255	 * 	179.16	DCR|3DMG|2AART|2CDMG|2DUR	138DMG|28DUR|4TLV|5CGEN|68CDMG|7aAART|8BPWR|9RCR
332	21632 31246	   	179.14	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8DUR|9VULN|aDUST
333	21632 31321	   	179.14	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9DUST|aASPD
334	21632 31366	   	179.14	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|8VULN|9DUR|aDUST
335	21632 33514	   	179.14	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8DUST|9RMIN|aVULN
336	21632 33536	   	179.14	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	136DMG|2AART|3BPWR|4ZMB|5RCR|7ASPD|8DUST|9LWND|aVULN
