0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
165	33111 63633	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8DUST|9RCR|aBEXP
166	33111 63634	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8DUST|9RCR|aDMSP
167	33111 63636	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8DUST|9RCR|aFEWX
168	33111 63531	   	159.81	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LEGI|9RCR|aDUST
169	33111 63536	   	159.81	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LEGI|9RCR|aERES
170	33111 63631	   	159.81	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8aDUST|9RCR
171	13344 74464	   	159.77	DCR|2AART|2DMG|1VULN	1aCGEN|2RPLT|3VULN|4MBVNT|59AART|6RCR|7aLWND|8aDMG|aBPWR
172	11525 12123	   	159.67	DCR|3VULN|1AART|1CDMG	1CGEN|2LIT|37aVULN|4AART|5FEWX|6RCR|8CDMG|9RCVC
173	21525 12123	   	159.67	DCR|3VULN|1AART|1CDMG	1MLV|2LIT|37aVULN|4AART|5FEWX|6RCR|8CDMG|9RCVC
174	42325 12123	   	159.67	DCR|3VULN|1AART|1CDMG	1LIT|27aVULN|3CGEN|4AART|5FEWX|6RCR|8CDMG|9RCVC
175	43612 36122	 * 	159.50	ACR|3VULN|1AART|3ASPD	136LIT|236ASPD|36aBPWR|4RCR|5RMIN|78aVULN|9AART
176	43612 23222	 * 	159.29	ACR|2VULN|1AART|1DMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5RMIN|6AART|7DMG|8BELT|9aVULN
177	45412 31313	   	159.20	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	19LIT|24CDMG|3VULN|5AART|6DMG|7RCR|8MLV|aZMB
178	33663 31136	 * 	159.20	DCR|3VULN|2AART|1DUR	1MGNLIT|248VULN|3LIT|5LSRICY|6aAART|7RCR|9DUR
179	43616 23222	   	159.19	ACR|2VULN|1AART|1DMG|2ASPD	13LIT|23ASPD|3BPWR|4RCR|5ERES|6AART|7DMG|8BELT|9aVULN
180	21524 11161	 * 	159.19	DCR|3AART|1VULN|1DMG|2DUR	1MLV|2LIT|3VULN|48aAART|59DUR|6RCR|7DMG
181	45412 31113	   	159.10	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB	19LIT|24CDMG|3VULN|5AART|6DMG|7RCR|8TLV|aZMB
182	13112 63125	 * 	159.10	ACR|3VULN|1AART|1DMG	18CGEN|2RPLT|3DMSP|489VULN|5RCR|6AART|78MLV|8BPWR|aDMG
183	13512 63125	   	159.10	ACR|3VULN|1AART|1DMG	18CGEN|23RPLT|489VULN|5RCR|6AART|78MLV|8BPWR|aDMG
184	23112 66125	   	159.10	ACR|3VULN|1AART|1DMG	18MLV|2RPLT|3DMSP|489VULN|5RCR|6AART|78CGEN|8BPWR|aDMG
185	33112 12113	   	158.94	DCR|2VULN|1AART|2DUR|1ZMB|1ASPD	1MGNLIT|29VULN|37DUR|4AART|5ASPD|6RCR|8LIT|aZMB
186	33112 12664	   	158.94	DCR|2VULN|1AART|2DUR|1ZMB|1ASPD	1MGNLIT|2aVULN|37DUR|4AART|5ASPD|6RCR|8LWND|9ZMB
187	13112 62421	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|49aVULN|5RCR|6AART|7LWND|8DMG
188	13112 63325	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|489VULN|5RCR|6AART|7MLV|aDMG
189	13112 64421	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|49aVULN|5RCR|6AART|7LHND|8DMG
190	13512 62421	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|23RPLT|49aVULN|5RCR|6AART|7LWND|8DMG
191	13512 63325	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|23RPLT|489VULN|5RCR|6AART|7MLV|aDMG
192	13622 61421	   	158.90	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|34LWND|5RCR|6AART|79aVULN|8DMG
193	23112 62421	   	158.90	ACR|3VULN|1AART|1DMG	1MLV|2RPLT|3DMSP|49aVULN|5RCR|6AART|7LWND|8DMG
194	23112 63125	   	158.90	ACR|3VULN|1AART|1DMG	18MLV|2RPLT|3DMSP|489VULN|5RCR|6AART|78TLV|8BPWR|aDMG
195	23112 64421	   	158.90	ACR|3VULN|1AART|1DMG	1MLV|2RPLT|3DMSP|49aVULN|5RCR|6AART|7LHND|8DMG
196	23112 66325	   	158.90	ACR|3VULN|1AART|1DMG	1MLV|2RPLT|3DMSP|489VULN|5RCR|6AART|7CGEN|aDMG
197	23512 62421	   	158.90	ACR|3VULN|1AART|1DMG	1MLV|23RPLT|49aVULN|5RCR|6AART|7LWND|8DMG
198	23512 63125	   	158.90	ACR|3VULN|1AART|1DMG	18MLV|23RPLT|489VULN|5RCR|6AART|78TLV|8BPWR|aDMG
199	23622 61421	   	158.90	ACR|3VULN|1AART|1DMG	1MLV|2RPLT|34LWND|5RCR|6AART|79aVULN|8DMG
200	53112 63125	   	158.90	ACR|3VULN|1AART|1DMG	18ERES|2RPLT|3DMSP|489VULN|5RCR|6AART|78MLV|8BPWR|aDMG
201	23112 63325	   	158.80	ACR|3VULN|1AART|1DMG	1MLV|2RPLT|3DMSP|489VULN|5RCR|6AART|7TLV|aDMG
202	23512 63325	   	158.80	ACR|3VULN|1AART|1DMG	1MLV|23RPLT|489VULN|5RCR|6AART|7TLV|aDMG
203	53112 62421	   	158.80	ACR|3VULN|1AART|1DMG	1ERES|2RPLT|3DMSP|49aVULN|5RCR|6AART|7LWND|8DMG
204	53112 63325	   	158.80	ACR|3VULN|1AART|1DMG	1ERES|2RPLT|3DMSP|489VULN|5RCR|6AART|7MLV|aDMG
205	13353 36412	   	158.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2RPLT|3VULN|4MGNSTR|5RCR|67DMG|8DUR|9ZMB|aAART
206	31433 36412	   	158.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1MGNLIT|2RPLT|3CGEN|4VULN|5RCR|67DMG|8DUR|9ZMB|aAART
207	13344 25813	   	158.77	DCR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RPLT|379VULN|4MBVNT|5AART|6ZMB|8CDMG|aRCR
208	33112 14223	   	158.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9DMG|aBEXP
209	33112 14226	   	158.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9DMG|aLIT
210	33112 14234	   	158.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9BELT|aDMG
211	33112 14622	   	158.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8FEWX|9DMG|aLHND
212	33112 14626	   	158.77	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8FEWX|9DMG|aLIT
213	33663 31135	   	158.76	DCR|3VULN|1AART|1ZMB|1DUR	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9DUR|aZMB
214	33112 14222	   	158.67	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9DMG|aLEGI
215	33112 14225	   	158.67	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9DMG|aTLV
216	33112 14625	   	158.67	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8FEWX|9DMG|aTLV
217	33212 13421	   	158.61	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART|aRCVC
218	33214 53421	   	158.61	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5ASPD|6DMG|7RCR|9AART|aRCVC
219	13333 45632	   	158.51	DCR|2VULN|2DMG|1AART	1CGEN|2RPLT|36VULN|47DMG|5AART|8NUKE|9RCR|aLHND
220	13333 45633	   	158.51	DCR|2VULN|2DMG|1AART	1CGEN|2RPLT|36VULN|47DMG|5AART|8NUKE|9RCR|aMLV
221	23333 45632	   	158.51	DCR|2VULN|2DMG|1AART	1MLV|2RPLT|36VULN|47DMG|5AART|8NUKE|9RCR|aLHND
222	23333 45633	   	158.51	DCR|2VULN|2DMG|1AART	1aMLV|2RPLT|36VULN|47DMG|5AART|8NUKE|9RCR
223	45412 11132	 * 	158.49	DCR|2AART|3CDMG|1VULN|1DMG	1LIT|246CDMG|3VULN|58AART|7DMG|9RPLT|aRCR
224	23353 36315	   	158.43	ACR|2VULN|2DMG|1AART	1MLV|2RPLT|38VULN|4MGNSTR|5RCR|67DMG|9LWND|aAART
225	23353 36334	   	158.43	ACR|2VULN|2DMG|1AART	1MLV|2RPLT|38VULN|4MGNSTR|5RCR|67DMG|9CGEN|aAART
226	63236 22312	   	158.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19BEXP|25ZMB|39MLV|4DUR|6CDMG|7RCR|89DMG|9BPWR|aAART
227	63636 22312	   	158.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19BEXP|25ZMB|39CGEN|4DUR|6CDMG|7RCR|89DMG|9BPWR|aAART
228	23353 36324	   	158.33	ACR|2VULN|2DMG|1AART	1MLV|2RPLT|38VULN|4MGNSTR|5RCR|67DMG|9ERES|aAART
229	13152 31535	   	158.30	ACR|3DMG|1AART|1VULN	16CGEN|2RPLT|3DMSP|48aDMG|5RCR|7AART|9VULN
230	13152 61531	   	158.30	ACR|3DMG|1AART|1VULN	1CGEN|2RPLT|39DMSP|468DMG|5RCR|7AART|aVULN
231	11524 12531	   	158.29	DCR|3VULN|1AART|1ASPD|1DUR	1CGEN|2LIT|379VULN|4AART|5DUR|6RCR|8DMSP|aASPD
232	21524 12531	   	158.29	DCR|3VULN|1AART|1DUR|1ASPD	1MLV|2LIT|379VULN|4AART|5DUR|6RCR|8DMSP|aASPD
233	42324 12531	   	158.29	DCR|3VULN|1AART|1ASPD|1DUR	1LIT|279VULN|3CGEN|4AART|5DUR|6RCR|8DMSP|aASPD
234	33112 16362	   	158.29	DCR|3VULN|1AART|1DUR|1ASPD	1MGNLIT|29aVULN|3DUR|4AART|5ASPD|6RCR|7LHND|8BELT
235	33111 31161	   	158.28	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MGNLIT|2VULN|3DUR|45AART|6LWND|7RCVC|8CDMG|9RCR|aDMG
236	13331 56163	   	158.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ZMB|aAART
237	23331 56163	   	158.27	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MLV|2RPLT|36VULN|4DMG|5DUST|7DUR|8RCR|9ZMB|aAART
238	23353 15334	 * 	158.22	ACR|3VULN|1AART|1CDMG|1DUR	1MLV|2RPLT|39aVULN|4MGNSTR|5RCR|6DUR|7CDMG|8AART
239	63136 22312	   	158.21	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19BEXP|25ZMB|39ERES|4DUR|6CDMG|7RCR|89DMG|9BPWR|aAART
240	13152 61431	   	158.20	ACR|3DMG|1AART|1VULN	1CGEN|2RPLT|3DMSP|46aDMG|5RCR|7AART|8BASICY|9VULN
241	15123 63413	 * 	158.16	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	19CGEN|2CDMG|369DMG|4BEXP|5DUR|79ASPD|8RCR|9BPWR|aZMB
242	15133 63413	   	158.16	DCR|3DMG|2ASPD|1CDMG|1ZMB|1DUR	19CGEN|2CDMG|369DMG|4FEWX|5DUR|79ASPD|8RCR|9BPWR|aZMB
243	33212 13431	   	158.15	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9CDMG|aZMB
244	33214 53431	   	158.15	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5ASPD|6DMG|7RCR|9CDMG|aZMB
245	33212 13135	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|3LWND|48DUR|5DMG|6ASPD|7RCR|9CDMG|aAART
246	33214 53135	   	158.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|3LWND|48DUR|5ASPD|6DMG|7RCR|9CDMG|aAART
247	13152 51432	   	158.02	ACR|3VULN|2DMG|1DUR	18CGEN|2RPLT|3DMSP|48DMG|5RCR|678VULN|8BPWR|9RMIN|aDUR
248	31433 23121	   	158.02	ACR|3VULN|2DMG|1ASPD	1aMGNLIT|2RPLT|3CGEN|46aVULN|5RCR|7ASPD|8LIT|9aDMG|aBPWR
249	13343 24824	   	157.93	DCR|2VULN|1AART|1DMG|1ZMB	1CGEN|2RPLT|38VULN|4MBVNT|5LIT|6RCR|7AART|9ZMB|aDMG
250	13132 61352	   	157.92	ACR|3VULN|2DMG|1DUR	18CGEN|2RPLT|3DMSP|4DUR|5RCR|68DMG|78aVULN|8BPWR|9DUST
251	13532 61352	   	157.92	ACR|3VULN|2DMG|1DUR	18CGEN|23RPLT|4DUR|5RCR|68DMG|78aVULN|8BPWR|9DUST
252	33122 13335	   	157.90	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2aVULN|3DUR|4BEXP|5DMG|6ASPD|7RCR|8AART|9BELT
253	33124 53335	   	157.90	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2aVULN|3DUR|4BEXP|5ASPD|6DMG|7RCR|8AART|9BELT
254	33212 13235	   	157.90	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2aVULN|3LWND|4DUR|5DMG|6ASPD|7RCR|8AART|9BELT
255	33214 53235	   	157.90	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2aVULN|3LWND|4DUR|5ASPD|6DMG|7RCR|8AART|9BELT
256	33214 53412	 * 	157.90	DCR|2VULN|2DMG|2ASPD|1DUR	1aMGNLIT|28VULN|3aLWND|4DUR|59ASPD|6aDMG|7RCR|aBPWR
257	33112 15321	   	157.87	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48AART|5ASPD|6RCR|7RPLT|9DMG|aRCVC
258	53353 36333	   	157.72	ACR|3VULN|2DMG|1DUR	1ERES|2RPLT|38aVULN|4MGNSTR|5RCR|67DMG|9DUR
259	13152 51511	   	157.70	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|4DMG|5RCR|67aVULN|8AART|9FEWX
260	13152 51521	   	157.70	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|4DMG|5RCR|679VULN|8AART|aBEXP
261	13152 51523	   	157.70	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|4DMG|5RCR|679VULN|8AART|aLIT
262	23262 61431	 * 	157.70	ACR|2VULN|2AART|1DMG	1MLV|2RPLT|3DUST|4RCVC|5RCR|69AART|7aVULN|8DMG
263	62216 34312	 * 	157.68	DCR|2VULN|1AART|1DMG|2ZMB	1BEXP|2LWND|3CGEN|4DMG|59ZMB|6AART|7aVULN|8RCR
264	63411 34312	   	157.68	DCR|2VULN|1AART|1DMG|2ZMB	1BEXP|29ZMB|3LWND|4DMG|5CGEN|6AART|7aVULN|8RCR
265	25126 12361	   	157.68	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3DMG|4aBEXP|59VULN|6BELT|7RCR|8AART
266	25126 12363	   	157.68	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3DMG|4BEXP|59VULN|6BELT|7RCR|8AART|aLHND
267	13152 51522	   	157.60	ACR|3VULN|1AART|1DMG	1CGEN|2RPLT|3DMSP|4DMG|5RCR|679VULN|8AART|aDUST
268	15433 61332	   	157.58	DCR|3VULN|2CDMG|1DMG|1DUR	1CGEN|28CDMG|3LHND|4DUR|58FEWX|6DMG|78aVULN|8BPWR|9RCR
269	15126 12521	   	157.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2CDMG|3DMG|4BEXP|5TLV|6RMIN|7RCR|8AART|9aVULN
270	11531 41353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1CGEN|2LIT|349VULN|5CDMG|6BEXP|7DMG|8RCR|aZMB
271	11531 61353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1CGEN|2LIT|349VULN|5CDMG|6FEWX|7DMG|8RCR|aZMB
272	21531 41353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2LIT|349VULN|5CDMG|6BEXP|7DMG|8RCR|aZMB
273	21531 61353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1MLV|2LIT|349VULN|5CDMG|6FEWX|7DMG|8RCR|aZMB
274	42331 41353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1LIT|249VULN|3CGEN|5CDMG|6BEXP|7DMG|8RCR|aZMB
275	42331 61353	   	157.53	DCR|3VULN|1DMG|1CDMG|1ZMB	1LIT|249VULN|3CGEN|5CDMG|6FEWX|7DMG|8RCR|aZMB
276	15232 62412	   	157.45	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB	19CGEN|2CDMG|39FEWX|47DUR|5ZMB|69DMG|8RCR|9BPWR|aAART
277	11611 12524	   	157.42	ACR|1AART|1DMG|2CDMG|1VULN|1ZMB	13CGEN|236LIT|36BPWR|4RCR|56CDMG|7ZMB|8VULN|9AART|aDMG
278	21611 12524	   	157.42	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB	13MLV|236LIT|36BPWR|4RCR|56CDMG|7ZMB|8VULN|9AART|aDMG
279	63235 22312	   	157.36	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39MLV|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
280	63635 22312	   	157.36	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39CGEN|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
281	33212 13422	   	157.30	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART|aCGEN
282	33212 13425	   	157.30	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART|aMLV
283	33212 13426	   	157.30	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART|aFEWX
284	33214 53422	   	157.30	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5ASPD|6DMG|7RCR|9AART|aCGEN
285	32234 53421	   	157.30	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2ASPD|3LHND|4BEXP|58VULN|6DMG|7RCR|9AART|aDUR
286	33142 24324	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MGNLIT|2VULN|3DUR|4RMIN|5LHND|6aAART|7CDMG|8RCR|9DMG
287	32114 53421	   	157.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|2ASPD|3DUST|4LWND|58VULN|6DMG|7RCR|9AART|aDUR
288	33212 13423	   	157.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9AART|aERES
289	33214 53423	   	157.20	DCR|2VULN|1AART|1DMG|1DUR|1ASPD	1MGNLIT|28VULN|3LWND|4DUR|5ASPD|6DMG|7RCR|9AART|aERES
290	33663 31321	   	157.20	DCR|2VULN|2AART|1CDMG|1ASPD	1MGNLIT|24VULN|3LIT|5LSRICY|68AART|7RCR|9ASPD|aCDMG
291	33113 26424	   	157.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MGNLIT|28VULN|3DUR|4AART|5FEWX|6ZMB|7LIT|9DMG|aRCR
292	63135 22312	   	157.16	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	19BEXP|2ZMB|39ERES|4DUR|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
293	13112 63155	   	157.09	ACR|2VULN|1AART|1DMG|1CDMG	18CGEN|2RPLT|3DMSP|48VULN|5RCR|6AART|78MLV|8BPWR|9DMG|aCDMG
294	25316 41232	   	157.08	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3RPLT|4FEWX|5AART|6LWND|7DMG|8RCR|9aVULN
295	33343 24324	   	157.07	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MGNLIT|2VULN|3ERES|4DUST|5DUR|6aAART|7CDMG|8RCR|9DMG
296	33322 64533	   	157.07	DCR|2AART|2VULN|1DMG	1MGNLIT|24VULN|346ERES|4BPWR|5aAART|7RCR|8DMG|9RPLT
297	33112 12122	 * 	157.02	DCR|1AART|1VULN|1DMG|2ASPD|2DUR	1MGNLIT|2VULN|37DUR|4AART|5aASPD|6RCR|8LIT|9DMG
298	25326 41232	   	156.98	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3RPLT|4DUST|5AART|6LWND|7DMG|8RCR|9aVULN
299	63342 21124	   	156.95	ACR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7AART|8LWND|aDMG
300	63342 21224	   	156.95	ACR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7AART|8LHND|aDMG
301	13112 65332	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|3DMSP|4aVULN|5RCR|6AART|7CDMG|8LWND|9DMG
302	13512 65332	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|23RPLT|4aVULN|5RCR|6AART|7CDMG|8LWND|9DMG
303	23112 65332	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|3DMSP|4aVULN|5RCR|6AART|7CDMG|8LWND|9DMG
304	23512 65332	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|23RPLT|4aVULN|5RCR|6AART|7CDMG|8LWND|9DMG
305	13112 61125	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9BEXP|aDMG
306	13112 63355	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|3DMSP|48VULN|5RCR|6AART|7MLV|9DMG|aCDMG
307	13512 61125	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|23RPLT|47VULN|5RCR|6AART|8CDMG|9BEXP|aDMG
308	23112 61125	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9BEXP|aDMG
309	23112 63155	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	18MLV|2RPLT|3DMSP|48VULN|5RCR|6AART|78TLV|8BPWR|9DMG|aCDMG
310	23512 61125	   	156.89	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|23RPLT|47VULN|5RCR|6AART|8CDMG|9BEXP|aDMG
311	63342 21822	   	156.85	ACR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7AART|8DMG|aERES
312	63342 21824	   	156.85	ACR|2VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7AART|8DMG|aDUST
313	23112 63355	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|3DMSP|48VULN|5RCR|6AART|7TLV|9DMG|aCDMG
314	53112 61125	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9BEXP|aDMG
315	53112 65332	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1ERES|2RPLT|3DMSP|4aVULN|5RCR|6AART|7CDMG|8LWND|9DMG
316	13112 61145	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9DUST|aDMG
317	13112 61155	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9LEGI|aDMG
318	23112 61145	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9DUST|aDMG
319	23112 61155	   	156.79	ACR|2VULN|1AART|1DMG|1CDMG	1MLV|2RPLT|3DMSP|47VULN|5RCR|6AART|8CDMG|9LEGI|aDMG
320	21612 23114	   	156.75	ACR|2DMG|1AART|1VULN|1ZMB	13MLV|23LIT|3BPWR|4RCR|5RMIN|6AART|78DMG|9ZMB|aVULN
321	43256 11232	 * 	156.68	ACR|2VULN|1DMG|3DUR|1CDMG|1ASPD	1LIT|2ASPD|368DUR|4RCR|5CDMG|7DMG|9aVULN
322	11524 12623	   	156.65	DCR|3VULN|1AART|2DUR	1CGEN|2LIT|378VULN|4AART|59DUR|6RCR|aBEXP
323	42324 12623	   	156.65	DCR|3VULN|1AART|2DUR	1LIT|278VULN|3CGEN|4AART|59DUR|6RCR|aBEXP
324	44112 23114	   	156.65	ACR|2DMG|1AART|1VULN|1ZMB	1LIT|2DMSP|3MLV|4RCR|5RMIN|6AART|78DMG|9ZMB|aVULN
325	13333 51235	   	156.58	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2RPLT|37VULN|4DMG|5AART|6MLV|8RCVC|9RCR|aCDMG
326	33112 15322	   	156.56	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48AART|5ASPD|6RCR|7RPLT|9DMG|aLHND
327	33112 15326	   	156.56	DCR|2AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48AART|5ASPD|6RCR|7RPLT|9DMG|aLIT
328	11524 12622	   	156.55	DCR|3VULN|1AART|2DUR	1CGEN|2LIT|378VULN|4AART|59DUR|6RCR|aERES
329	42324 12622	   	156.55	DCR|3VULN|1AART|2DUR	1LIT|278VULN|3CGEN|4AART|59DUR|6RCR|aERES
